sample	taxid	num_reads	rank	name	abundance
RL_S001__insert_270	266	2037585	species	Paracoccus denitrificans	0.0835019318979687
RL_S001__insert_270	2088	3001127	species	Anaeroplasma bactoclasticum	0.12298868629831645
RL_S001__insert_270	2371	107568	species	Xylella fastidiosa	0.004408226312227808
RL_S001__insert_270	29580	6146574	genus	Janthinobacterium	0.9971889555007454
RL_S001__insert_270	75309	17327	genus	Rhodanobacter	0.0028110444992546116
RL_S001__insert_270	173053	5653969	species	Tetrasphaera duodecadis	0.2317043629547853
RL_S001__insert_270	328515	41609	species	Nonlabens dokdonensis	0.0017051715066328914
RL_S001__insert_270	404881	1346963	species	Defluviimonas denitrificans	0.05519966661272223
RL_S001__insert_270	644383	4418897	species	Thermosporothrix hazakensis	0.18109008279808608
RL_S001__insert_270	990712	150629	species	Albidovulum xiamenense	0.006172901989295724
RL_S001__insert_270	1004304	7245436	species	Hydrotalea sandarakina	0.29692400731409524
RM2_S001__insert_270	16	230290	genus	Methylophilus	0.040156174720250314
RM2_S001__insert_270	192	2179891	species	Azospirillum brasilense	0.1051267527929307
RM2_S001__insert_270	280	69182	species	Xanthobacter autotrophicus	0.0033363498503918457
RM2_S001__insert_270	354	2895	species	Azotobacter vinelandii	0.00013961337944674038
RM2_S001__insert_270	379	16055	genus	Rhizobium	0.0027995457255357106
RM2_S001__insert_270	382	7054444	species	Sinorhizobium meliloti	0.3402054462721178
RM2_S001__insert_270	466	95474	species	Legionella maceachernii	0.004604299754507113
RM2_S001__insert_270	915	4627	species	Nitrosomonas europaea	0.00022314027865287316
RM2_S001__insert_270	1061	279459	species	Rhodobacter capsulatus	0.013477103767463427
RM2_S001__insert_270	1082	1337632	species	Phaeospirillum fulvum	0.06450822935271235
RM2_S001__insert_270	1513	122130	species	Clostridium tetani	0.005889803810649535
RM2_S001__insert_270	1516	255085	species	Thermoanaerobacter thermohydrosulfuricus	0.0123016507413374
RM2_S001__insert_270	1525	844110	species	Moorella thermoacetica	0.04070778919681797
RM2_S001__insert_270	1707	1615413	genus	Cellulomonas	0.28168312420584357
RM2_S001__insert_270	1763	113089	genus	Mycobacterium	0.019719578109941325
RM2_S001__insert_270	1817	40990	genus	Nocardia	0.0071475166172350535
RM2_S001__insert_270	1827	94767	genus	Rhodococcus	0.01652473059930506
RM2_S001__insert_270	2030	666245	species	Kibdelosporangium aridum	0.032130126421241294
RM2_S001__insert_270	2062	2565668	family	Streptomycetaceae	0.17760524749510276
RM2_S001__insert_270	2242	8581	species	Halobacterium salinarum	0.0004138246663324626
RM2_S001__insert_270	13687	413272	genus	Sphingomonas	0.07206314924220455
RM2_S001__insert_270	28136	767	species	Prevotella oulorum	3.69891060572193e-05
RM2_S001__insert_270	34038	3000	species	Rahnella aquatilis	0.00014467707714688123
RM2_S001__insert_270	35623	4895	species	Acholeplasma oculi	0.00023606476421132787
RM2_S001__insert_270	39498	11354	species	[Eubacterium] yurii	0.0005475545113085632
RM2_S001__insert_270	53458	13946	species	Janibacter limosus	0.0006725555059634685
RM2_S001__insert_270	59732	6256	genus	Chryseobacterium	0.0010908725044504145
RM2_S001__insert_270	68170	91094	species	Lechevalieria aerocolonigenes	0.004393071221872666
RM2_S001__insert_270	69278	1390834	genus	Aquamicrobium	0.24252278913919242
RM2_S001__insert_270	80864	5232007	family	Comamonadaceae	0.36217932255112906
RM2_S001__insert_270	82367	119407	species	Paracoccus pantotrophus	0.0057584852502925495
RM2_S001__insert_270	84567	1092	genus	Pedobacter	0.0001904144461093115
RM2_S001__insert_270	85023	10347	family	Microbacteriaceae	0.0007162584932391207
RM2_S001__insert_270	85413	1355635	genus	Bosea	0.2363850619518283
RM2_S001__insert_270	92511	81761	species	Curtobacterium sp. B20	0.003942980834868719
RM2_S001__insert_270	103732	220611	species	Lechevalieria flava	0.010639118222150206
RM2_S001__insert_270	121821	9970	species	Roseinatronobacter thiooxidans	0.0004808101530514686
RM2_S001__insert_270	162491	151790	genus	Oerskovia	0.026467956753601092
RM2_S001__insert_270	169973	2563068	species	uncultured Massilia sp.	0.12360572892290086
RM2_S001__insert_270	255475	6637880	family	Aurantimonadaceae	0.4594991714605291
RM2_S001__insert_270	257003	220067	species	Sphingomonas phyllosphaerae	0.010612883445494237
RM2_S001__insert_270	299255	16532	species	Ferrimonas marina	0.0007972671464640802
RM2_S001__insert_270	311234	34814	species	Cellulomonas terrae	0.0016789292545971743
RM2_S001__insert_270	367298	305376	genus	Phycicoccus	0.05324908598450284
RM2_S001__insert_270	393921	15857	species	Porphyromonas crevioricanis	0.0007647148041060319
RM2_S001__insert_270	441209	29036	species	Rhodobaca barguzinensis	0.0014002812040122812
RM2_S001__insert_270	454586	223776	species	Pedobacter agri	0.010791752538540166
RM2_S001__insert_270	460257	1392130	species	Aeromicrobium ponti	0.06713643313616259
RM2_S001__insert_270	561061	197363	species	Sphingobacterium psychroaquaticum	0.00951796732564664
RM2_S001__insert_270	570520	245024	species	Formosa spongicola	0.011816452050279142
RM2_S001__insert_270	629679	411166	species	Promicromonospora umidemergens	0.01982876503405819
RM2_S001__insert_270	639310	4734	species	Olleya aquimaris	0.0002283004277377786
RM2_S001__insert_270	688867	23912	species	Ohtaekwangia koreensis	0.001153172756245408
RM2_S001__insert_270	688913	10321	species	Ohtaekwangia kribbensis	0.0004977373710776537
RM2_S001__insert_270	745369	1082206	species	Acetoanaerobium noterae	0.052190133650272585
RM2_S001__insert_270	759851	293699	species	Sporosarcina newyorkensis	0.01416383762698729
RM2_S001__insert_270	1143711	19038	species	Paenibacillus frigoriresistens	0.0009181207315741083
RM2_S001__insert_270	1513896	48814	species	Sphingobacterium nematocida	0.0023540889479492866
RM2_S002__insert_270	16	187753	genus	Methylophilus	0.012673223833029046
RM2_S002__insert_270	192	1517639	species	Azospirillum brasilense	0.06754678783354097
RM2_S002__insert_270	280	111118	species	Xanthobacter autotrophicus	0.004945618800312463
