taxid	truth_taxid	count
0	246199	98122
0	518634	98076
53346	1072576	97753
0	910312	95614
28173	1051649	90758
0	392917	90694
0	634502	90523
0	471874	89544
0	537971	87745
2751	1087479	87207
1244	927691	85650
0	1077976	85329
519	743273	83671
0	675811	82441
0	548480	75122
0	487521	65684
0	546265	54863
216465	365044	51144
0	427081	45485
0	314280	45081
0	460265	42011
413810	795797	41431
0	497965	37427
32049	32049	36823
0	926570	36287
0	458233	35487
0	426355	35248
0	311402	34156
456327	427081	34123
0	761193	33978
338565	465817	33670
0	314723	32968
193	137722	32809
55148	693977	28644
0	563032	27255
0	103690	26953
0	634452	26503
2238	272569	26480
0	511995	25835
0	398513	23895
310783	546414	23543
395961	395961	23499
33059	637389	23481
0	521098	23240
387343	797210	22967
0	634177	22964
0	269482	22529
0	573065	22243
0	498743	21610
0	266779	20843
139	521010	20435
43305	515622	20434
495	546265	20280
0	343509	19864
0	323097	19334
1764	487521	19246
0	702113	18907
0	290399	18373
485	546265	18039
0	644651	17554
296591	296591	17339
13769	547559	17039
0	395963	16939
0	391616	16844
0	363253	16537
0	262543	15860
0	882378	15634
2242	64091	15368
39485	515620	15167
0	1097668	15080
756883	756883	14342
0	743273	14285
0	716540	14186
221822	391619	13839
182337	634500	13736
0	292414	13628
0	41431	13557
358	311403	13407
0	521010	13259
0	471223	13003
56459	427081	12930
69525	797303	12828
0	582744	12470
0	1087479	12382
0	76114	12372
79885	398511	12326
0	927691	12269
0	930171	12189
826	526218	11946
1007105	1007105	11860
531813	1082931	11858
0	891974	11828
881	391774	11741
0	660470	11692
0	360104	11675
29292	272844	11629
0	429009	11573
2223	990316	11561
0	582402	11534
45663	485915	11439
42862	315456	11423
29549	518766	11413
0	309801	11396
84156	572546	11388
2296	177437	11337
2054	526226	11217
0	349747	11147
413502	693216	11134
0	472759	11132
187137	670487	11095
1902	100226	11048
0	290340	10979
458033	981222	10954
0	716544	10813
0	862908	10676
0	572265	10671
55802	391623	10431
0	318586	10377
0	269796	10300
663	314288	10208
0	362948	10069
305	267608	9875
2322	644295	9856
0	521096	9814
0	205914	9588
640512	640512	9462
0	266264	9431
0	391735	9415
117207	317655	9394
0	1091494	9366
0	246200	9315
0	243161	9260
0	762051	9167
0	196162	9109
0	264202	9105
0	661367	9077
0	263358	9071
0	1051649	8929
0	1229758	8772
0	426114	8726
0	515618	8721
456327	316273	8699
0	123214	8529
0	334413	8424
0	682634	8418
0	208596	8334
0	1005058	8282
0	1111069	8232
0	267671	7948
0	944547	7719
139	498743	7662
274	262724	7527
0	272562	7439
83171	573064	7341
155863	647113	7164
0	1003195	6965
644281	644281	6904
332056	452662	6763
149715	443254	6726
0	412418	6574
0	591167	6574
0	393305	6521
0	323261	6512
0	399742	6511
0	60481	6438
47466	314723	6368
197162	639282	6366
539	546265	6255
0	381666	6110
0	338187	6080
0	983545	6040
0	402626	5997
0	634504	5992
870903	401053	5965
160233	453591	5948
330214	330214	5938
242703	666510	5938
46355	889378	5936
475088	521011	5934
498846	374847	5925
184117	999630	5916
33075	240015	5906
86304	203122	5901
2277	384616	5886
100716	517418	5839
1100	319225	5838
0	482957	5837
146826	519442	5828
1008460	529709	5828
264691	103690	5827
43687	399549	5808
2234	224325	5808
199596	395965	5806
332249	649638	5798
1006005	1006006	5789
1131707	158190	5786
83984	410358	5782
1042156	1042156	5779
0	643648	5777
915	228410	5776
35786	309798	5772
0	880072	5760
936476	491952	5758
552810	552811	5757
0	156889	5753
81468	572547	5747
400668	400668	5745
0	56780	5740
404011	225849	5739
651457	521045	5734
186192	869210	5729
0	158189	5723
164451	572478	5713
0	349741	5712
0	326427	5709
1736	903814	5699
0	471856	5698
0	697281	5672
0	335543	5666
0	906968	5661
0	744872	5654
0	338963	5654
0	477974	5651
0	324925	5649
0	255470	5646
0	273121	5646
0	63186	5643
0	665571	5639
0	335541	5627
0	525146	5622
158899	1005048	5620
0	545694	5615
0	644284	5615
0	555079	5607
0	290317	5603
342949	342949	5601
0	1085623	5598
118323	634502	5595
0	856793	5587
0	290315	5584
0	522772	5578
2176	547558	5574
0	471855	5570
0	498211	5566
0	717774	5559
0	314260	5550
0	138119	5537
0	645991	5535
359303	323850	5533
0	316279	5528
0	213810	5528
0	264203	5526
0	246195	5524
1042877	1042877	5523
0	749222	5518
0	583345	5517
0	525903	5513
0	688269	5509
0	857087	5499
351052	187272	5498
0	667014	5479
0	690850	5470
0	577650	5470
0	64471	5467
29291	259564	5456
0	182082	5456
0	261292	5456
0	272634	5454
0	693979	5444
0	699246	5432
0	886377	5429
0	521095	5421
0	523791	5408
1513	212717	5399
0	197221	5396
0	743299	5393
2285	330779	5387
0	207559	5380
0	434131	5378
84590	1008459	5376
0	591001	5371
7	438753	5353
84599	591019	5342
85643	85643	5333
54120	679926	5330
217	679897	5330
0	357804	5329
0	425104	5327
93466	771875	5321
0	929556	5316
0	314282	5290
0	637905	5286
0	392500	5286
0	318161	5285
0	351607	5283
379547	439481	5275
0	203123	5256
0	312153	5243
0	326297	5243
0	696127	5235
0	458817	5234
1255	278197	5231
172049	604354	5229
34021	537021	5227
0	355276	5221
2261	186497	5210
2280	399550	5203
0	375286	5192
0	573413	5189
0	398579	5183
66219	357809	5178
0	643562	5175
0	649639	5169
0	640132	5161
0	1236608	5152
0	313603	5139
0	1209989	5131
0	1064535	5128
461876	350688	5115
0	1032480	5105
97393	333146	5104
0	442563	5078
0	903503	5073
563177	933801	5051
54736	218493	5050
0	452471	5036
0	760142	5032
1276	478801	5021
0	768704	5017
0	595494	5009
0	859194	5003
0	443144	4995
196	360106	4970
1638	881621	4967
0	269800	4945
0	293826	4925
415229	1045855	4924
0	243231	4918
56460	427081	4910
587	471874	4907
0	373903	4900
0	504728	4874
1349	218495	4845
0	517417	4840
0	502025	4831
0	272843	4825
0	471857	4809
0	983548	4808
94694	768672	4783
0	754252	4779
59600	688270	4775
0	598659	4769
0	709986	4768
877455	877455	4757
0	281090	4756
0	374463	4753
0	234826	4742
0	221109	4740
0	381764	4717
0	945021	4712
0	498217	4704
34029	395495	4703
0	203119	4693
0	693978	4682
0	195102	4644
2148	441768	4631
0	557598	4612
283734	937773	4605
76936	537971	4575
1718161	392917	4564
0	203124	4539
0	484022	4528
2187	406327	4506
0	945711	4502
0	242619	4499
911092	273068	4494
0	546269	4479
2111	243272	4467
0	633149	4432
2059875	1077976	4425
312306	384676	4425
0	406818	4423
0	561304	4404
0	561230	4382
2054	1077976	4382
0	504832	4375
0	717959	4366
1358	272623	4329
0	479431	4307
0	710128	4288
0	1511	4283
0	298653	4281
0	321327	4280
0	525370	4269
414	243233	4257
0	218497	4219
0	283165	4199
14	309799	4183
0	404380	4172
0	469383	4169
0	640081	4141
0	334380	4135
40567	446462	4130
887061	887061	4073
1680	548480	4050
0	639283	4015
1348	873447	4002
0	706191	4000
309806	204536	3985
42879	419665	3968
0	292805	3948
0	243265	3946
0	446465	3940
0	757424	3910
203907	203907	3873
0	190650	3854
0	573061	3781
159	565034	3780
0	593907	3748
34105	519441	3746
0	446466	3743
0	391009	3724
0	529507	3704
2421	484019	3702
9606	518634	3665
1328	706437	3652
536018	754035	3582
32630	314723	3539
0	283942	3469
28903	347257	3439
0	94122	3434
779	254945	3421
0	243275	3396
0	386043	3338
1041504	1041504	3335
0	765698	3334
32630	548480	3324
28903	289397	3315
0	45361	3298
0	985665	3265
887061	582744	3220
56454	427081	3212
2066	452652	3141
0	875328	3135
0	397945	3133
722731	487521	3129
672	675811	3107
0	205920	3097
485	242231	3079
0	715451	3074
0	743721	3057
1311	706437	3014
0	246194	3004
60480	60480	2973
0	635013	2967
0	198804	2961
0	683837	2944
95486	482957	2942
0	313598	2940
418223	426355	2940
0	512564	2913
0	347256	2909
0	347255	2879
0	1075399	2849
473531	323261	2814
0	688245	2813
0	190485	2763
0	748280	2754
61646	399742	2751
2317	339860	2747
1545728	487521	2737
657445	484022	2717
1396	281309	2696
0	608506	2680
28026	398513	2679
200	360105	2675
1327989	548480	2656
47880	743720	2648
0	680198	2614
120577	520463	2590
0	565575	2534
84378	526224	2534
0	581103	2399
315405	637909	2360
1986029	1986029	2354
60480	60481	2332
160	243276	2320
0	523794	2309
1270	465515	2305
0	306263	2268
0	342451	2260
0	1072576	2239
1680	367928	2229
0	203120	2226
0	585054	2213
60480	94122	2176
0	743525	2168
663	675811	2135
0	290434	2108
0	37692	2095
241425	634502	2083
160	545776	2072
40269	314280	2046
74969	333146	2034
0	272635	2018
456327	269482	2017
55601	882102	2005
233316	715451	1969
86665	272558	1965
0	351627	1947
0	449216	1940
105219	402626	1932
315405	706437	1920
85701	634504	1908
482564	634502	1868
94694	490899	1867
0	262719	1795
95486	269482	1774
0	272633	1765
426117	460265	1764
55601	675811	1755
1680	398513	1728
0	279808	1715
0	447217	1701
1406	985665	1697
668	314280	1696
114090	927691	1677
221027	243275	1658
110539	350058	1642
379347	292414	1583
0	360911	1582
47715	548480	1575
0	84588	1565
50719	150340	1545
1486991	343509	1539
1683	548480	1536
50719	675811	1510
1638	683837	1500
50719	314288	1489
742013	742013	1488
663	314280	1469
28026	548480	1465
274	1111069	1457
1274631	548480	1453
60550	482957	1441
37734	548480	1382
481743	481743	1371
338565	716540	1357
0	314288	1344
46354	697303	1312
83559	243161	1296
488546	306263	1294
766224	338187	1287
1590	362948	1284
150055	706437	1255
2060307	548480	1237
358	311402	1236
2033869	548480	1229
1265601	591167	1225
29311	561304	1194
0	1045858	1182
1683	398513	1179
2025808	675811	1179
32630	537971	1171
1765	487521	1164
2275	765177	1149
10710	537971	1146
32630	279808	1137
0	872331	1136
0	998088	1128
0	190304	1127
1435069	675811	1122
1719	945711	1120
