taxid	truth_taxid	count
588	471874	147524
53346	1072576	117095
76802	427081	106524
0	743273	99738
0	518634	97456
879243	910312	91538
28173	1051649	90577
537971	537971	88327
1234679	1087479	87715
0	246199	87288
903510	675811	83848
0	634502	82643
1229756	927691	81176
1767	487521	79238
1300150	1072576	78781
1112204	1077976	73453
147375	392917	65343
1464	392917	63869
1138382	487521	57028
365044	365044	52538
489653	546265	52081
795797	795797	51189
1172562	537971	49797
1867252	314723	49013
460265	460265	48782
521010	521010	43645
426355	426355	42028
311402	311402	40342
458233	458233	39783
497965	497965	39464
926570	926570	37998
32049	32049	37911
103690	103690	37060
486	546265	36351
487521	487521	36133
137722	137722	34541
761193	761193	34496
465817	465817	33776
298386	314280	32828
697284	392917	31534
1679	548480	30527
693977	693977	29726
438	634452	29115
290399	290399	28303
272569	272569	27111
511995	511995	26974
216816	548480	26465
634177	634177	25388
637389	637389	25260
395961	395961	24847
521098	521098	24835
1681	398513	24354
573065	573065	24015
323097	323097	23875
546414	546414	23772
266779	266779	23746
343509	343509	23039
797210	797210	22989
487	546265	22910
0	1077976	22763
634499	644651	22296
762948	563032	22046
64091	64091	21137
515622	515622	20753
391616	391616	20594
702113	702113	20544
222805	487521	20156
0	471874	20116
1157951	471874	19712
1138383	487521	19106
478009	64091	19044
315456	315456	18927
338187	338187	18625
882378	882378	18187
1003195	1003195	18064
0	548480	17851
395963	395963	17794
296591	296591	17473
292414	292414	17428
316273	316273	17324
221822	391619	17306
547559	547559	17154
0	314280	17057
363253	363253	16928
716540	716540	16879
1234378	363253	16875
1477	392917	16853
1097668	1097668	16784
262543	262543	16386
0	269482	15826
930171	930171	15791
582744	582744	15781
0	427081	15759
1238	498217	15444
29519	498743	15296
515620	515620	15201
41431	41431	14996
891974	891974	14987
76114	76114	14837
28110	484022	14661
756883	756883	14432
471223	471223	14189
1082931	1082931	14144
663	314288	14104
202751	881621	14061
634500	634500	13775
311403	311403	13407
362948	362948	13206
797303	797303	13116
318586	318586	13112
391904	548480	12864
398511	398511	12652
290340	290340	12625
360104	360104	12253
526218	526218	12113
346	427081	12051
429009	429009	11949
309801	309801	11927
177437	177437	11911
0	1087479	11883
1007105	1007105	11870
100226	100226	11853
485915	485915	11837
472759	472759	11832
521096	521096	11822
660470	660470	11793
391774	391774	11746
582402	582402	11736
762051	762051	11700
990316	990316	11631
272844	272844	11631
269796	269796	11546
349747	349747	11507
518766	518766	11500
572546	572546	11431
391735	391735	11373
246200	246200	11249
526226	526226	11239
716544	716544	11232
670487	670487	11148
693216	693216	11143
482957	482957	11132
981222	981222	11022
504832	504832	10960
552	716540	10923
484020	398513	10923
862908	862908	10905
697329	246199	10856
665029	716540	10852
266264	266264	10728
1209989	1209989	10541
399742	399742	10532
391623	391623	10457
264202	264202	10456
196162	196162	10453
263358	263358	10453
391619	391619	10364
34021	537021	10302
1111069	1111069	10269
1229758	1229758	10128
644295	644295	10014
450	661367	9984
682634	682634	9982
473426	427081	9958
702459	398513	9953
473423	427081	9795
1091494	1091494	9696
412418	412418	9632
0	927691	9623
576611	312153	9614
323261	323261	9540
640512	640512	9518
676	675811	9493
402626	402626	9447
317655	317655	9433
661367	661367	9272
305	267608	9074
515618	515618	9041
60481	60481	8957
591167	591167	8939
1685	548480	8837
1005058	1005058	8810
283734	937773	8757
0	1051649	8715
123214	123214	8711
334413	334413	8704
0	498743	8690
208596	208596	8668
1165892	927691	8624
480	1236608	8621
883062	398513	8580
0	675811	8487
990288	637389	8462
205913	548480	8382
0	910312	8336
1168287	487521	8287
634504	634504	8158
500634	398513	8136
272562	272562	7989
991791	272562	7966
944547	944547	7963
863638	272562	7939
205914	205914	7911
262724	262724	7756
0	546265	7561
381666	381666	7498
573064	573064	7392
1685	398513	7330
647113	647113	7305
393305	393305	7259
1255	278197	7197
155892	190650	7160
1624	362948	7088
644281	644281	6928
60552	269482	6848
254945	254945	6842
443254	443254	6834
452662	452662	6827
837	242619	6823
484022	484022	6713
33059	637389	6709
983545	983545	6696
964	757424	6475
639282	639282	6451
0	563032	6381
630	393305	6365
1744	754252	6249
0	426114	6217
94122	94122	6201
401053	401053	5966
453591	453591	5955
856793	856793	5953
326427	326427	5953
330214	330214	5940
666510	666510	5939
889378	889378	5939
521011	521011	5936
338963	338963	5933
880072	880072	5928
374847	374847	5927
643648	643648	5926
471856	471856	5925
477974	477974	5922
999630	999630	5921
43674	471856	5917
857087	857087	5915
156889	156889	5912
240015	240015	5912
335543	335543	5911
0	572265	5909
56780	56780	5906
203122	203122	5903
349741	349741	5902
525146	525146	5899
384616	384616	5896
665571	665571	5893
471855	471855	5891
314260	314260	5878
351607	351607	5875
498211	498211	5868
290315	290315	5868
158189	158189	5862
690850	690850	5860
319225	319225	5858
906968	906968	5856
561304	561304	5855
717774	717774	5851
517417	517417	5849
517418	517418	5848
273121	273121	5848
246195	246195	5848
261292	261292	5848
644284	644284	5847
324925	324925	5845
749222	749222	5844
649638	649638	5841
326297	326297	5836
375286	375286	5835
519442	519442	5830
1085623	1085623	5829
529709	529709	5829
43687	399549	5828
525903	525903	5827
545694	545694	5823
555079	555079	5821
395965	395965	5821
272631	561304	5820
312153	312153	5820
640132	640132	5813
224325	224325	5811
228410	228410	5800
583345	583345	5794
1006006	1006006	5793
158190	158190	5787
410358	410358	5786
697281	697281	5785
1042156	1042156	5783
63186	63186	5782
290317	290317	5780
903503	903503	5780
85643	85643	5777
309798	309798	5773
552811	552811	5770
573059	391774	5769
869210	869210	5768
882	391774	5766
744872	744872	5764
1032480	1032480	5762
