taxid	truth_taxid	count
53346	1072576	99741
1464	392917	98468
28173	1051649	95794
28123	910312	92368
1244	927691	89055
213	537971	89027
2751	1087479	88504
346	427081	84743
520	743273	83261
29494	675811	80800
84595	1077976	77476
588	471874	77196
1767	487521	61182
486	546265	56854
216816	548480	55561
216465	365044	51166
114616	460265	46151
140	314723	42453
413810	795797	41504
373	311402	39552
31998	426355	39477
74109	314280	38473
497965	497965	37988
62140	926570	37560
69966	458233	37179
103690	103690	35239
106	761193	34421
338565	465817	33630
193	137722	32802
64897	521010	32467
32049	32049	30019
438	634452	28963
55148	693977	28643
1681	398513	26956
2238	272569	26342
511435	511995	26176
1177712	634177	24145
78587	573065	23714
405212	521098	23708
33059	637389	23579
310783	546414	23540
395961	395961	23505
387343	797210	22943
2047	563032	22938
912	323097	22910
266779	266779	22822
63612	343509	22715
43305	515622	20461
702113	702113	20452
290399	290399	20059
79967	644651	19442
533	395963	17771
412963	882378	17717
53946	391616	17656
296591	296591	17340
13769	547559	17063
292414	292414	17022
29546	363253	16928
552	716540	16826
1264	246199	16680
1097668	1097668	16441
332410	262543	16380
266009	582744	15770
2242	64091	15200
39485	515620	15163
487	546265	14604
891974	891974	14533
361575	930171	14313
29519	498743	14261
551760	76114	14105
756883	756883	14062
471223	471223	14010
41431	41431	13727
182337	634500	13632
358	311403	13347
266	318586	12855
1624	362948	12847
69525	797303	12696
221822	391619	12448
79885	398511	12332
826	526218	12043
199	360104	11945
500	309801	11898
1007105	1007105	11869
531813	1082931	11860
42838	429009	11850
133539	472759	11822
1184387	660470	11793
881	391774	11751
2724	582402	11736
29292	272844	11629
43663	290340	11598
2223	990316	11561
1085	269796	11546
633	349747	11495
45663	485915	11476
84156	572546	11430
29549	518766	11420
364317	391735	11354
2296	177437	11353
42862	315456	11317
2054	526226	11236
89184	246200	11205
2061	521096	11155
187137	670487	11146
1902	100226	11054
71667	716544	10960
458033	981222	10958
97084	862908	10905
83560	243161	10898
413502	693216	10663
136609	762051	10616
119219	266264	10611
482957	482957	10458
1003110	263358	10448
83556	264202	10435
55802	391623	10430
399742	399742	10387
196162	196162	10316
731	205914	10279
1111069	1111069	10104
305	267608	9920
82996	682634	9910
2322	644295	9882
271065	1091494	9696
640512	640512	9467
329	402626	9393
1229	323261	9384
117207	317655	9382
680	338187	9106
401619	515618	9040
29303	1003195	8997
663	314288	8939
450	661367	8827
309805	123214	8711
1260	334413	8702
208596	208596	8660
750	1005058	8656
1169025	591167	8556
1252	1229758	8538
60481	60481	8388
630	393305	8285
173	267671	8236
33045	634504	8057
1488	272562	7989
944547	944547	7957
456327	316273	7797
274	262724	7552
106590	381666	7447
83171	573064	7385
155863	647113	7304
44449	412418	7046
644281	644281	6907
983545	983545	6520
28110	484022	6498
197162	639282	6436
332056	452662	6240
870903	401053	5965
