taxid	truth_taxid	count
53346	1072576	98930
520	743273	98698
1464	392917	98180
346	427081	92371
28123	910312	90224
213	537971	89213
2751	1087479	86655
28173	1051649	86415
1244	927691	83243
29494	675811	81893
588	471874	76886
84595	1077976	70204
1767	487521	70020
486	546265	65805
216816	548480	52995
216465	365044	51171
114616	460265	46160
140	314723	42639
413810	795797	41519
373	311402	39623
31998	426355	39521
497965	497965	37988
62140	926570	37660
69966	458233	37275
103690	103690	35712
106	761193	34421
64897	521010	34401
338565	465817	33696
193	137722	32871
32049	32049	31404
74109	314280	29159
438	634452	29001
55148	693977	28646
1681	398513	27527
2238	272569	26468
511435	511995	26176
1177712	634177	24786
78587	573065	23715
405212	521098	23708
33059	637389	23579
310783	546414	23543
395961	395961	23505
387343	797210	22989
912	323097	22945
266779	266779	22848
63612	343509	22739
2047	563032	21198
702113	702113	20502
43305	515622	20461
290399	290399	20167
79967	644651	20031
533	395963	17773
412963	882378	17731
53946	391616	17682
296591	296591	17345
292414	292414	17078
13769	547559	17073
29546	363253	16928
552	716540	16881
1097668	1097668	16674
332410	262543	16385
266009	582744	15775
487	546265	15694
2242	64091	15280
39485	515620	15173
29519	498743	15082
891974	891974	14649
361575	930171	14343
551760	76114	14109
756883	756883	14089
471223	471223	14076
41431	41431	13788
182337	634500	13674
358	311403	13397
1624	362948	13278
266	318586	12875
69525	797303	12786
221822	391619	12593
79885	398511	12338
826	526218	12044
199	360104	11945
500	309801	11899
1007105	1007105	11867
531813	1082931	11861
42838	429009	11851
133539	472759	11824
1184387	660470	11793
881	391774	11753
2724	582402	11736
43663	290340	11669
29292	272844	11631
2223	990316	11561
633	349747	11547
1085	269796	11546
45663	485915	11476
42862	315456	11445
84156	572546	11431
29549	518766	11420
364317	391735	11363
2296	177437	11355
2054	526226	11239
89184	246200	11209
2061	521096	11158
187137	670487	11148
413502	693216	11099
1902	100226	11099
482957	482957	11046
136609	762051	11045
71667	716544	10960
458033	981222	10959
83560	243161	10918
97084	862908	10904
119219	266264	10627
399742	399742	10503
83556	264202	10456
1003110	263358	10453
55802	391623	10437
196162	196162	10317
731	205914	10291
1111069	1111069	10139
82996	682634	9981
305	267608	9941
2322	644295	9882
271065	1091494	9696
640512	640512	9502
329	402626	9437
1229	323261	9436
117207	317655	9409
663	314288	9372
680	338187	9353
401619	515618	9041
29303	1003195	9008
450	661367	8926
1252	1229758	8918
60481	60481	8843
309805	123214	8711
1260	334413	8703
208596	208596	8668
750	1005058	8660
1169025	591167	8579
630	393305	8346
173	267671	8237
33045	634504	8092
1488	272562	7989
456327	316273	7984
944547	944547	7963
1264	246199	7798
274	262724	7508
106590	381666	7463
83171	573064	7392
155863	647113	7305
44449	412418	7265
644281	644281	6925
983545	983545	6547
332056	452662	6472
197162	639282	6436
28110	484022	6401
870903	401053	5966
160233	453591	5955
152260	326427	5953
349221	856793	5953
46355	889378	5939
242703	666510	5939
330214	330214	5939
475088	521011	5936
43674	471856	5933
19	338963	5930
60893	880072	5928
498846	374847	5927
86170	643648	5926
471827	477974	5922
184117	999630	5921
421	857087	5915
1124597	156889	5912
33075	240015	5912
119484	335543	5910
316277	56780	5906
86304	203122	5903
239935	349741	5900
2277	384616	5896
154	665571	5893
84110	471855	5891
208216	314260	5878
28049	351607	5875
155077	498211	5868
1092	290315	5867
1131703	158189	5862
873	690850	5860
81028	906968	5856
1769	561304	5856
1100	319225	5856
119864	717774	5851
274539	517417	5849
100716	517418	5848
844	273121	5848
870	246195	5848
28264	644284	5847
34090	324925	5845
261292	261292	5845
269261	749222	5844
332249	649638	5841
60478	326297	5834
146826	519442	5830
300231	1085623	5829
1008460	529709	5829
81462	525903	5827
88058	545694	5823
291990	555079	5821
199596	395965	5821
576611	312153	5818
286802	640132	5813
375286	375286	5812
65058	945711	5812
2234	224325	5811
43687	399549	5809
94122	94122	5806
915	228410	5800
359408	583345	5794
1006005	1006006	5793
1131707	158190	5787
83984	410358	5786
542	264203	5785
1042156	1042156	5783
252966	697281	5783
63186	63186	5782
1048758	903503	5780
1096	290317	5779
35786	309798	5773
186192	869210	5768
552810	552811	5767
215591	744872	5764
29405	1032480	5762
61435	255470	5760
863	335541	5759
936476	491952	5759
