taxid	truth_taxid	count
517	743273	99865
1350	1072576	99713
1763	487521	98965
44249	392917	98856
338	427081	96877
662	1051649	96233
482	546265	94021
836	910312	92590
662	675811	92506
1243	927691	91951
209	537971	91723
2747	1087479	88498
586	471874	77915
2053	1077976	75888
1678	548480	70916
52972	365044	51164
407	460265	46156
138	314723	43188
332246	795797	41501
357	311402	39545
407	426355	39514
43988	497965	37988
657	314280	37951
522	926570	37663
69965	458233	37310
1129	32049	36850
1177	103690	35850
64895	521010	34476
105	761193	34421
551	465817	33619
191	137722	32884
1678	398513	30328
434	634452	29115
1298	693977	28676
2237	272569	26459
511434	511995	26176
1434011	634177	24225
64895	498743	23927
76890	573065	23713
29330	521098	23708
119977	637389	23578
1298	546414	23542
43988	395961	23505
32207	563032	23002
387342	797210	22935
911	323097	22882
449972	266779	22816
84565	343509	22736
165696	702113	20485
830	515622	20461
1663	290399	20205
551	644651	20021
532	395963	17770
1822464	882378	17690
53945	391616	17682
1263	246199	17560
52972	296591	17338
63742	547559	17083
97050	292414	17005
41707	363253	16928
551	716540	16871
32008	1097668	16672
33986	262543	16386
81682	582744	15780
2239	64091	15210
1730	515620	15166
1742993	930171	14285
129337	471223	14109
551759	76114	14096
302485	391619	13835
43988	41431	13788
551	634500	13700
357	311403	13376
1578	362948	13315
265	318586	12866
88723	797303	12699
1386	398511	12343
32068	526218	12042
194	360104	11945
499	309801	11898
305976	1007105	11868
1082930	1082931	11859
42837	429009	11849
1227	472759	11823
1184396	660470	11793
872	391774	11751
2723	582402	11736
2260	272844	11624
662	314288	11600
2222	990316	11561
629	349747	11550
1081	269796	11546
1742992	290340	11512
45662	485915	11476
780	315456	11448
2233	572546	11431
29548	518766	11420
2295	177437	11353
364316	391735	11342
1243	762051	11251
2053	526226	11227
97050	246200	11204
2060	521096	11146
208447	670487	11144
1883	100226	11099
32008	482957	11095
413496	693216	11052
71666	716544	10960
458032	981222	10956
810	243161	10918
1652133	862908	10905
106589	266264	10609
810	264202	10456
2263	391623	10442
84593	263358	10439
547	399742	10406
1839	196162	10317
214906	205914	10278
270	1111069	10140
613	682634	9980
48736	267608	9912
2321	644295	9881
1243	1229758	9700
39773	1091494	9693
32008	640512	9467
1227	323261	9434
48736	402626	9432
165697	317655	9396
662	338187	9374
445	661367	9258
401618	515618	9040
1883	1003195	9007
22	60481	8955
182899	123214	8711
150022	334413	8700
338	316273	8698
2747	208596	8668
155493	1005058	8656
32008	269482	8618
1883	591167	8580
629	393305	8325
1301	706437	8265
171	267671	8237
773	634504	8092
1485	272562	7989
28196	944547	7962
270	262724	7635
106589	381666	7460
196118	573064	7392
262	484022	7359
155862	647113	7301
138	412418	7255
196118	644281	6928
160798	443254	6833
165695	452662	6753
89404	983545	6473
53572	639282	6436
22	94122	6153
392733	401053	5966
54258	453591	5954
213485	856793	5953
1107	326427	5953
105850	666510	5939
146	889378	5938
1234	330214	5938
475087	521011	5934
43673	471856	5932
18	338963	5931
60892	880072	5928
498845	374847	5927
129001	643648	5923
471826	477974	5921
2270	999630	5921
416	857087	5915
33973	240015	5912
162171	156889	5912
43773	56780	5906
29526	335543	5906
872	525146	5903
316625	203122	5903
239934	349741	5902
2276	384616	5895
146	665571	5893
84108	471855	5891
208215	314260	5876
28048	351607	5873
