taxid	truth_taxid	count
0	634502	80539
0	518634	79902
1763	487521	71230
0	1072576	68391
2	743273	54289
2751	1087479	52223
1464	392917	50494
1264	246199	49154
0	1077976	46166
836	910312	41994
338	427081	41733
209	537971	40939
0	548480	37776
1244	927691	36818
28173	1051649	36322
2053	1077976	34328
662	675811	31214
213	537971	30492
0	546265	30398
588	471874	30321
662	1051649	29670
0	927691	27196
28123	910312	27019
0	427081	25433
216465	365044	25250
497965	497965	23842
0	246199	23783
114616	460265	23111
657	314280	21567
1678	548480	21509
482	546265	20998
1243	927691	20249
1129	32049	20071
0	392917	19868
0	910312	19724
1350	1072576	19577
55148	693977	19472
106	761193	19178
0	1087479	18938
69966	458233	18934
131567	471874	18654
0	471874	17543
413810	795797	16941
520	743273	16842
546265	546265	16664
140	314723	16632
64895	521010	16419
29494	675811	15986
0	460265	15913
395961	395961	15666
338565	465817	15546
0	675811	15263
511435	511995	14953
373	311402	14885
32207	563032	14791
0	795797	14448
0	487521	14415
1263	246199	14157
78587	573065	13989
0	314723	13924
2747	1087479	13780
2	548480	13395
486	546265	13333
0	426355	13294
0	537971	13274
0	365044	13092
0	314280	12873
1678	398513	12873
62140	926570	12860
29546	363253	12831
33059	637389	12774
0	1051649	12661
310783	546414	12475
216816	548480	12056
518634	518634	11941
118562	634502	11824
64895	498743	11719
266779	266779	11637
31998	426355	11418
193	137722	11347
0	458233	11256
191	137722	11185
517	743273	11110
43305	515622	10772
387343	797210	10736
1162	103690	10545
0	743273	10418
1224	546265	10310
586	471874	10177
266009	582744	10118
405212	521098	9933
533	395963	9682
1082930	1082931	9044
269482	269482	8938
71667	716544	8937
641	675811	8909
522	926570	8901
0	926570	8881
0	511995	8814
1236	675811	8784
0	497965	8782
187137	670487	8770
84156	572546	8744
0	521010	8742
2237	272569	8688
433	634177	8577
138	314723	8547
296591	296591	8496
0	634452	8495
548480	548480	8493
42838	429009	8487
0	103690	8325
63612	343509	8271
826	526218	8209
881	391774	8169
53946	391616	7943
0	706437	7904
135623	675811	7807
79967	644651	7770
1085	269796	7757
2223	990316	7716
2724	582402	7701
138072	572265	7679
0	563032	7647
0	498743	7570
1007105	1007105	7555
29292	272844	7535
0	272569	7524
45663	485915	7523
29330	521098	7523
0	398513	7491
186826	927691	7262
2296	177437	7223
756883	756883	7025
2322	644295	6991
0	465817	6980
119060	1097668	6972
332410	262543	6899
912	323097	6882
103690	103690	6866
1839	196162	6746
438	634452	6672
0	32049	6639
133539	472759	6636
32012	426114	6552
434	634452	6532
0	137722	6496
0	311402	6465
2054	526226	6429
119060	882378	6419
1260	334413	6392
2061	521096	6387
309805	123214	6370
0	634177	6244
401619	515618	6199
0	343509	6164
0	644651	6163
29519	498743	6125
458033	981222	6003
85007	1077976	5988
1385	392917	5955
165696	702113	5933
551760	76114	5915
500	309801	5914
84595	1077976	5863
1268	930171	5859
633	349747	5857
2242	64091	5856
1578	362948	5839
1485	272562	5838
1161	103690	5837
29549	518766	5771
1	392917	5757
662	314288	5656
1184387	660470	5609
0	269482	5570
2	392917	5524
0	546414	5481
2238	272569	5480
194	360104	5440
2	471874	5437
702113	702113	5411
302485	391619	5399
290399	290399	5332
1224	427081	5298
0	693977	5286
0	323097	5260
64897	521010	5251
44249	392917	5251
0	521098	5238
0	637389	5212
171	267671	5185
0	797210	5172
0	761193	5112
227290	311402	5112
0	262543	4997
292414	292414	4980
944547	944547	4972
364317	391735	4964
338	316273	4960
197162	639282	4945
91347	891974	4920
265	318586	4914
1663	290399	4893
154	665571	4856
97084	862908	4823
79885	398511	4812
55802	391623	4809
46355	889378	4801
498846	374847	4798
552	716540	4794
1760	1077976	4777
0	395961	4761
810	264202	4745
1111069	1111069	4717
1236	1051649	4686
48736	267608	4672
1903414	471874	4664
186817	471223	4634
41431	41431	4626
29303	1003195	4604
471874	471874	4588
1268	290340	4573
105	761193	4535
160233	453591	4530
1902	100226	4492
1236	314280	4490
1298	546414	4475
155863	647113	4445
2	675811	4420
358	311403	4403
186802	903814	4375
0	862908	4367
349221	856793	4349
252966	697281	4345
