taxid	truth_taxid	count
0	634502	97659
0	518634	97444
0	1072576	70701
1763	487521	67568
28123	910312	65541
28173	1051649	59875
0	246199	59838
2751	1087479	57015
1464	392917	56774
213	537971	55705
0	1077976	52718
0	546265	49678
0	548480	48166
517	743273	48006
338	427081	42895
662	675811	39248
0	427081	35182
1244	927691	34656
0	471874	31345
588	471874	30978
216465	365044	30761
0	927691	29590
0	1087479	27464
106	761193	26421
0	910312	26160
84595	1077976	25474
114616	460265	25367
0	537971	24550
497965	497965	24547
1129	32049	24259
1243	927691	23611
1264	246199	22981
413810	795797	22750
373	311402	22006
0	392917	21242
55148	693977	20598
1678	548480	20273
69966	458233	19628
0	743273	19443
0	314280	18655
62140	926570	18650
0	675811	18289
78587	573065	18098
338565	465817	17780
64895	521010	17463
0	426355	17426
405212	521098	17343
395961	395961	16725
0	487521	16515
0	314723	16510
140	314723	16442
482	546265	16285
193	137722	16234
0	460265	15874
511435	511995	15519
0	1051649	15144
0	269482	15054
0	795797	15012
43305	515622	14968
74109	314280	14863
31998	426355	14721
33059	637389	14515
310783	546414	14483
506	743273	14476
266779	266779	14354
29494	675811	13955
53346	1072576	13706
0	365044	13630
438	634452	13223
387343	797210	13164
29546	363253	13123
0	498743	12395
216816	548480	12272
64895	498743	12270
1162	103690	12071
533	395963	12046
1224	546265	11849
0	458233	11781
486	546265	11557
0	563032	11497
2238	272569	11144
39485	515620	11128
296591	296591	10831
702113	702113	10729
0	926570	10685
662	1051649	10667
266009	582744	10438
912	323097	10180
0	511995	10157
53946	391616	10105
1681	398513	10032
2047	563032	9959
209	537971	9950
0	398513	9822
412963	882378	9811
586	471874	9700
1236	675811	9516
1082930	1082931	9440
2724	582402	9404
13769	547559	9305
500	309801	9294
1350	1072576	9285
0	634452	9267
103690	103690	9183
71667	716544	9171
0	521010	9151
1184387	660470	9126
42838	429009	9110
187137	670487	8984
290399	290399	8925
881	391774	8847
29549	518766	8679
458033	981222	8677
0	343509	8622
84156	572546	8609
0	497965	8595
551760	76114	8543
0	103690	8493
79967	644651	8476
826	526218	8447
1678	398513	8446
641	675811	8445
2223	990316	8434
0	272569	8412
63612	343509	8390
433	634177	8381
1007105	1007105	8366
0	634177	8362
756883	756883	8351
199	360104	8318
1760	1077976	8292
2296	177437	8262
633	349747	8132
520	743273	8093
45663	485915	7962
0	706437	7944
79885	398511	7919
332410	262543	7829
29292	272844	7617
191	137722	7612
2242	64091	7404
0	32049	7395
1839	196162	7392
309805	123214	7299
2322	644295	7265
2	471874	7260
186826	927691	7240
1903414	471874	7183
266	318586	7166
0	644651	7164
2061	521096	7158
2054	526226	7150
138	314723	7110
0	465817	7016
302485	391619	6993
358	311403	6950
133539	472759	6936
0	311402	6920
0	637389	6904
89184	246200	6760
401619	515618	6734
91347	471874	6726
292414	292414	6710
1260	334413	6666
0	137722	6525
1003110	263358	6502
487	546265	6496
97084	862908	6358
1485	272562	6129
182337	634500	6113
64897	521010	6078
552	716540	5997
120793	487521	5975
100226	100226	5906
271065	1091494	5854
364317	391735	5813
810	264202	5787
32207	563032	5689
0	426114	5683
522	926570	5675
41431	41431	5626
0	323097	5575
1177712	634177	5559
662	314288	5558
1097668	1097668	5531
1111069	1111069	5505
29303	1003195	5486
0	546414	5481
42862	315456	5448
0	521098	5426
119219	266264	5398
69525	797303	5392
731	205914	5391
471223	471223	5368
1236	314280	5343
0	693977	5329
1	392917	5295
641	314280	5235
0	797210	5188
0	262543	5176
197162	639282	5128
32033	427081	5109
91061	1087479	5093
361575	930171	5073
0	761193	5060
154	665571	5012
155863	647113	4996
498846	374847	4994
46355	889378	4984
1224	427081	4970
44249	392917	4961
1767	487521	4957
55802	391623	4955
0	572265	4928
750	1005058	4859
35786	309798	4857
43663	290340	4854
0	395961	4796
810	243161	4784
1236	1051649	4759
91347	465817	4757
242703	666510	4744
81468	572547	4667
118000	522772	4665
349221	856793	4660
525903	525903	4651
870	246195	4633
0	891974	4622
208216	314260	4615
252966	697281	4606
160233	453591	4606
239935	349741	4602
844	273121	4590
81028	906968	4581
83984	410358	4566
215591	744872	4559
60893	880072	4557
171695	667014	4533
82996	682634	4527
1124597	156889	4523
316277	56780	4512
158787	548480	4507
33075	240015	4499
1131703	158189	4485
100716	517418	4479
471827	477974	4474
1624	362948	4473
2	675811	4467
1385	392917	4462
332249	649638	4453
186802	903814	4445
88058	545694	4437
2237	272569	4423
870903	401053	4421
305	267608	4407
55206	573413	4398
873	690850	4387
86170	643648	4384
1131707	158190	4372
84405	760142	4371
269261	749222	4370
119484	335543	4367
0	862908	4351
884684	699246	4349
2277	384616	4347
2234	224325	4342
891974	891974	4341
0	547559	4341
863	335541	4332
43674	471856	4320
84110	471855	4314
475088	521011	4292
0	471223	4292
2053	1077976	4282
657	314280	4278
269796	269796	4240
1042156	1042156	4232
286802	640132	4231
29405	1032480	4227
86304	203122	4226
1268	930171	4226
186192	869210	4223
28049	351607	4218
0	716540	4214
291990	555079	4211
445	661367	4202
542	264203	4175
186826	762051	4171
32008	1097668	4149
51197	645991	4142
944547	944547	4133
58180	207559	4131
28264	644284	4125
119060	640512	4121
208596	208596	4111
80816	502025	4101
552810	552811	4095
0	395963	4095
91061	1072576	4092
351052	187272	4091
48736	402626	4090
907	1064535	4083
330214	330214	4081
54120	679926	4078
1085	269796	4070
1268	290340	4070
995	929556	4048
0	882378	4047
300231	1085623	4045
244787	598659	4042
191495	469383	4034
119394	688269	4028
199596	395965	4010
155077	498211	4004
217	679897	4002
0	266779	4002
0	213810	3997
1744	754252	3986
184117	999630	3962
1382	521095	3962
1263	246199	3940
