taxid	truth_taxid	count
2751	1087479	80872
1464	392917	76798
0	518634	74546
28173	1051649	71634
1264	246199	65966
1244	927691	63953
588	471874	61233
28123	910312	60680
213	537971	59333
118562	634502	56457
1350	1072576	55499
520	743273	54625
29494	675811	49826
1763	487521	44472
338	427081	40205
486	546265	40162
546265	546265	35473
216465	365044	34836
2053	1077976	34460
0	634502	33858
53346	1072576	31502
497965	497965	30388
114616	460265	30320
1129	32049	29837
1767	487521	29418
662	675811	29014
84595	1077976	28061
106	761193	27923
373	311402	27387
643453	427081	26149
0	1077976	25989
140	314723	25699
413810	795797	25685
548480	548480	25201
69966	458233	25069
216816	548480	24952
338565	465817	23882
2	743273	23231
55148	693977	22778
657	314280	22361
1678	548480	22007
193	137722	21804
62140	926570	21668
0	927691	21658
836	910312	21078
395961	395961	19319
78587	573065	19298
209	537971	19216
518634	518634	19172
31998	426355	18606
266779	266779	17588
310783	546414	17456
64897	521010	17268
1162	103690	17235
0	246199	17194
511435	511995	17011
32207	563032	16895
387343	797210	16597
33059	637389	16538
43305	515622	15703
662	1051649	15021
405212	521098	14853
29546	363253	14392
74109	314280	14349
2	548480	14260
29519	498743	14200
912	323097	13980
269482	269482	13800
0	392917	13434
533	395963	13366
296591	296591	13071
438	634452	13057
0	1087479	12970
53946	391616	12785
0	460265	12497
2238	272569	12427
79967	644651	12243
0	427081	12199
63612	343509	12137
266009	582744	11788
290399	290399	11719
1678	398513	11690
702113	702113	11568
0	910312	11530
0	795797	11511
120793	487521	11053
0	426355	10825
292414	292414	10774
552	716540	10722
1082930	1082931	10704
1007105	1007105	10354
756883	756883	10340
0	471874	10321
0	675811	10301
0	314723	10218
84156	572546	10190
2242	64091	10123
0	487521	10120
586	471874	10089
2724	582402	10075
0	365044	9991
71667	716544	9913
551760	76114	9848
332410	262543	9821
881	391774	9755
42838	429009	9658
29292	272844	9613
187137	670487	9604
103690	103690	9591
13769	547559	9531
1085	269796	9506
412963	882378	9504
41431	41431	9422
2223	990316	9309
826	526218	9292
138072	572265	9235
482	546265	9209
133539	472759	9027
500	309801	8986
1681	398513	8941
2296	177437	8938
0	458233	8918
458033	981222	8893
517	743273	8885
45663	485915	8656
364317	391735	8610
29549	518766	8515
83560	243161	8462
182337	634500	8423
2061	521096	8417
2054	526226	8379
537971	537971	8346
891974	891974	8336
1839	196162	8273
2322	644295	8226
433	634177	8215
55802	391623	8201
246199	246199	8194
64895	521010	8153
0	1051649	8118
89184	246200	8112
1177712	634177	7896
309805	123214	7865
42862	315456	7860
83556	264202	7817
266	318586	7701
0	314280	7605
1260	334413	7549
1111069	1111069	7516
471874	471874	7508
32012	426114	7508
706437	706437	7452
79885	398511	7430
401619	515618	7347
48736	267608	7190
361575	930171	7090
199	360104	7080
0	511995	7072
0	743273	7001
1485	272562	6924
358	311403	6821
731	205914	6760
1263	246199	6677
0	926570	6665
1097668	1097668	6631
1184387	660470	6625
1243	927691	6599
1229	323261	6549
97084	862908	6448
35823	634502	6431
29303	1003195	6364
1902	100226	6354
434	634452	6353
662	314288	6298
64895	498743	6244
43663	290340	6211
0	634452	6205
0	548480	6200
944547	944547	6168
1252	1229758	6146
155863	647113	6132
0	497965	6048
39485	515620	6025
221822	391619	6019
0	537971	5945
0	563032	5909
633	349747	5880
0	272569	5847
197162	639282	5831
1624	362948	5825
69525	797303	5809
0	521010	5727
471223	471223	5566
83171	573064	5404
136609	762051	5399
450	661367	5367
46355	889378	5345
0	103690	5337
154	665571	5307
208596	208596	5302
82996	682634	5288
844	273121	5283
498846	374847	5252
119060	1097668	5252
160233	453591	5211
0	498743	5171
1131703	158189	5170
2234	224325	5163
349221	856793	5151
81028	906968	5146
870	246195	5125
215591	744872	5107
88058	545694	5105
269261	749222	5099
252966	697281	5097
1003110	263358	5091
0	398513	5082
870903	401053	5081
426355	426355	5077
119219	266264	5068
399742	399742	5053
1131707	158190	5048
35786	309798	5042
119394	688269	5012
186802	903814	5008
100716	517418	4996
81468	572547	4993
271065	1091494	4977
242703	666510	4960
118000	522772	4959
60893	880072	4946
2237	272569	4928
86170	643648	4923
873	690850	4919
2104	272634	4918
208216	314260	4909
1578	362948	4898
33075	240015	4897
471827	477974	4891
1042156	1042156	4886
