taxid	truth_taxid	count
0	518634	96806
28173	1051649	81495
53346	1072576	81033
0	634502	78470
879243	910312	75692
1234679	1087479	71610
1464	392917	65871
0	246199	60948
588	471874	56721
0	1077976	46246
903510	675811	44308
1763	487521	41186
1112204	1077976	39395
213	537971	39106
517	743273	38800
365044	365044	37341
520	743273	36464
76802	427081	31880
1229756	927691	31537
460265	460265	31041
311402	311402	30754
216816	548480	30316
497965	497965	30213
761193	761193	30158
795797	795797	27850
697329	246199	27768
0	471874	27334
338	427081	27257
662	675811	26835
298386	314280	26753
0	927691	25984
0	546265	25572
465817	465817	25233
103690	103690	24996
926570	926570	24591
0	1087479	24018
137722	137722	23752
693977	693977	23220
537971	537971	22942
0	427081	22596
1244	927691	22427
458233	458233	22326
0	548480	21231
1867252	314723	21162
0	910312	21072
426355	426355	20492
489653	546265	20285
573065	573065	20236
395961	395961	19103
482	546265	18893
32049	32049	18768
266779	266779	18322
521010	521010	18286
0	314280	18085
1767	487521	18063
546414	546414	17986
0	537971	17554
797210	797210	17407
515622	515622	17340
511995	511995	17249
521098	521098	17103
272569	272569	16847
0	392917	16682
762948	563032	16674
0	743273	16109
0	426355	15838
323097	323097	15814
702113	702113	15193
0	675811	15192
1681	398513	14866
0	269482	14731
120793	487521	14652
481145	634452	14357
29546	363253	14274
0	314723	14176
290399	290399	14087
395963	395963	14042
0	487521	14024
391616	391616	13913
296591	296591	13887
0	460265	13465
515620	515620	13363
0	795797	12855
882378	882378	12839
547559	547559	12575
634177	634177	12322
0	1051649	11960
582744	582744	11833
292414	292414	11742
0	365044	11649
343509	343509	11464
76114	76114	11356
1129	32049	11341
0	498743	11218
0	563032	10932
311403	311403	10924
2242	64091	10892
634499	644651	10875
1082931	1082931	10848
346	427081	10565
660470	660470	10528
582402	582402	10456
262543	262543	10422
1007105	1007105	10415
318586	318586	10275
756883	756883	10003
716544	716544	9902
309801	309801	9884
0	458233	9846
634500	634500	9830
572546	572546	9820
429009	429009	9772
272844	272844	9665
670487	670487	9656
398511	398511	9610
41431	41431	9542
990316	990316	9536
147375	392917	9449
487	546265	9448
1679	548480	9432
981222	981222	9423
935588	546265	9412
177437	177437	9331
526218	526218	9315
0	926570	9308
360104	360104	9294
246200	246200	9272
349747	349747	9223
472759	472759	9160
1097668	1097668	9107
930171	930171	9062
471223	471223	9053
33059	637389	8972
391735	391735	8918
0	511995	8838
