taxid	truth_taxid	count
0	518634	99998
520	743273	98843
0	634502	98424
53346	1072576	98327
0	246199	91227
879243	910312	90495
28173	1051649	87555
1234679	1087479	86833
903510	675811	82271
1464	392917	77119
1229756	927691	76133
588	471874	75463
76802	427081	70720
1112204	1077976	70662
1767	487521	53874
365044	365044	51171
213	537971	48090
460265	460265	46160
795797	795797	41519
1867252	314723	39696
311402	311402	39623
426355	426355	39535
537971	537971	39480
497965	497965	37988
926570	926570	37663
489653	546265	36122
103690	103690	35736
761193	761193	34421
458233	458233	34419
521010	521010	34416
465817	465817	33696
137722	137722	32817
32049	32049	31522
216816	548480	31227
486	546265	30441
298386	314280	29869
693977	693977	28646
0	1077976	28501
272569	272569	26472
511995	511995	26176
481145	634452	24961
634177	634177	24792
0	548480	24090
1681	398513	23894
573065	573065	23716
521098	521098	23560
546414	546414	23543
395961	395961	23505
797210	797210	22989
323097	323097	22945
266779	266779	22850
343509	343509	22740
0	471874	21466
762948	563032	21423
346	427081	20698
702113	702113	20505
515622	515622	20461
0	314280	20353
290399	290399	20172
147375	392917	19793
120793	487521	18201
395963	395963	17773
882378	882378	17731
391616	391616	17682
0	269482	17374
296591	296591	17345
1679	548480	17254
292414	292414	17081
547559	547559	17074
29546	363253	16875
1097668	1097668	16678
262543	262543	16386
582744	582744	15781
515620	515620	15173
2242	64091	14996
637389	637389	14959
29519	498743	14790
634499	644651	14711
891974	891974	14650
930171	930171	14344
76114	76114	14109
756883	756883	14089
471223	471223	14079
487	546265	14000
41431	41431	13788
634500	634500	13676
311403	311403	13398
0	1087479	13145
318586	318586	12875
797303	797303	12787
221822	391619	12604
398511	398511	12338
0	1051649	12130
0	927691	12059
526218	526218	12044
360104	360104	11932
309801	309801	11899
1007105	1007105	11867
1082931	1082931	11861
429009	429009	11851
472759	472759	11824
660470	660470	11793
582402	582402	11736
290340	290340	11674
272844	272844	11631
990316	990316	11561
485915	485915	11476
315456	315456	11446
572546	572546	11431
391735	391735	11363
177437	177437	11355
526226	526226	11239
246200	246200	11209
349747	349747	11203
521096	521096	11158
670487	670487	11148
693216	693216	11101
100226	100226	11099
762051	762051	11071
482957	482957	11051
716544	716544	10960
981222	981222	10959
552	716540	10947
399742	399742	10503
264202	264202	10456
263358	263358	10453
196162	196162	10317
1111069	1111069	10139
0	498743	10110
0	675811	9933
644295	644295	9882
1091494	1091494	9696
640512	640512	9502
0	910312	9464
323261	323261	9437
317655	317655	9409
663	314288	9396
862908	862908	9279
515618	515618	9041
1003195	1003195	9008
1229758	1229758	8920
518766	518766	8865
60481	60481	8854
123214	123214	8711
334413	334413	8703
208596	208596	8668
1005058	1005058	8660
33059	637389	8618
591167	591167	8580
697329	246199	8363
487521	487521	8279
682634	682634	8147
634504	634504	8092
391623	391623	8065
362948	362948	8002
1488	272562	7967
944547	944547	7963
