taxid	truth_taxid	count
879243	910312	86977
697284	392917	84365
1234679	1087479	83223
1300150	1072576	83134
903510	675811	80728
1229756	927691	76185
696747	634502	75841
28173	1051649	75732
1157951	471874	67987
489653	546265	64146
1112204	1077976	64061
517	743273	56234
365044	365044	51164
460265	460265	46138
0	537971	45972
520	743273	43764
314723	314723	43303
366649	427081	42997
1206745	537971	42294
795797	795797	41510
426355	426355	39625
311402	311402	39620
497965	497965	37976
458233	458233	37437
926570	926570	37175
32049	32049	36846
103690	103690	35092
761193	761193	34420
521010	521010	34200
465817	465817	33649
137722	137722	32659
693977	693977	28666
1138382	487521	27442
269482	269482	26389
272569	272569	26317
511995	511995	26175
120793	487521	25587
481145	634452	25274
634177	634177	25242
573065	573065	23713
1763	487521	23616
546414	546414	23534
395961	395961	23503
298386	314280	23429
521098	521098	23341
216816	548480	22999
797210	797210	22974
323097	323097	22937
266779	266779	22864
343509	343509	22732
702113	702113	20509
515622	515622	20458
290399	290399	20122
762948	563032	19012
395963	395963	17768
882378	882378	17725
391616	391616	17657
296591	296591	17328
292414	292414	17097
547559	547559	17017
29546	363253	16434
262543	262543	16336
1681	398513	16246
1097668	1097668	16006
515620	515620	15111
79967	644651	15052
891974	891974	14624
582744	582744	14589
756883	756883	14308
930171	930171	14175
76114	76114	14108
471223	471223	14083
634500	634500	13721
311403	311403	13323
2242	64091	13226
318586	318586	12892
797303	797303	12793
41431	41431	12783
990288	637389	12577
398511	398511	12337
1767	487521	12325
526218	526218	12042
360104	360104	11945
309801	309801	11897
1007105	1007105	11868
1082931	1082931	11856
429009	429009	11850
472759	472759	11823
660470	660470	11791
582402	582402	11735
272844	272844	11624
990316	990316	11557
391619	391619	11488
485915	485915	11472
572546	572546	11430
290340	290340	11378
391735	391735	11361
177437	177437	11353
762051	762051	11295
315456	315456	11275
526226	526226	11237
349747	349747	11235
246200	246200	11203
521096	521096	11158
670487	670487	11147
100226	100226	11097
572265	572265	10996
716544	716544	10960
981222	981222	10957
862908	862908	10904
243161	243161	10896
482957	482957	10889
693216	693216	10734
266264	266264	10612
399742	399742	10503
264202	264202	10445
263358	263358	10445
391623	391623	10433
196162	196162	10316
1111069	1111069	10128
338	427081	10004
644295	644295	9881
640512	640512	9442
317655	317655	9410
338187	338187	9349
323261	323261	9255
661367	661367	9254
515618	515618	9039
1003195	1003195	9002
716540	716540	8794
518766	518766	8731
123214	123214	8711
334413	334413	8702
1005058	1005058	8655
208596	208596	8647
426114	426114	8616
1229758	1229758	8598
316273	316273	8428
1219076	314288	8383
484020	398513	8292
591167	591167	8284
60481	60481	8048
634504	634504	8028
1488	272562	7983
944547	944547	7953
552	716540	7952
1624	362948	7899
305	267608	7854
487	546265	7440
573064	573064	7383
173	267671	7308
647113	647113	7300
381666	381666	7259
881	391774	7079
484022	484022	7041
682634	682634	6997
644281	644281	6908
443254	443254	6834
412418	412418	6777
452662	452662	6682
983545	983545	6672
205914	205914	6441
639282	639282	6435
487521	487521	6080
401053	401053	5964
453591	453591	5955
666510	666510	5939
330214	330214	5936
889378	889378	5935
521011	521011	5933
338963	338963	5933
471856	471856	5933
326427	326427	5928
880072	880072	5928
374847	374847	5927
643648	643648	5919
999630	999630	5918
477974	477974	5918
857087	857087	5913
156889	156889	5911
240015	240015	5910
56780	56780	5903
335543	335543	5903
349741	349741	5902
203122	203122	5902
525146	525146	5901
471855	471855	5888
314260	314260	5877
351607	351607	5869
498211	498211	5868
690850	690850	5859
158189	158189	5855
906968	906968	5854
577650	577650	5850
517418	517418	5848
261292	261292	5846
273121	273121	5846
749222	749222	5844
269796	269796	5842
649638	649638	5841
246195	246195	5841
644284	644284	5838
1769	561304	5834
717774	717774	5833
326297	326297	5832
324925	324925	5831
290315	290315	5830
1085623	1085623	5828
375286	375286	5826
319225	319225	5824
545694	545694	5822
517417	517417	5821
525903	525903	5819
395965	395965	5819
555079	555079	5818
640132	640132	5813
224325	224325	5810
529709	529709	5809
399549	399549	5805
312153	312153	5800
519442	519442	5794
228410	228410	5792
583345	583345	5790
1006006	1006006	5790
410358	410358	5785
158190	158190	5784
63186	63186	5780
697281	697281	5777
309798	309798	5773
1042156	1042156	5770
869210	869210	5768
64187	427081	5766
744872	744872	5764
1032480	1032480	5761
335541	335541	5759
572547	572547	5749
316279	316279	5748
552811	552811	5745
94122	94122	5744
400668	400668	5744
290317	290317	5743
425104	425104	5742
856793	856793	5738
491952	491952	5738
521045	521045	5736
225849	225849	5733
523791	523791	5730
591001	591001	5729
318161	318161	5729
572478	572478	5716
1048758	903503	5705
903814	903814	5704
743299	743299	5701
207559	207559	5700
269800	269800	5700
1085	269796	5698
213810	213810	5693
645991	645991	5684
522772	522772	5682
384616	384616	5679
643562	643562	5674
471857	471857	5667
886377	886377	5659
637905	637905	5647
458817	458817	5646
392500	392500	5645
595494	595494	5645
83558	182082	5626
688269	688269	5625
1005048	1005048	5618
398579	398579	5613
557598	557598	5605
667014	667014	5597
64471	64471	5591
699246	699246	5589
342949	342949	5585
357804	357804	5583
314282	314282	5582
547558	547558	5575
693979	693979	5569
323850	323850	5532
521095	521095	5531
749219	1236608	5526
697329	246199	5504
187272	187272	5504
1042877	1042877	5504
259564	259564	5482
321327	321327	5481
709986	709986	5480
2104	272634	5474
754252	754252	5469
929556	929556	5465
203123	203123	5448
649639	649639	5413
391904	548480	5398
1064535	1064535	5396
61435	255470	5394
2285	330779	5391
40137	504832	5380
696127	696127	5379
434131	434131	5374
438753	438753	5363
393305	393305	5358
502025	502025	5356
85643	85643	5351
679897	679897	5347
313603	313603	5334
591019	591019	5331
679926	679926	5331
633149	633149	5326
771875	771875	5322
362948	362948	5320
406818	406818	5289
1209989	1209989	5275
197221	197221	5274
439481	439481	5273
553	706191	5263
573413	573413	5261
120045	264203	5247
504728	504728	5238
604354	604354	5232
281090	281090	5222
715451	715451	5220
399550	399550	5204
34021	537021	5192
190650	190650	5183
357809	357809	5177
443144	443144	5176
561230	561230	5159
2261	186497	5147
768704	768704	5140
374463	374463	5139
479431	479431	5137
760142	760142	5132
452471	452471	5131
333146	333146	5126
350688	350688	5118
338217	355276	5102
293826	293826	5100
640081	640081	5099
243275	243275	5096
373903	373903	5057
243265	243265	5056
875328	875328	5053
639283	639283	5049
985665	985665	5046
933801	933801	5042
329	402626	5034
983548	983548	5028
478801	478801	5024
381764	381764	5005
221109	221109	4994
945021	945021	4990
598659	598659	4974
65058	945711	4960
1045855	1045855	4928
298653	298653	4860
881621	881621	4856
469383	469383	4838
218495	218495	4834
498217	498217	4830
1075399	1075399	4801
688270	688270	4792
360106	360106	4789
877455	877455	4774
757424	757424	4761
395495	395495	4720
685727	525370	4709
683837	683837	4698
546269	546269	4697
292805	292805	4690
203124	203124	4673
391774	391774	4671
446465	446465	4651
441768	441768	4645
386043	386043	4620
34085	693978	4605
717959	717959	4562
406327	406327	4556
35554	243231	4532
243272	243272	4514
593907	593907	4509
1515	203119	4492
446466	446466	4488
1511	1511	4482
1091494	1091494	4468
273068	273068	4451
54736	218493	4450
274	262724	4445
384676	384676	4415
218497	218497	4406
402626	402626	4396
404380	404380	4345
747	272843	4324
243233	243233	4259
446462	446462	4235
309799	309799	4182
765698	765698	4145
743721	743721	4110
770	234826	4075
391009	391009	4066
419665	419665	4056
1255	278197	4017
306263	306263	4003
204536	204536	3999
573061	573061	3998
665571	665571	3978
519441	519441	3972
203907	203907	3923
438	634452	3901
283734	937773	3901
347255	347255	3894
768672	768672	3885
936154	873447	3851
205920	205920	3850
731	205914	3843
1360	272623	3815
565034	565034	3804
397945	397945	3786
837	242619	3780
302911	442563	3766
484019	484019	3729
2096	710128	3725
49338	138119	3663
135577	283942	3651
803	283165	3597
754035	754035	3577
84590	1008459	3572
680198	680198	3568
572263	45361	3483
1069533	706437	3458
529507	529507	3420
313598	313598	3359
281309	281309	3356
688245	688245	3355
1041504	1041504	3347
748280	748280	3328
198804	198804	3306
644651	644651	3296
782	449216	3265
334380	334380	3262
64895	498743	3260
212717	212717	3257
452652	452652	3251
585054	585054	3211
347256	347256	3184
262724	262724	3182
1350	1072576	3164
512564	512564	3106
246194	246194	3088
135720	546265	3059
29501	859194	3054
635013	635013	3042
195102	195102	2852
887061	887061	2787
339860	339860	2781
630	393305	2727
743525	743525	2724
29549	518766	2688
360105	360105	2677
743720	743720	2647
347257	347257	2632
702459	398513	2623
565655	548480	2619
565575	565575	2613
234	520463	2600
339	190485	2562
526224	526224	2557
290434	290434	2503
342451	342451	2495
523794	523794	2482
608506	608506	2461
998088	998088	2458
779	254945	2379
0	1986029	2354
859194	859194	2338
759350	548480	2334
465515	465515	2319
223283	223283	2310
221822	391619	2307
37692	37692	2295
367928	367928	2218
28903	289397	2186
340	190485	2176
1045858	1045858	2175
205921	706437	2170
272635	272635	2157
581103	581103	2140
64091	64091	2134
485	242231	2133
60480	60480	2104
1502	195102	2094
1513	212717	2094
82996	682634	2087
267608	267608	2066
138119	138119	2043
390236	498743	2031
316273	427081	1997
762051	927691	1970
272558	272558	1967
42323	882102	1966
351627	351627	1961
33967	203120	1954
190486	427081	1944
279808	279808	1932
154	665571	1911
482	546265	1878
565042	548480	1876
272633	272633	1858
28025	442563	1850
1244	927691	1838
1718161	392917	1815
1008459	1008459	1770
32008	269482	1756
150340	150340	1709
365659	365659	1705
1081646	498743	1686
762550	927691	1671
84588	84588	1664
435998	548480	1661
1203670	706437	1641
490899	490899	1638
1304892	427081	1638
2099	262719	1635
350058	350058	1635
360911	360911	1612
316057	548480	1604
551	644651	1595
157	243276	1591
1578	548480	1566
883062	398513	1565
157	545776	1526
1232724	487521	1516
447217	447217	1450
53354	637909	1409
283165	283165	1372
1138383	487521	1372
481743	481743	1371
1243	1229758	1291
81682	887061	1287
935588	546265	1244
396595	396595	1231
29519	498743	1209
278197	278197	1209
290434	498743	1193
81682	582744	1190
697303	697303	1158
765177	765177	1148
445987	498743	1145
1162	103690	1130
190304	190304	1127
2100	872331	1125
289397	289397	1124
347	427081	1104
742013	742013	1088
592022	592022	1083
254945	254945	1062
604162	546265	1053
889932	548480	1029
1268	290340	1019
1679	548480	1014
43988	41431	1005
32012	426114	985
784	334380	956
662598	546265	953
543	546265	935
0	520463	928
267671	267671	923
272831	546265	920
981368	427081	902
613	682634	899
94694	768672	898
150340	314288	895
243231	243231	883
369723	369723	882
242619	242619	864
22	60481	862
22	60480	842
235279	537971	826
2110	347257	823
945711	945711	799
580331	580331	771
346	427081	747
748727	748727	722
233150	710128	709
937773	937773	709
77643	1048245	683
482	242231	676
