taxid	truth_taxid	count
879243	910312	86977
53346	1072576	85545
1234679	1087479	83223
903510	675811	79259
28173	1051649	75732
1229756	927691	75471
588	471874	73072
1112204	1077976	64054
517	743273	58194
365044	365044	51164
1464	392917	49343
76802	427081	48597
147375	392917	47346
460265	460265	46137
213	537971	44712
537971	537971	42159
520	743273	41806
795797	795797	41508
311402	311402	39612
1867252	314723	39423
426355	426355	39304
486	546265	39203
497965	497965	37975
926570	926570	37175
346	427081	36569
103690	103690	34997
761193	761193	34420
521010	521010	34002
465817	465817	33645
489653	546265	33224
458233	458233	33162
1767	487521	32826
32049	32049	32726
137722	137722	32540
120793	487521	30767
693977	693977	28666
216816	548480	27275
272569	272569	26227
511995	511995	26175
634177	634177	24301
481145	634452	24211
573065	573065	23713
546414	546414	23534
395961	395961	23503
298386	314280	23373
521098	521098	23341
1763	487521	22958
797210	797210	22953
323097	323097	22930
1681	398513	22870
266779	266779	22832
343509	343509	22665
515622	515622	20446
290399	290399	20111
702113	702113	19519
762948	563032	19010
637389	637389	17786
395963	395963	17768
882378	882378	17723
391616	391616	17654
296591	296591	17323
292414	292414	17063
547559	547559	16988
1679	548480	16623
29546	363253	16435
262543	262543	16334
515620	515620	15144
891974	891974	14612
582744	582744	14589
634499	644651	14558
756883	756883	14282
930171	930171	14143
76114	76114	14097
471223	471223	14019
634500	634500	13655
1097668	1097668	13601
29519	498743	13325
311403	311403	13305
2242	64091	13204
318586	318586	12839
41431	41431	12783
797303	797303	12693
221822	391619	12682
398511	398511	12331
526218	526218	12042
309801	309801	11897
1007105	1007105	11864
1082931	1082931	11855
360104	360104	11852
429009	429009	11850
472759	472759	11823
660470	660470	11790
582402	582402	11735
272844	272844	11624
990316	990316	11558
485915	485915	11472
572546	572546	11430
391735	391735	11355
177437	177437	11350
315456	315456	11243
526226	526226	11232
246200	246200	11202
670487	670487	11147
521096	521096	11145
349747	349747	11090
716544	716544	10960
981222	981222	10957
100226	100226	10833
290340	290340	10691
762051	762051	10652
693216	693216	10456
264202	264202	10445
263358	263358	10445
196162	196162	10314
399742	399742	10134
1111069	1111069	10112
482957	482957	10070
644295	644295	9881
1091494	1091494	9695
338	427081	9465
640512	640512	9415
323261	323261	9251
317655	317655	9071
487	546265	9062
663	314288	9054
515618	515618	9039
1003195	1003195	8998
305	267608	8906
518766	518766	8731
716540	716540	8718
123214	123214	8711
334413	334413	8697
1005058	1005058	8655
208596	208596	8647
1229758	1229758	8475
1300150	1072576	8418
591167	591167	8282
634504	634504	8028
173	267671	8001
1488	272562	7983
944547	944547	7953
60481	60481	7783
573064	573064	7382
862908	862908	7327
647113	647113	7300
381666	381666	7256
881	391774	7079
