taxid	truth_taxid	count
-2	518634	99206
520	743273	98951
-2	246199	91390
28123	910312	90234
213	537971	89308
28173	1051649	86845
2751	1087479	86663
1464	392917	86660
53346	1072576	85473
29494	675811	84972
1244	927691	81234
1767	487521	78638
118562	634502	77931
84595	1077976	69842
588	471874	68949
486	546265	66007
-2	548480	55693
216465	365044	51171
114616	460265	46160
140	314723	43322
-2	427081	43226
366648	427081	41968
413810	795797	41519
373	311402	39635
31998	426355	39630
497965	497965	37988
62140	926570	37663
69966	458233	37445
32049	32049	36850
216816	548480	36145
103690	103690	35963
64897	521010	34476
106	761193	34421
338565	465817	33696
193	137722	32888
-2	471874	30221
-2	1077976	29784
74109	314280	29514
1681	398513	29391
438	634452	29269
55148	693977	28676
60552	269482	28309
2238	272569	26487
511435	511995	26176
1177712	634177	25389
78587	573065	23715
405212	521098	23708
310783	546414	23543
395961	395961	23505
-2	314280	23248
387343	797210	22989
912	323097	22945
266779	266779	22865
63612	343509	22742
-2	634502	22058
2047	563032	21255
702113	702113	20513
43305	515622	20462
290399	290399	20245
79967	644651	20083
-2	498743	18736
-2	487521	18475
533	395963	17773
412963	882378	17731
53946	391616	17682
296591	296591	17345
292414	292414	17101
13769	547559	17090
29546	363253	16928
552	716540	16882
487	546265	16800
1097668	1097668	16680
332410	262543	16386
-2	546265	16148
-2	927691	15895
266009	582744	15781
2242	64091	15382
39485	515620	15173
891974	891974	14651
361575	930171	14349
756883	756883	14348
471223	471223	14152
551760	76114	14114
-2	675811	13912
221822	391619	13842
41431	41431	13788
182337	634500	13737
358	311403	13407
1624	362948	13322
-2	1087479	13320
-2	392917	13134
33059	637389	13073
-2	1051649	12943
266	318586	12896
69525	797303	12835
43663	290340	12398
79885	398511	12343
826	526218	12044
199	360104	11945
500	309801	11899
1007105	1007105	11870
531813	1082931	11861
42838	429009	11851
133539	472759	11824
1184387	660470	11793
881	391774	11753
2724	582402	11736
29292	272844	11631
2223	990316	11561
633	349747	11557
1085	269796	11546
45663	485915	11476
42862	315456	11448
84156	572546	11431
29549	518766	11420
364317	391735	11363
2296	177437	11355
136609	762051	11315
2054	526226	11239
89184	246200	11209
2061	521096	11158
187137	670487	11148
413502	693216	11143
1902	100226	11099
482957	482957	11095
138072	572265	10997
