taxid	truth_taxid	count
-2	518634	99973
-2	634502	99968
358	743273	97241
-2	246199	92600
101571	487521	90094
-2	1077976	89344
1608044	910312	87516
1869170	1087479	85523
564886	1051649	81135
1871313	1072576	79129
1908806	675811	74087
1608089	392917	69195
1055531	927691	63393
1379788	427081	62029
627192	365044	50959
1248725	546265	49631
1705394	460265	45982
1547445	471874	44103
396513	537971	42133
480	795797	41364
197221	311402	39125
1675555	426355	38082
1972567	497965	37975
134601	548480	36360
167020	537971	36016
697303	926570	35831
40324	761193	34405
-2	314723	34333
267608	103690	34012
2038728	465817	32803
367121	137722	31515
813	427081	30573
-2	458233	30207
337824	471874	29128
1923247	521010	28734
431892	693977	28557
202566	392917	27521
-2	548480	27052
395495	634452	26376
1714272	511995	26146
76114	272569	25632
-2	32049	25283
-2	314280	24515
104087	573065	23646
526949	395961	23498
300267	546414	23464
1740165	314280	23298
560178	521098	22916
1541205	634177	22869
316	797210	22768
266779	266779	22749
1056831	323097	22683
-2	471874	22502
1840644	343509	22496
485	546265	21979
-2	546265	20569
1838082	515622	20403
134601	398513	20182
1641896	702113	19603
565033	290399	19516
1385663	563032	19048
-2	269482	18000
-2	1051649	17916
1215087	395963	17741
1714273	882378	17563
75906	548480	17257
1604	296591	17171
-2	391616	17171
35316	363253	16904
1843750	547559	16881
1508711	644651	16618
75746	292414	16604
754064	262543	16241
754476	927691	15654
1150991	515620	15122
139870	64091	14828
300411	582744	14642
1838286	637389	14306
399185	1097668	14217
-2	927691	14187
-2	1087479	14146
10564	76114	14037
234831	891974	14020
1903704	756883	13969
1116375	930171	13956
985053	471223	13535
1508712	634500	13329
1284	311403	13091
2067960	318586	12592
-2	675811	12499
1843753	41431	12439
1412453	797303	12413
1868589	398511	12316
984892	526218	12038
1184252	309801	11884
272558	1072576	11857
68416	1007105	11842
1411991	429009	11823
1386087	1082931	11815
270146	472759	11793
758802	660470	11782
234612	582402	11729
1147148	272844	11557
1449088	990316	11555
883	485915	11469
-2	910312	11464
1922356	572546	11419
-2	498743	11394
1543199	177437	11328
1643324	670487	11114
395095	526226	11092
1710356	246200	11065
2006110	349747	11056
369723	521096	11055
1476391	100226	10998
1449976	716544	10953
73422	290340	10920
518	862908	10904
-2	981222	10725
-2	360104	10542
10390	315456	10447
985002	264202	10367
1705090	263358	10364
-2	391735	10274
1608137	716540	10082
623144	644295	9880
2103	391774	9812
1746071	1111069	9808
-2	196162	9685
272560	1091494	9684
399781	399742	9639
204711	323261	9187
565655	762051	9126
1150989	515618	9013
1842536	640512	9001
71030	537971	8874
108098	1003195	8842
1352230	267608	8808
693746	637389	8747
594679	123214	8709
134554	334413	8678
1283079	693216	8660
901	1005058	8622
263819	498743	8600
72000	208596	8599
333146	317655	8591
-2	563032	8543
37927	391619	8470
1296	591167	8147
1351	267671	8091
1837862	272562	7978
1084722	706437	7943
39420	944547	7926
1908804	634504	7800
141451	398513	7787
760530	518766	7746
1449088	60481	7742
1249467	482957	7664
596777	1229758	7656
1010	498743	7598
1249658	647113	7293
1906317	573064	7273
33011	381666	7104
143387	32049	7016
-2	426114	7008
1774743	644281	6823
-2	537971	6768
1412600	314288	6766
1412600	675811	6764
1922672	682634	6756
-2	572265	6623
1746030	246199	6471
596153	639282	6425
266264	266264	6401
983545	983545	6398
99179	412418	6335
1379692	393305	6279
1051973	362948	6178
1844477	205914	6086
1352230	402626	6070
1941233	401053	5958
891968	453591	5944
2071623	666510	5933
1185653	521011	5928
1609559	374847	5926
1313215	330214	5925
1482319	880072	5921
889378	889378	5921
333920	999630	5915
262177	643648	5911
1415629	477974	5903
656178	338963	5902
298657	156889	5902
331642	56780	5902
65743	240015	5901
37927	857087	5897
196620	338187	5895
2005444	335543	5890
1922604	203122	5884
1642646	384616	5883
1542745	471855	5871
1640885	314260	5860
67762	906968	5848
985081	351607	5845
563769	498211	5845
465447	158189	5845
1417673	690850	5844
1482734	716540	5838
759364	517418	5837
557598	273121	5832
336987	717774	5832
1941349	749222	5821
859654	269796	5819
323	545694	5818
1219076	649638	5818
1353241	324925	5815
299200	1085623	5815
101571	561304	5812
546	644284	5806
1412595	399549	5804
1317107	246195	5804
1610855	290315	5801
1415145	395965	5792
1579	525903	5790
1874539	1006006	5788
1955198	410358	5783
498216	158190	5780
1904884	319225	5780
1727164	583345	5779
1714272	63186	5774
693629	529709	5768
627192	309798	5766
-2	326427	5765
1582155	697281	5764
859199	640132	5761
333763	1042156	5760
1703966	744872	5758
203168	335541	5751
759363	517417	5745
1938606	572547	5739
288	316279	5733
2003398	375286	5732
1383068	869210	5729
40271	400668	5727
1343920	491952	5726
1123366	521045	5722
1842540	519442	5719
1606763	591001	5712
1908813	552811	5712
694427	1032480	5706
234612	572478	5699
215578	318161	5698
-2	555079	5697
271108	225849	5695
234612	290317	5686
-2	577650	5677
192	207559	5673
1412455	645991	5672
1589	743299	5671
1051675	903503	5670
1221208	452662	5656
1082933	886377	5653
-2	261292	5652
1476577	269796	5650
499235	269800	5648
-2	522772	5624
2110	243161	5618
131226	688269	5615
661101	595494	5605
1736759	458817	5602
526949	471857	5601
-2	213810	5600
587	197221	5590
1213588	667014	5588
37927	637905	5581
1540096	643562	5576
594679	856793	5575
1648481	357804	5572
1923074	314282	5558
857417	398579	5557
274	316273	5557
103442	342949	5551
1837283	693979	5546
663	699246	5539
-2	228410	5539
1221206	521095	5526
1843753	323850	5513
-2	326297	5511
1412466	272634	5500
-2	64471	5472
1648484	259564	5463
198094	929556	5452
1412474	187272	5448
563178	321327	5447
557724	709986	5444
1972623	203123	5435
-2	425104	5428
72197	649639	5402
270256	696127	5374
-2	392500	5348
131082	502025	5341
1282444	679926	5331
1249662	679897	5331
1772	330779	5329
172045	313603	5326
300180	1008459	5320
-2	523791	5309
362830	438753	5304
658666	547558	5297
167129	243161	5292
698737	272843	5289
1345661	255470	5281
1838071	439481	5268
1185650	573413	5261
10288	1209989	5261
984186	591019	5245
1405	706191	5224
395961	504728	5221
36870	604354	5219
1739609	537021	5218
1736759	633149	5183
107804	224325	5182
239365	357809	5174
1792307	399550	5164
401473	434131	5148
1502	85643	5145
203122	760142	5131
301102	452471	5125
2003651	768704	5123
134599	374463	5108
526977	350688	5102
1712571	190650	5094
