taxid	truth_taxid	count
0	518634	99955
520	743273	99245
28173	1051649	96373
53346	1072576	93196
879243	910312	91952
0	634502	90093
1234679	1087479	87776
903510	675811	84329
0	246199	79659
1464	392917	76880
1229756	927691	76223
588	471874	76172
1112204	1077976	75683
76802	427081	72580
1767	487521	53418
365044	365044	51158
213	537971	47604
460265	460265	46130
795797	795797	41421
298386	314280	40790
537971	537971	40654
1867252	314723	39658
311402	311402	39617
426355	426355	39532
497965	497965	37985
926570	926570	37650
103690	103690	35762
761193	761193	34420
458233	458233	34380
521010	521010	34264
465817	465817	33693
137722	137722	32807
32049	32049	31837
489653	546265	29479
216816	548480	29298
693977	693977	28639
272569	272569	26474
511995	511995	26159
486	546265	25990
481145	634452	25168
634177	634177	24839
573065	573065	23715
521098	521098	23564
546414	546414	23543
1681	398513	23532
395961	395961	23504
797210	797210	22983
323097	323097	22945
266779	266779	22851
343509	343509	22728
762948	563032	22728
0	1077976	21764
702113	702113	20504
515622	515622	20458
147375	392917	20238
290399	290399	20173
0	471874	19481
697329	246199	19348
346	427081	19330
120793	487521	17773
395963	395963	17771
882378	882378	17686
391616	391616	17682
1679	548480	17656
296591	296591	17343
292414	292414	17083
547559	547559	17039
29546	363253	16834
1097668	1097668	16677
262543	262543	16386
29519	498743	16039
582744	582744	15781
515620	515620	15172
637389	637389	15033
0	546265	14986
2242	64091	14985
634499	644651	14621
891974	891974	14617
0	269482	14569
930171	930171	14342
76114	76114	14108
756883	756883	14086
471223	471223	14075
487	546265	13912
41431	41431	13787
634500	634500	13676
311403	311403	13399
0	548480	13267
318586	318586	12870
797303	797303	12784
221822	391619	12728
398511	398511	12337
0	1087479	12190
526218	526218	12012
360104	360104	11921
309801	309801	11897
1007105	1007105	11862
1082931	1082931	11861
429009	429009	11843
472759	472759	11824
660470	660470	11792
582402	582402	11735
290340	290340	11677
272844	272844	11631
990316	990316	11560
485915	485915	11470
315456	315456	11445
572546	572546	11418
391735	391735	11359
177437	177437	11351
526226	526226	11231
349747	349747	11211
246200	246200	11197
521096	521096	11148
670487	670487	11136
693216	693216	11106
762051	762051	11092
100226	100226	11087
482957	482957	11068
716544	716544	10958
981222	981222	10957
482	546265	10940
552	716540	10934
399742	399742	10505
264202	264202	10453
263358	263358	10440
196162	196162	10313
1111069	1111069	10115
644295	644295	9878
0	314280	9851
1091494	1091494	9679
640512	640512	9484
323261	323261	9437
663	314288	9419
317655	317655	9399
862908	862908	9300
515618	515618	8953
1229758	1229758	8948
1003195	1003195	8937
518766	518766	8890
60481	60481	8874
56110	634502	8710
123214	123214	8708
334413	334413	8689
208596	208596	8665
1005058	1005058	8656
591167	591167	8574
33059	637389	8542
487521	487521	8398
1763	487521	8321
682634	682634	8251
362948	362948	8216
338187	338187	8112
391623	391623	8096
634504	634504	8090
1488	272562	7965
944547	944547	7960
0	910312	7905
381666	381666	7452
305	267608	7383
573064	573064	7380
266264	266264	7316
647113	647113	7246
205914	205914	7211
173	267671	7110
1685	548480	7075
644281	644281	6921
412418	412418	6918
0	675811	6834
1300150	1072576	6804
1138382	487521	6730
983545	983545	6560
452662	452662	6481
28110	484022	6463
639282	639282	6420
0	498743	6231
0	426114	6201
1244	927691	6191
1328	706437	6023
391774	391774	6004
630	393305	5977
401053	401053	5965
453591	453591	5954
716540	716540	5948
326427	326427	5947
330214	330214	5940
666510	666510	5939
889378	889378	5938
521011	521011	5936
338963	338963	5929
880072	880072	5927
374847	374847	5927
43674	471856	5926
643648	643648	5926
477974	477974	5920
999630	999630	5920
857087	857087	5913
335543	335543	5911
240015	240015	5911
156889	156889	5910
56780	56780	5906
203122	203122	5900
384616	384616	5892
856793	856793	5890
471855	471855	5889
314260	314260	5877
498211	498211	5867
351607	351607	5866
158189	158189	5861
690850	690850	5860
290315	290315	5859
906968	906968	5856
319225	319225	5855
717774	717774	5851
517417	517417	5849
517418	517418	5848
269796	269796	5848
273121	273121	5848
246195	246195	5846
261292	261292	5845
644284	644284	5844
324925	324925	5844
749222	749222	5842
326297	326297	5834
649638	649638	5833
519442	519442	5830
1085623	1085623	5829
529709	529709	5829
525903	525903	5827
545694	545694	5823
94122	94122	5822
555079	555079	5820
1769	561304	5818
395965	395965	5816
