taxid	truth_taxid	count
0	518634	99937
520	743273	99453
28173	1051649	96473
879243	910312	92066
1300150	1072576	90497
0	634502	88338
1234679	1087479	87776
697284	392917	86152
903510	675811	85755
0	246199	78772
1229756	927691	76231
1112204	1077976	75964
588	471874	71240
489653	546265	53558
365044	365044	51158
213	537971	47628
460265	460265	46130
366649	427081	43682
795797	795797	41421
537971	537971	40676
0	314280	39668
311402	311402	39629
426355	426355	39622
497965	497965	37985
926570	926570	37650
458233	458233	37375
1138382	487521	36581
103690	103690	36230
32049	32049	35767
761193	761193	34420
521010	521010	34307
465817	465817	33693
137722	137722	32818
0	314723	32496
216816	548480	29946
693977	693977	28669
1767	487521	26601
269482	269482	26597
272569	272569	26487
511995	511995	26159
481145	634452	25834
634177	634177	25389
573065	573065	23715
521098	521098	23564
546414	546414	23543
395961	395961	23504
797210	797210	22983
323097	323097	22945
0	548480	22887
266779	266779	22865
762948	563032	22758
343509	343509	22729
1681	398513	22093
0	1077976	21827
0	471874	21815
702113	702113	20512
515622	515622	20458
697329	246199	20360
290399	290399	20244
634499	644651	19934
395963	395963	17771
882378	882378	17686
391616	391616	17682
296591	296591	17343
338	427081	17154
292414	292414	17101
547559	547559	17053
29546	363253	16834
0	546265	16710
1097668	1097668	16677
262543	262543	16386
582744	582744	15781
515620	515620	15172
637389	637389	15114
2242	64091	15087
891974	891974	14617
930171	930171	14347
756883	756883	14345
471223	471223	14146
76114	76114	14113
391619	391619	13843
41431	41431	13787
634500	634500	13735
64187	427081	13534
487521	487521	13434
311403	311403	13407
318586	318586	12891
797303	797303	12831
487	546265	12473
290340	290340	12397
398511	398511	12342
0	1087479	12190
526218	526218	12012
360104	360104	11921
309801	309801	11897
1007105	1007105	11865
1082931	1082931	11861
429009	429009	11843
1679	548480	11842
472759	472759	11824
660470	660470	11792
582402	582402	11735
990316	990316	11560
485915	485915	11470
315456	315456	11445
572546	572546	11418
391735	391735	11359
177437	177437	11351
762051	762051	11266
526226	526226	11231
349747	349747	11217
246200	246200	11197
521096	521096	11148
693216	693216	11143
670487	670487	11136
482957	482957	11079
1763	487521	11004
0	427081	10996
716544	716544	10958
981222	981222	10957
552	716540	10952
862908	862908	10903
266264	266264	10636
399742	399742	10511
264202	264202	10453
263358	263358	10440
0	572265	10315
196162	196162	10313
1111069	1111069	10115
644295	644295	9878
267608	267608	9811
0	272844	9801
482	546265	9776
1091494	1091494	9679
640512	640512	9484
323261	323261	9437
317655	317655	9407
0	100226	9406
338187	338187	9381
661367	661367	9258
56110	634502	9080
1219076	314288	9079
1624	362948	9071
1229758	1229758	8967
60481	60481	8958
515618	515618	8953
1003195	1003195	8937
518766	518766	8890
0	392917	8733
123214	123214	8708
316273	316273	8700
334413	334413	8690
208596	208596	8665
1005058	1005058	8656
591167	591167	8574
33059	637389	8462
682634	682634	8366
0	498743	8154
391623	391623	8100
634504	634504	8090
1488	272562	7965
944547	944547	7960
205914	205914	7887
0	910312	7803
0	675811	7537
381666	381666	7460
