taxid	truth_taxid	count
1334	119602	49922
1309	1074120	49878
0	546273	48967
0	546268	43309
1336	1381082	43123
0	521005	42978
1305	888807	34488
1839799	1304	33075
729	729	32508
0	1408178	30117
0	370552	28786
257758	516950	20823
0	516950	20186
0	729	15835
0	1304	15755
1839799	1408178	15356
1334	370552	14295
0	888807	11738
1303	516950	7895
0	1381082	4383
485	546268	3278
1311	370552	2899
45634	888807	2788
729	521005	2441
1701850	1381082	1908
495	546268	1348
1336	370552	1265
715	521005	1065
315405	1408178	806
35344	370552	738
173707	370552	618
326523	546268	615
1303	1408178	590
485	521005	588
754	521005	532
1303	888807	532
714	521005	520
539	546268	420
1156433	1408178	398
1358	1408178	395
1303	1304	348
1328	516950	331
1328	1408178	330
150055	1408178	314
1156433	516950	300
45634	516950	300
157673	521005	299
1239381	1381082	263
754	729	248
1348	370552	246
1309	1408178	225
1328	888807	203
257758	1408178	199
45634	1408178	192
1156433	1304	188
82348	370552	184
714	729	181
403905	370552	176
1334	1408178	175
1326	370552	172
1305	516950	164
315405	1304	163
67854	521005	159
1311	516950	154
82348	1408178	154
9606	521005	154
1349	370552	152
315405	370552	150
1311	1408178	143
1328	370552	139
1839799	516950	136
9606	370552	132
1328	1304	128
9606	546268	128
76860	888807	128
157673	729	124
315405	516950	121
1326	1408178	117
1336	1408178	117
672	521005	111
9606	516950	110
714	546268	105
1311	1381082	102
715	729	100
150055	370552	100
1349	1408178	97
257758	888807	97
9606	546273	95
1348	1408178	91
47715	1408178	90
1825069	516950	89
0	1074120	89
76860	516950	88
1825069	1408178	87
1303	370552	87
1305	1408178	86
495	521005	84
1334	516950	83
1839799	370552	82
672	729	81
1597	1408178	78
423476	370552	78
1309	370552	76
1156433	888807	76
9606	1408178	74
1590	1408178	73
1326	516950	73
754	546268	73
1392231	1408178	71
663	521005	70
32630	516950	69
76860	1408178	67
316	521005	65
1334	1381082	62
9606	1304	61
1701850	370552	59
1311	1304	59
400065	370552	58
1244	1408178	58
45634	1304	57
1336	516950	55
67854	729	53
257758	1304	52
1613	1408178	51
1358	1304	51
495	729	51
76860	370552	50
257758	370552	49
72	546268	48
1358	370552	47
1267169	1381082	47
166935	521005	46
1311	729	45
48296	521005	45
0	119602	45
400065	1408178	45
82985	521005	45
1305	1304	44
1309	516950	43
1309	1304	42
587	521005	41
40269	521005	41
291112	521005	41
9606	729	41
1839799	888807	40
1156433	370552	40
82348	1304	39
1351	516950	39
294	546268	39
120574	1381082	38
1348	516950	38
1701837	1381082	36
400065	888807	35
158899	546268	35
668	521005	35
300	521005	35
150055	1304	35
1305	370552	34
1351	729	34
62322	521005	34
1825069	370552	34
367190	521005	34
1825069	888807	34
234831	521005	33
1396	546273	33
28152	521005	32
82348	516950	32
2029986	521005	31
9606	888807	31
96942	546268	30
1351	1408178	30
1309	888807	30
1336	888807	30
1839799	546273	29
55601	521005	28
150055	516950	28
1435069	521005	28
39950	546273	27
1816218	521005	27
2060307	1408178	27
663	729	26
485	729	26
315405	888807	26
29430	729	25
55601	729	25
471	521005	25
9606	1381082	24
45634	370552	24
1701830	1381082	24
1326	888807	24
198107	546268	24
413066	1381082	24
996	521005	24
62322	729	24
1812934	729	23
2702	516950	23
28152	729	23
244366	521005	22
1396	521005	22
158847	546273	22
400065	516950	22
1702287	546273	22
1199245	521005	21
2025808	729	21
640512	729	21
52443	521005	21
58049	521005	21
76860	1304	21
29433	521005	20
59610	546273	20
40269	729	20
1145276	521005	20
1311	119602	20
305	546268	19
283734	516950	19
1848580	546268	19
436515	546268	19
1411902	546268	19
190895	521005	19
1336	1304	19
1134687	521005	18
114090	1408178	18
315405	1381082	18
400668	729	18
82348	888807	18
35814	546268	18
394751	521005	18
1396	370552	18
134287	521005	17
404011	521005	17
1351	370552	17
1349	516950	17
152331	1408178	17
1579316	546268	17
1309	546273	17
668	729	17
1348114	521005	17
1377	1408178	17
1158459	729	16
34038	521005	16
1501	546273	16
176102	729	16
40215	521005	16
415229	546268	16
316	546268	16
1917158	521005	16
573570	521005	16
1702287	521005	16
413502	521005	16
28173	521005	16
61648	521005	16
1311	888807	16
128780	546268	16
263819	729	16
50719	521005	15
1848580	521005	15
1358	521005	15
2072025	370552	15
1358	516950	15
649756	516950	15
766224	521005	15
1070130	521005	15
536	546268	15
365349	546273	15
176102	521005	15
1326	1304	15
1638	546273	15
2060307	1304	15
158847	370552	15
54736	521005	15
1301	516950	15
1303	546273	14
1638	521005	14
2072025	546273	14
1701814	516950	14
1396	516950	14
81479	546268	14
1336	119602	14
2057791	370552	14
399726	546273	14
72	521005	14
1813821	546268	14
1406	521005	14
351679	521005	14
1031542	521005	13
169679	729	13
43662	729	13
1134687	729	13
1702287	516950	13
587	729	13
1334	1304	13
1435069	729	13
40215	729	13
1542	546273	13
2751	1408178	12
54299	521005	12
1699624	521005	12
1396	1408178	12
163877	521005	12
766224	546268	12
220622	729	12
114090	729	12
1906741	546268	12
1303	729	12
1704499	546268	12
52443	729	12
96345	729	12
1206777	546268	12
330	521005	12
1639108	729	12
1938606	546268	11
1334	888807	11
1763538	521005	11
314281	521005	11
50719	546273	11
200451	729	11
1255	1408178	11
150055	546273	11
663	546273	11
10239	516950	11
83617	521005	11
1486991	521005	11
82985	729	11
61648	729	11
1301	1408178	11
53346	1408178	11
1701826	516950	11
359303	521005	11
1712675	521005	11
543877	546268	11
633807	546273	11
1349	1381082	11
742013	546268	11
545	546273	11
67854	546268	11
34038	729	11
1636609	521005	10
580165	521005	10
404011	729	10
294	729	10
69218	521005	10
358	546268	10
1768242	546268	10
1041504	521005	10
2059264	546268	10
34029	546268	10
1816218	729	10
633807	1408178	10
61646	729	10
70863	521005	10
2135430	546268	10
1471	546273	10
1351	1304	10
247523	521005	10
1929246	521005	10
996801	729	10
294	521005	10
405	546268	10
2148	521005	10
62322	546268	10
1358	546273	10
314281	729	10
1813821	521005	10
461876	546273	9
1109412	729	9
66269	521005	9
338565	729	9
2059264	521005	9
1187128	546268	9
2060307	370552	9
1920128	521005	9
29430	521005	9
95486	546268	9
48296	1408178	9
33069	546268	9
244366	888807	9
199441	729	9
9606	1074120	9
368607	546268	9
1548	521005	9
1336	1074120	9
1911586	1408178	9
1484157	521005	9
291112	729	9
53444	546273	9
50719	729	9
589873	521005	9
326544	521005	9
672	546268	9
1638	370552	9
1848580	729	9
666685	546268	9
2756	370552	9
1571	546273	9
39152	546268	9
83683	546273	8
83655	546268	8
104087	521005	8
120574	516950	8
46234	546273	8
1452	888807	8
157782	546268	8
1145276	546273	8
1752064	546268	8
1145276	1408178	8
592316	546268	8
29341	521005	8
1761891	729	8
221027	888807	8
36745	729	8
2072025	1408178	8
446692	546268	8
286	546268	8
1850254	546273	8
104087	546268	8
39485	546273	8
2029986	546268	8
488546	546273	8
1839798	521005	8
1406	546273	8
1847728	521005	8
338565	521005	8
1620392	521005	8
887061	546268	8
1131707	546273	8
1301	370552	8
754476	729	8
592316	729	8
29384	546273	8
1206777	729	8
1938604	546268	8
1911587	370552	8
1538	546273	7
1678028	546268	7
42422	546273	7
1158459	521005	7
914150	1304	7
54736	546268	7
1333996	546268	7
1109412	521005	7
104623	521005	7
189426	729	7
1448273	516950	7
