taxid	truth_taxid	count
727	521005	101815
1308	1408178	58435
1309	1074120	53271
1314	370552	51902
1313	516950	42598
1304	1304	42549
486410	119602	41847
617121	119602	40905
759913	119602	40890
663954	119602	40029
0	546268	35680
0	546273	35625
388919	888807	31192
862965	729	31048
552526	1381082	25659
370552	370552	21563
1051072	1381082	20249
1403449	1381082	19989
40041	1381082	19422
1048332	1304	19325
516950	516950	17190
553482	1381082	16026
29466	546273	16000
1198676	1074120	13230
0	729	12900
1437447	1074120	11305
210007	1074120	11305
869216	516950	10053
0	888807	9402
1155071	1074120	8793
1302	888807	8431
511691	1074120	8284
479436	546273	7553
1839799	1304	6193
347253	1304	5620
487	546268	5344
0	1381082	3953
1408178	1408178	3025
485	546268	2479
1335	1304	2327
490	546268	2153
488	546268	2110
1302863	888807	2041
561276	516950	2024
370554	370552	1935
1701850	1381082	1862
467705	888807	1813
488222	516950	1773
727	729	1365
489653	546268	1321
488221	516950	1266
248315	546273	1249
486	546268	1226
249188	729	1129
0	521005	1120
1308	1304	1098
1314	119602	1098
0	1304	910
546263	546268	813
170187	516950	767
487214	516950	729
1232659	521005	600
189423	516950	590
634176	729	576
186103	370552	540
1295140	521005	521
869269	516950	511
370551	370552	483
512566	516950	480
712310	729	472
634176	546268	450
471876	370552	439
942513	546268	438
1853278	546268	424
798300	370552	418
262728	521005	412
160491	370552	406
574093	516950	406
488223	516950	405
732	729	398
732	546268	395
869311	516950	378
869312	516950	378
1010840	370552	370
1853276	546268	365
1334187	521005	359
730	521005	353
326523	546268	348
122587	546268	347
712310	546268	325
655307	546268	311
1338	888807	308
747	729	296
1888195	1381082	274
1334187	729	269
738	729	268
539	546268	261
1336746	370552	259
731	729	243
373153	516950	242
171101	516950	239
1334	119602	235
1239381	1381082	235
1303	888807	221
697283	516950	211
714	729	207
28091	546268	206
1436299	521005	206
262727	521005	202
281310	521005	197
604162	546268	193
374833	546268	189
487215	370552	174
28037	888807	165
1004951	1381082	161
935588	546268	156
869303	516950	155
71421	729	145
862967	888807	142
862966	888807	141
662598	546268	140
1304873	729	139
591365	888807	135
935593	546268	133
9606	546268	127
754	729	125
760570	1304	120
28037	516950	119
1386087	546268	118
909420	546268	117
122586	546268	114
1313	888807	112
935897	729	111
75985	729	108
862964	729	108
588	729	107
927666	888807	107
935599	546268	105
1328	888807	101
862964	521005	101
866630	729	98
557723	729	91
935590	546268	90
1311	1381082	88
630588	546268	84
1232659	729	82
528354	546268	82
521006	546268	79
754	546268	78
1433287	729	76
1308	888807	75
584	729	74
242231	546268	72
221988	729	72
1307	888807	67
262728	729	65
9606	546273	64
1313	1381082	64
935589	546268	64
486410	1381082	64
1902136	888807	63
1114965	1304	63
730	729	62
1437007	370552	62
193567	370552	62
198466	370552	62
672	729	61
1295140	729	61
1434215	729	61
1156431	888807	58
1314	1381082	56
862968	888807	55
862969	888807	55
1263829	729	55
1114965	888807	55
696216	888807	55
935591	546268	55
262727	729	55
272556	729	51
272831	546268	51
1304	888807	51
694569	729	48
712633	888807	48
571	546268	48
1054460	888807	47
488	729	47
1156433	888807	47
760570	888807	47
1353243	888807	47
1432056	729	45
1295	729	45
169679	729	44
28037	1304	44
1434214	729	44
1302	1304	42
1150773	370552	42
712310	521005	42
862971	888807	41
9606	521005	40
279113	546268	40
1759399	1304	40
670	729	40
197	546268	40
1069533	1381082	40
1263831	729	39
480	546268	39
862970	888807	38
365659	888807	37
1491	546273	36
743972	729	36
716	729	36
1888195	888807	35
47735	521005	35
714	521005	35
120574	1381082	34
262728	546268	34
1267169	1381082	34
1759399	888807	34
1171377	729	33
249188	546268	32
927666	1304	32
1077464	1304	32
1077464	888807	31
1304	546273	31
1335	888807	31
1303	1304	31
281310	729	31
1301	1304	31
862965	521005	31
202947	729	31
1116231	1381082	30
1580	729	30
1697053	546268	30
1354304	729	29
339671	729	29
1005058	729	29
1701837	1381082	29
370554	119602	29
738	546273	29
29484	729	29
714	546268	28
365659	729	28
264199	1304	28
680279	729	27
1263832	729	27
9606	729	27
1304	1408178	27
482	546268	26
490	729	26
9606	1381082	26
1502	729	26
573	546268	25
1336746	119602	25
1302863	1304	25
413066	1381082	25
322159	1304	24
1358	1304	24
1396	546273	24
562	546268	24
545	546273	24
712633	1304	23
1508404	729	23
1839799	888807	23
1825069	888807	23
400065	888807	22
158899	546268	22
205914	729	22
1411902	546268	22
663	729	22
228400	729	22
299768	1304	21
1426	546273	21
1701830	1381082	21
1016998	521005	21
754345	729	21
34062	729	20
208962	729	20
1196094	546268	20
1346	1381082	20
28038	546273	20
732	521005	19
724	521005	19
9606	888807	19
1156431	1304	19
537457	729	19
286636	370552	19
860	546273	19
1308	546273	19
1309	888807	19
1130804	516950	18
416269	729	18
1311759	729	18
866630	521005	18
160491	1381082	18
676	729	18
434271	729	18
550	729	18
106654	729	17
193567	1381082	17
1261126	729	17
33069	546268	17
76860	888807	17
511	546268	17
1069533	1304	17
29430	729	17
1437007	1381082	17
1048332	888807	17
983545	729	17
1207470	119602	17
633	546268	17
1156433	1304	17
1428	729	17
575788	729	17
1423	546273	16
1514074	729	16
1314869	729	16
1839799	546273	16
67827	729	16
59204	729	16
632	729	16
322159	1408178	16
80852	729	16
633	729	16
666686	729	16
1587	1304	16
585054	729	16
1235990	546273	16
294	546268	16
1266738	729	16
1051072	888807	15
694569	521005	15
1452	888807	15
