taxid	truth_taxid	count
1309	1074120	50000
1314	370552	49967
1308	1408178	49930
1313	516950	49857
1334	119602	49354
727	521005	48349
1336	1381082	42970
1304	1304	40150
1305	888807	27693
729	729	27233
29466	546273	8745
1302	888807	4899
487	546268	3114
1701850	1381082	1631
45634	888807	1582
1839799	1304	1179
486	546268	997
249188	729	795
727	729	728
1335	1304	647
248315	546273	641
485	546268	613
490	546268	588
488	546268	565
495	546268	525
1308	1304	471
732	546268	378
732	729	363
1853278	546268	249
712310	729	249
1888195	1381082	232
326523	546268	229
1303	888807	222
1338	888807	195
747	729	192
712310	546268	192
1853276	546268	173
655307	546268	169
539	546268	149
1239381	1381082	122
28091	546268	110
738	729	80
1318	1304	79
28037	888807	71
712633	1304	53
1314	119602	48
754	546268	46
1328	888807	43
1311	1381082	42
714	729	41
85404	729	39
1303	1304	38
588	729	38
1307	888807	35
754	729	33
1318	888807	33
1902136	888807	33
1307	1381082	30
1334	1381082	30
75985	729	29
157673	729	27
28037	729	27
714	546268	27
1313	888807	24
2098	521005	24
731	729	23
1309	888807	23
750	729	23
279113	546268	23
1313	1381082	22
28901	521005	21
28901	546268	21
1358	546273	20
718	729	20
1411902	546268	19
1304	546273	19
680279	729	19
1196095	729	19
1007105	729	19
712633	888807	18
1324350	729	18
564	729	18
326544	729	18
160660	546268	17
1349	1381082	17
486	729	17
184064	521005	16
413066	1381082	16
1249552	546268	16
1484158	546268	16
1314	1381082	15
687	729	15
983545	729	15
65393	546273	15
666686	729	15
47678	729	14
549298	729	14
102684	1381082	14
76860	888807	14
668	729	14
147268	546268	14
400065	888807	14
1814128	1381082	14
28107	729	14
80852	729	13
1888195	888807	12
85404	546268	12
716	729	12
187327	546273	12
47735	729	12
907	546273	11
1335	888807	11
715	729	11
1308	888807	11
747	521005	11
1295	729	11
28037	1304	11
285	546268	10
357794	729	10
1809410	546268	10
1478	546273	10
82348	1304	10
1855823	546273	10
38293	729	9
72	546268	9
1428	729	9
404011	729	9
1599	546273	9
365349	546273	9
135735	546273	9
1432056	729	9
351671	729	9
82348	888807	8
672	729	8
1825069	888807	8
67854	729	8
158847	546273	8
1640	729	8
95486	546273	7
1304	888807	7
1759399	888807	7
1235990	546273	7
400668	729	7
212663	729	7
1336	888807	7
546367	729	7
713887	546273	7
298657	729	6
46355	888807	6
49338	888807	6
29498	729	6
2151	546273	6
28031	546273	6
1326	888807	6
1833852	546268	6
488	729	6
1156433	888807	6
727	546268	6
39485	546273	6
72	729	6
1759399	1304	6
674	729	6
1376	888807	5
1610	546273	5
1423	546273	5
1648	546273	5
314282	729	5
29485	729	5
221027	546273	5
1346	888807	5
138072	729	5
315405	888807	5
1156431	1304	5
702114	546268	5
257758	888807	4
1364	888807	4
1156431	888807	4
585	729	4
291112	729	4
363852	729	4
1639108	729	4
249188	546268	4
86664	888807	4
1598	546273	4
1579316	546268	4
1155739	546273	3
1366	888807	3
1309	546273	3
587	729	3
584	729	3
915	888807	3
83683	546273	3
2026199	546268	3
550	546268	3
1396	546273	3
102684	1304	3
29575	729	3
45972	729	3
1678128	546268	3
1502	729	3
1839799	888807	3
40269	546273	2
76860	1304	2
53336	729	2
550	888807	2
1118153	546268	2
33970	888807	2
1583098	888807	2
67824	729	2
34003	546268	2
376805	1304	2
39950	546273	2
1229	888807	2
954	729	1
35703	729	1
1405	546273	1
61645	729	1
34062	729	1
204042	729	1
1314	888807	1
1348	1381082	1
197	729	1
400668	546273	1
1363	888807	1
241244	546273	1
631	521005	1
402384	888807	1
573	521005	1
1811193	888807	1
766224	546268	1
56730	546268	1
1197717	888807	1
29485	888807	1
686597	546268	1
1639	546273	1
1686310	546268	1
