taxid	truth_taxid	count
1309	1074120	50000
1314	370552	49972
1308	1408178	49935
1313	516950	49861
1334	119602	49362
727	521005	48354
1336	1381082	42968
1304	1304	40098
1305	888807	27711
729	729	27295
29466	546273	8860
1302	888807	4877
487	546268	3141
1701850	1381082	1625
45634	888807	1578
1839799	1304	1213
486	546268	1012
727	729	800
249188	729	788
248315	546273	655
1335	1304	626
485	546268	618
490	546268	569
488	546268	545
495	546268	482
1308	1304	472
732	546268	380
732	729	379
1853278	546268	232
326523	546268	223
1338	888807	213
712310	729	210
1303	888807	209
712310	546268	181
747	729	175
1888195	1381082	169
1853276	546268	151
655307	546268	138
539	546268	129
1239381	1381082	121
1318	1304	90
28037	888807	86
28091	546268	84
738	729	50
714	729	46
1307	888807	45
1314	119602	44
85404	729	41
750	729	35
1328	888807	35
712633	1304	34
1311	1381082	34
754	546268	34
588	729	34
1307	1381082	33
714	546268	32
1313	888807	32
680279	729	31
1334	1381082	31
1318	888807	30
75985	729	29
157673	729	27
1902136	888807	26
1313	1381082	26
190893	521005	25
731	729	24
1303	1304	24
1309	888807	23
279113	546268	22
1639108	729	22
28901	521005	21
28901	546268	21
1304	546273	20
754	729	20
486	729	20
326544	729	20
1411902	546268	19
1196095	729	19
1432056	729	19
712633	888807	18
1324350	729	18
160660	546268	17
1349	1381082	17
76860	888807	16
1484158	546268	16
80852	729	15
907	546273	15
687	729	15
413066	1381082	15
666686	729	15
549298	729	14
1888195	888807	14
1314	1381082	14
102684	1381082	14
1295	729	14
1814128	1381082	14
1309	1304	14
28107	729	14
76853	729	13
65393	546273	13
60481	729	13
400065	888807	13
38293	729	12
847	546268	12
147268	546268	12
1335	888807	11
132132	546268	11
1599	546273	11
28141	729	11
1308	888807	11
747	521005	11
1478	729	11
28037	1304	11
158822	729	11
1855823	546273	11
1428	729	10
285	546268	10
1336	888807	10
291112	729	10
404011	729	10
351671	729	10
1478	546273	10
82348	1304	10
1809410	546268	10
587	729	9
28031	546273	9
1326	888807	9
135735	546273	9
672	729	8
29485	729	8
365349	546273	8
546367	729	8
1338	1304	8
82348	888807	8
1235990	546273	7
33932	546273	7
212663	729	7
74829	546268	7
157782	546268	7
713887	546273	7
49338	888807	6
1759399	1304	6
1825069	888807	6
400668	546273	6
1833852	546268	6
488	729	6
158847	546273	6
686597	546268	6
72	729	6
39485	546273	6
298657	729	5
46355	888807	5
1759399	888807	5
257758	888807	5
1610	546273	5
72	546268	5
1423	546273	5
1648	546273	5
221027	546273	5
1156433	888807	5
727	546268	5
837	546273	5
315405	888807	5
1156431	1304	5
1176587	729	5
44742	888807	4
1304	888807	4
630	546268	4
1366	888807	4
1814128	888807	4
1309	546273	4
1364	888807	4
1156431	888807	4
67824	729	4
249188	546268	4
1598	546273	4
696485	729	4
294699	546273	4
1155739	546273	3
29498	729	3
584	729	3
1358	546273	3
562	546268	3
715	729	3
1346	888807	3
550	546268	3
29575	729	3
1678128	546268	3
1502	729	3
1839799	888807	3
1582	888807	3
1363	1381082	2
119858	888807	2
1902136	1304	2
550	888807	2
83683	546273	2
33970	888807	2
1396	546273	2
860	888807	2
39950	546273	2
53336	729	2
402384	888807	2
76860	1304	2
585	729	2
34003	546268	2
1497	546273	2
1229	888807	2
1686310	546268	2
954	729	1
46127	546273	1
61645	729	1
34062	729	1
204042	729	1
241244	888807	1
220697	1304	1
1118153	546268	1
1405	546273	1
241244	546273	1
631	521005	1
573	521005	1
716	729	1
314282	729	1
357794	729	1
102684	1304	1
1348	888807	1
1583098	888807	1
670	729	1
141451	729	1
936476	729	1
586416	546273	1
56730	546268	1
45972	729	1
138072	729	1
29485	888807	1
1363	888807	1
256701	546268	1
