taxid	truth_taxid	count
1301	370552	50000
1301	516950	49999
1301	1074120	49999
1301	1408178	49993
1301	119602	49988
724	521005	48474
1301	1304	48401
1301	1381082	43749
1301	888807	36082
724	729	29303
29465	546273	9618
482	546268	8860
416916	546268	415
416916	729	380
724	546268	198
745	729	191
538	546268	121
75984	729	75
662	729	59
586	729	42
713	729	39
482	729	37
1386	729	34
745	546268	34
511678	729	31
53246	729	30
2094023	729	29
469	729	29
1386	546273	27
1301	729	27
590	546268	27
662	521005	25
262	729	25
2093	521005	24
697331	729	24
202907	546268	22
1578	546273	22
261825	729	21
590	521005	21
214906	729	21
629	729	21
10	729	20
305976	729	19
875170	546268	19
1193503	729	19
1745211	729	18
22	729	18
933	546268	18
1301	546273	17
1524249	546268	16
53335	546268	16
1763	546268	16
1765964	546268	15
43988	546273	15
57665	729	14
1716	729	14
365348	546273	13
28253	729	13
89404	729	13
904	546273	12
434	729	12
846	546268	12
155493	729	12
69965	546273	11
55080	546268	11
626	729	10
286	546268	10
657	729	10
400634	546273	10
158483	729	9
1357	888807	8
158846	546273	8
547	729	8
1637	729	8
53335	546273	7
1453359	546273	7
1730	546273	6
2147	546273	6
568	729	6
71	729	6
46239	546273	6
836	546273	5
1647	546273	5
157	546273	5
286	729	5
416	546268	5
1562	546268	5
568987	729	5
303379	546268	4
29487	729	4
848	888807	4
67572	729	4
629	546268	4
283	546268	4
561	729	4
662	546268	4
36853	888807	4
1579315	546268	4
665874	546268	3
83654	546268	3
816	729	3
84567	729	3
1485	546273	3
1279	888807	3
1578	888807	3
29574	729	3
547	546268	3
1227	888807	2
547	888807	2
44249	546273	2
293088	546268	2
39948	546273	2
82986	729	2
73029	546268	2
265	546268	2
1357	546273	2
1386	888807	2
71	546268	2
508459	888807	2
45667	888807	2
544	729	2
379	546268	1
629	521005	1
869806	729	1
476528	729	1
1279	546273	1
29580	546273	1
459532	546273	1
204037	729	1
629	888807	1
583	729	1
1742989	546268	1
570	521005	1
648802	888807	1
413496	729	1
648802	546273	1
