taxid	truth_taxid	count
1301	516950	50000
1301	370552	50000
1301	1074120	49998
1301	1408178	49995
1301	119602	49995
724	521005	48471
1301	1304	48458
1301	1381082	43734
1301	888807	36087
724	729	29481
29465	546273	9596
482	546268	8988
416916	546268	386
416916	729	382
724	546268	197
745	729	182
538	546268	110
75984	729	72
662	729	67
2094023	729	55
745	546268	46
482	729	42
1386	729	41
713	729	36
586	729	35
1386	546273	33
214906	729	29
155493	729	29
469	729	29
1301	729	27
261825	729	26
662	521005	25
262	729	25
22	546268	25
53246	729	25
2093	521005	24
697331	729	23
202907	546268	23
1301	546273	22
1578	546273	22
590	521005	21
629	729	21
511678	729	19
875170	546268	19
1193503	729	19
933	546268	18
561	729	18
1765964	546268	17
22	729	17
1357	546273	17
1524249	546268	16
53335	546268	16
43988	546273	15
89404	729	15
434	729	14
1279	729	14
1716	729	14
906	546273	12
846	546268	12
816	729	11
158483	729	11
55080	546268	11
657	729	11
476528	729	10
141450	729	10
642	546268	10
69965	546273	10
626	729	9
568987	729	9
365348	546273	8
1357	888807	8
1637	729	8
1763	546268	7
1453359	546273	7
53335	546273	7
71	729	7
400634	546273	7
2147	546273	6
46239	546273	6
28253	546273	6
590	546268	6
1730	546273	6
75984	546268	6
590	729	6
303379	546268	5
836	546273	5
568	729	5
1279	546273	5
583	729	5
1647	546273	5
157	546273	5
286	729	5
67572	729	5
648800	729	5
1386	888807	5
1579315	546268	5
1745211	729	4
29487	729	4
848	888807	4
416	546268	4
629	546268	4
84567	729	4
547	729	4
1155738	546273	3
1485	729	3
1822464	546268	3
629	888807	3
1562	546268	3
45667	888807	3
544	729	3
1227	888807	2
33969	888807	2
44249	546273	2
283	546268	2
83654	546268	2
227388	521005	2
36853	888807	2
547	888807	1
629	521005	1
293088	546268	1
869806	729	1
1637	546273	1
29580	546273	1
158846	546273	1
1742989	546268	1
570	521005	1
204037	729	1
1578	888807	1
379	546268	1
648802	546273	1
29574	729	1
613	546268	1
