taxid	truth_taxid	count
1309	1074120	49973
1314	370552	49415
1308	1408178	48799
1334	119602	48344
727	521005	48218
1313	516950	48211
1336	1381082	43243
1304	1304	43224
729	729	37041
1305	888807	31548
29466	546273	22970
1302	888807	4932
487	546268	4379
1701850	1381082	1879
486	546268	1393
45634	888807	1133
248315	546273	1021
249188	729	823
490	546268	820
485	546268	740
1308	1304	738
495	546268	635
488	546268	563
326523	546268	517
1853278	546268	439
1853276	546268	439
727	729	434
1314	119602	384
732	546268	323
1839799	1304	288
1335	1304	287
1307	1381082	279
1888195	1381082	264
732	729	218
1239381	1381082	169
28091	546268	165
1303	888807	150
754	546268	149
655307	546268	137
1338	888807	133
712310	729	116
539	546268	104
1311	1381082	81
712633	1304	66
28037	888807	57
712310	546268	57
72	546268	52
1314	1381082	51
1318	1304	43
168471	546268	39
28037	516950	37
1334	1381082	35
102684	1381082	30
157673	729	26
1318	888807	26
1313	1381082	25
747	729	24
1304	1408178	23
1328	888807	23
837	729	21
1313	888807	21
96942	546268	20
730	729	19
1335	888807	19
727	546268	19
303	546268	18
729	521005	18
1324350	729	18
738	729	17
1334	370552	16
1156433	888807	16
1349	1381082	16
714	546268	16
585	546268	14
65058	546268	14
1309	1381082	13
1902136	888807	12
714	729	11
2021234	546268	11
190893	521005	11
586416	546268	10
851	546273	9
1307	888807	9
1156431	888807	9
1338	119602	9
754476	729	9
39950	546273	9
666686	729	8
2033	546268	8
1842537	546268	8
747	521005	8
315405	888807	8
28037	1304	8
1235990	546273	7
84531	546273	7
1411902	546268	7
2059672	546268	7
28091	729	7
1308	888807	7
104087	546268	7
592316	546268	7
1311	888807	6
1304	888807	6
1915209	546268	6
1309	888807	6
716	546268	6
1156433	1304	6
75985	729	6
1336	1408178	6
1423	546273	5
413066	1381082	5
1478	546273	5
754	729	5
1346	1304	5
82348	1304	5
1156431	1304	5
208223	546268	5
29250	546273	5
40269	546273	4
28131	729	4
197614	1408178	4
1307	119602	4
1598	516950	4
80852	546273	4
34105	546273	4
28031	546273	4
714	521005	4
573	521005	4
279113	546268	4
76860	888807	4
777	546273	4
172	546273	4
47735	729	4
1364	546273	4
1326	1381082	4
730	521005	4
1759399	888807	3
202747	546273	3
1155739	546273	3
1358	1408178	3
1759399	1304	3
1366	888807	3
318683	546268	3
1491	546273	3
293091	546273	3
1405	546273	3
29382	546273	3
315405	546273	3
1465	546273	3
1336	119602	3
351671	729	3
119858	546273	3
1565991	546273	3
1304	1381082	3
290053	888807	2
1566358	888807	2
171284	546273	2
82348	888807	2
712633	888807	2
1888195	888807	2
1639	546273	2
1785995	546273	2
29484	546273	2
1428	546273	2
1311	370552	2
182710	546273	2
74829	546268	2
907	546273	2
1326	888807	2
747	546273	2
1108595	546268	2
135735	546273	2
715	521005	2
52443	546268	2
911092	546273	2
1839799	888807	2
1244	546273	2
28107	729	2
1177574	546273	2
35703	546268	1
1328	516950	1
1379270	546273	1
1267169	1381082	1
1643	546273	1
28037	546273	1
672	546273	1
248026	546268	1
1358	546273	1
1938604	546268	1
1590	1408178	1
1493	546273	1
76853	729	1
1348	1304	1
716	729	1
1702287	546273	1
102684	1408178	1
1244531	546273	1
29485	729	1
750	729	1
1406	546273	1
747	546268	1
102684	1304	1
1346	888807	1
28038	888807	1
1307	1408178	1
748280	546268	1
180282	546268	1
1825069	888807	1
562	521005	1
1303	516950	1
731	729	1
1314	521005	1
268746	546273	1
395962	729	1
407035	546273	1
