taxid	truth_taxid	count
1301	1074120	50000
1301	119602	50000
1301	516950	49998
1301	370552	49995
1301	1408178	49825
1301	1304	49430
724	521005	48356
1301	888807	45665
1301	1381082	45386
724	729	41724
29465	546273	26044
482	546268	17049
416916	546268	314
416916	729	258
745	546268	153
724	546268	104
538	546268	85
482	729	58
286	546268	47
168470	546268	33
1386	546273	28
745	729	24
1386	729	21
71	546268	21
1915205	546268	21
836	729	21
469	729	18
2094023	729	15
1485	546273	14
583	546268	14
1378	1381082	13
697331	729	13
662	521005	11
629	546273	11
1301	546273	10
1386	546268	10
59	546268	9
40222	729	9
848	546273	9
662	546273	9
39948	546273	9
44249	546273	9
745	521005	8
194	546273	8
129337	546273	8
1678	546268	8
713	729	8
745	546273	7
53335	546273	7
68	546273	7
2745	546273	6
535	546268	6
1485	729	6
497	546268	6
1485	546268	6
262	729	6
286	546273	6
194	729	6
1511854	546273	5
53246	729	5
29521	546273	4
838	729	4
34104	546273	4
55080	546273	4
262	546273	4
517	546268	4
875170	546268	4
416916	521005	4
400634	546273	4
1155738	546273	3
662	729	3
68287	546268	3
838	546273	3
75984	729	3
1637	546273	3
1357	1408178	3
1578	546273	3
1485	1381082	3
293431	546273	3
171	546273	3
202746	546273	3
1485	888807	3
1578	1408178	2
1883	546268	2
511678	546273	2
43988	546273	2
1578	888807	2
776	546273	2
816	888807	2
1386	888807	2
1378	546273	2
662	546268	2
469	546268	1
178469	729	1
43988	729	1
570	521005	1
1243	1408178	1
214906	729	1
173479	546273	1
1716	546273	1
629	521005	1
1562	546273	1
713	546268	1
482	521005	1
80865	546268	1
568394	546268	1
53335	546268	1
182709	546273	1
52959	546273	1
