taxid	truth_taxid	count
29465	546273	32216
1301	1408178	29851
1301	888807	29259
712	729	29116
1301	1304	28725
1301	119602	21568
482	546268	21487
1313	516950	21353
1309	1074120	20861
1301	370552	20666
712	521005	20223
1301	1074120	19244
1301	516950	18165
1301	1381082	16959
1314	370552	16005
724	521005	14114
1336	1381082	13388
724	729	12557
1300	888807	11161
1300	1304	11139
1334	119602	8882
481	546268	7637
2	119602	7530
1300	1408178	6562
119603	1381082	5731
727	521005	4704
28449	546268	4627
2	546273	4132
1224	546268	3855
1308	1408178	3714
1305	888807	3224
2	546268	3154
1300	516950	3018
39778	546273	2087
1	1381082	1946
119603	119602	1902
31977	546273	1845
1224	521005	1580
1300	370552	1317
546268	546268	1291
2	1381082	1248
1	370552	1082
1300	1074120	1076
729	729	1074
1236	729	1058
2	370552	1039
2	521005	957
1300	119602	931
2	729	928
1239	546273	899
1381082	1381082	896
1300	1381082	893
2	1408178	762
186826	1408178	682
186826	1074120	641
1236	521005	625
1304	1304	620
206351	546268	600
135625	521005	527
1224	729	518
909932	546273	458
1783272	516950	444
186826	370552	432
186826	1381082	390
1783272	546273	365
186826	1304	333
91061	1381082	312
2	1304	307
617121	119602	300
186826	888807	288
186826	119602	283
2	888807	230
1403932	546273	230
119602	119602	225
1239	1408178	204
2	1074120	194
131567	1074120	188
1239	888807	181
521005	521005	178
1239	516950	176
370552	370552	172
186826	516950	166
1239	1381082	151
1051072	1381082	149
91061	119602	149
91061	1408178	145
91061	370552	142
40041	1381082	142
1239	1304	142
2	516950	140
546273	546273	130
131567	370552	122
91061	1074120	115
1239	1074120	115
552526	1381082	113
516950	516950	109
1783272	370552	95
1314	119602	92
456482	521005	90
1783272	1381082	87
131567	1381082	85
135625	729	83
1783272	119602	83
1051074	1408178	81
131567	1304	79
888828	729	78
91061	888807	78
28216	546268	75
1783272	888807	74
1773	516950	73
1111760	1074120	72
487	546268	67
1239	370552	66
1239	119602	65
1783272	1304	64
484	546268	63
1247189	119602	61
1051981	1381082	60
1403829	1074120	60
1000589	119602	60
1304	1408178	58
131567	1408178	56
759913	119602	55
1783272	1408178	54
1042404	1408178	54
131567	119602	51
91061	1304	50
1	1408178	50
1005706	119602	48
767463	1408178	48
1200793	1304	46
879309	546273	45
1200793	1408178	43
131567	521005	42
862965	729	38
1715037	546268	37
864568	370552	37
486410	119602	36
546264	546268	36
28037	516950	36
375432	521005	35
131567	546268	35
1308	1304	35
39777	546273	35
322159	1408178	34
663952	119602	34
374927	521005	33
1783272	1074120	33
1334	370552	32
1334187	521005	31
374930	521005	31
888819	888807	31
1042404	1304	30
299768	1408178	30
663954	119602	28
1115816	370552	28
1343	1304	27
888807	888807	27
91061	516950	27
485	546268	27
561522	370552	25
1	516950	24
1715179	546268	24
1313	521005	24
131567	546273	24
732	729	24
511691	1074120	24
1303	516950	24
1115813	370552	23
91347	521005	23
1581080	1304	23
936589	546273	23
1073373	888807	23
1115817	370552	22
264199	1408178	22
1715051	1304	22
131567	516950	22
29466	546273	22
857155	1074120	21
1334	1381082	21
543	729	21
264199	1304	21
1343	1408178	20
1340	1381082	20
1313	1408178	20
813	119602	19
1313	370552	19
727	729	19
1187956	1408178	19
596320	546268	19
131567	729	18
758	729	18
1701850	1381082	17
857099	1074120	17
936576	1304	17
1962118	546268	17
1311	119602	17
170187	516950	17
1	888807	17
889206	1408178	17
457416	546273	17
45634	888807	16
1439246	370552	16
1933695	1381082	16
416916	729	16
1159092	516950	16
1159102	516950	16
119603	370552	16
1316411	1304	16
1777879	888807	15
1115818	119602	15
889206	1304	15
656912	521005	15
406560	516950	14
0	516950	14
1159101	516950	14
370551	370552	14
1159088	516950	14
1155071	1074120	14
1307	1381082	14
1046629	1304	14
148942	370552	13
857114	1074120	13
1739544	546268	13
1	1304	13
1408178	1408178	13
1415776	1408178	13
1433289	1408178	13
1329	370552	13
59310	1304	13
1313	1381082	13
617121	370552	13
1423145	1408178	13
1739338	546268	12
914141	516950	12
1777880	1304	12
1313	888807	12
482	521005	12
857143	1381082	12
1307	1408178	11
1336	370552	11
486410	1381082	11
435842	1304	11
1159081	516950	11
1073570	1408178	11
1	546268	11
936577	888807	11
1115821	370552	11
869309	516950	11
1302	888807	11
888823	888807	11
1329	119602	11
1739348	546268	11
1115814	370552	11
7222	546268	11
1403949	546273	10
453362	516950	10
562017	370552	10
1222034	546268	10
1115811	370552	10
726	521005	10
272843	521005	10
888817	888807	10
1348	119602	10
857142	1074120	10
1381085	1381082	10
1768764	1304	10
0	119602	10
1313	1074120	10
1433288	1408178	10
374932	521005	10
1307	516950	10
1314	1381082	10
888812	888807	10
888810	888807	10
1403933	546273	10
1316411	1408178	9
1239791	516950	9
873447	1381082	9
1115820	370552	9
1318	1304	9
370554	370552	9
747	521005	9
1263110	1408178	9
760850	516950	9
1257038	1074120	9
888818	888807	9
471872	1381082	9
71421	521005	9
1159093	516950	9
574093	516950	9
489	546268	9
1313	1304	9
1115812	370552	9
1403947	1304	9
888825	888807	8
497739	516950	8
869303	516950	8
1110546	546273	8
512566	516950	8
1115830	370552	8
888822	888807	8
1381084	1381082	8
1159099	516950	8
488223	516950	8
406556	516950	8
1303	888807	8
1157946	1304	8
712	546268	8
1095745	729	8
521004	521005	7
497738	516950	7
1403937	370552	7
1074494	1304	7
1432097	516950	7
1239787	516950	7
0	521005	7
319701	370552	7
91347	729	7
760782	516950	7
888811	888807	7
1257039	1074120	7
1303	1408178	7
1	521005	7
1239381	1381082	7
914137	516950	7
904306	1408178	7
1115815	370552	6
1328	516950	6
543	521005	6
762965	521005	6
888815	888807	6
706437	888807	6
1207470	370552	6
1307	370552	6
866630	521005	6
257758	516950	6
119602	370552	6
1311	516950	6
1438994	370552	6
1159090	516950	6
857140	1074120	6
1161417	1304	6
171101	516950	6
1073569	1408178	6
1839799	1408178	6
119224	119602	6
486410	1074120	6
0	1408178	6
656913	521005	6
1960084	729	6
77133	1408178	6
1340486	516950	5
1336	119602	5
1128111	546273	5
888808	888807	5
1435974	1408178	5
1439079	370552	5
1302	1408178	5
1403947	516950	5
1776578	888807	5
1239789	516950	5
102886	119602	5
914136	516950	5
131567	888807	5
1436725	1408178	5
1739328	729	5
1028804	521005	5
