taxid	truth_taxid	count
1301	1304	34309
1301	1408178	28408
1301	516950	27597
1309	1074120	26497
29465	546273	24964
1301	888807	23416
0	546268	19956
1336	1381082	19735
1301	370552	19708
1301	119602	18864
724	521005	18326
1334	119602	18212
1314	370552	15187
712	729	14856
729	729	13655
1224	546268	13641
388919	888807	12884
1301	1381082	12065
0	546273	11392
712	521005	10857
1313	516950	9962
29466	546273	9669
0	370552	9366
1301	1074120	8960
0	1381082	8911
0	1304	8887
0	516950	8453
0	119602	8065
0	1408178	8064
0	1074120	7827
0	888807	7802
0	521005	7658
1308	1408178	7396
724	729	7022
727	521005	6550
0	729	5423
482	546268	5395
1236	729	3333
1	1381082	2597
2	729	2507
1304	1304	2394
1236	521005	2363
2	521005	2066
1224	521005	2029
1	370552	1995
486	546268	1806
1224	729	1757
481	546268	1580
2	1074120	1556
326523	546268	1515
1300	1074120	1430
1300	1408178	1348
186826	1074120	1339
2	546268	1334
487	546268	1233
1239	1408178	1226
1300	888807	1225
91061	1074120	1171
2	546273	1141
2	1381082	1127
186826	1408178	1082
2	1408178	1058
1300	119602	1014
119603	1381082	968
2	888807	954
91061	888807	903
1239	546273	886
186826	119602	884
186826	888807	860
91061	1408178	858
1701850	1381082	852
248315	546273	847
2	370552	830
2	119602	829
2	516950	823
1300	1304	821
91061	1381082	797
1300	516950	788
91061	370552	778
1300	1381082	776
119603	119602	758
91061	1304	747
186826	370552	683
186826	1381082	673
45634	888807	671
186826	516950	649
1300	370552	645
186826	1304	632
249188	729	611
2	1304	611
1308	1304	600
485	546268	577
91061	119602	573
1783272	1074120	571
91061	516950	533
1239	1074120	488
1239	516950	428
1	546268	404
909932	546273	375
1239	370552	372
1239	1381082	369
31977	546273	347
490	546268	339
1783272	119602	332
1239	1304	315
1239	888807	305
1783272	516950	302
712310	729	283
1888195	1381082	261
1783272	1408178	241
1302	888807	231
495	546268	225
1239	119602	211
655307	546268	208
1783272	888807	201
1783272	370552	199
28216	546268	184
732	729	181
365659	1304	178
1783272	1381082	176
1853278	546268	158
488	546268	156
131567	1381082	155
1314	119602	148
131567	1304	143
1783272	546273	142
171101	516950	140
1783272	1304	136
1239381	1381082	131
1	729	116
712	546268	113
1307	1381082	112
28883	1381082	107
315405	888807	95
1236	546268	92
12402	546268	85
131567	546273	84
738	546268	84
732	546268	82
131567	1408178	81
1338	888807	81
131567	516950	77
1853276	546268	76
1303	888807	75
131567	729	71
1	1074120	70
1334	370552	70
1318	888807	70
1	1408178	68
131567	888807	65
10239	1381082	59
75984	546268	57
131567	370552	50
1304	1408178	49
1	516950	48
754	546268	47
469	546268	45
47735	546268	45
1314	1381082	44
1335	1304	43
1318	1304	39
1338	1304	37
131567	546268	36
1	888807	33
1789224	546268	31
754048	546268	30
150055	1381082	30
131567	119602	30
199	729	29
206351	546268	28
1811193	1074120	28
365659	516950	27
85404	546268	27
1309	888807	26
712310	521005	26
119603	370552	25
131567	1074120	25
1349	119602	25
1	521005	25
1224	546273	24
1307	516950	24
1839799	1304	24
257758	516950	24
1346	370552	23
35344	370552	22
28037	516950	22
210007	1074120	21
28131	521005	19
1336	370552	19
1301	546273	18
738	729	18
28091	546268	18
1318	516950	17
10662	546268	17
482	729	17
72	546268	17
1336	888807	17
131567	521005	15
91061	729	15
1196083	546268	14
1783272	546268	14
1578	1408178	14
1	546273	14
747	521005	14
1303	516950	14
1328	516950	13
160490	119602	13
714	729	13
91347	521005	13
1307	1408178	13
1408281	729	13
1348	119602	13
1584	546268	13
633	546268	12
1335	1408178	12
1313	119602	11
91347	546268	11
1302	1304	11
434	546268	11
561	546268	11
907	546273	10
107401	546268	10
1469502	546268	10
257758	1408178	10
727	729	10
1839799	1408178	10
904	546273	10
45634	1304	9
10699	1381082	9
712411	546268	9
1	1304	8
194439	521005	8
1313	1408178	8
1808001	546268	8
755731	546268	8
1301	546268	8
543	546268	8
1570339	888807	8
1127514	546268	8
1357	1408178	8
470	546268	7
287	546268	7
1313	370552	7
1888195	516950	7
1311	370552	7
91347	729	7
1096	546268	7
416916	729	7
1825069	516950	7
1336	119602	7
143393	546273	7
1888195	1074120	7
75985	546268	7
1334	1381082	7
732	521005	6
860	546273	6
1529068	546268	6
171101	1304	6
1279	1381082	6
239935	546268	6
1302	1381082	6
1350	1304	6
186826	546273	6
28037	888807	6
583	546268	6
1407071	546268	6
59310	1304	6
82348	1304	6
1239	546268	6
171101	1381082	6
52443	546268	6
630	546268	5
1307	1074120	5
1108595	546268	5
1578	1304	5
1307	888807	5
1229760	546268	5
386891	546268	5
187452	1381082	5
84565	546268	5
1308	888807	5
160490	370552	5
543	729	5
1076596	546268	5
1335	888807	5
1267021	729	5
468	546268	5
572511	888807	5
91061	546273	5
671232	516950	5
272623	1304	5
844	546268	5
1236	546273	5
338	546268	5
1811193	888807	4
582	546268	4
738	521005	4
310539	546268	4
1328	1408178	4
285091	546273	4
1348	370552	4
260364	729	4
1311	516950	4
712633	516950	4
1564681	119602	4
68336	729	4
1309	1304	4
1423	516950	4
1842537	546268	4
1351	546268	4
1334	1408178	4
1302	516950	4
315405	1304	4
28188	729	4
315405	1408178	4
28037	1408178	4
1612	546273	4
1304	888807	3
55197	729	3
136609	1304	3
1888195	888807	3
2069432	546268	3
102684	888807	3
1245	1408178	3
1311	1408178	3
517	546268	3
1678	729	3
948870	546268	3
712357	546273	3
1156431	1304	3
1701830	1381082	3
538	729	3
1581	1304	3
186828	888807	3
201174	546268	3
1423	729	3
80840	546268	3
1303	1408178	3
1300	546273	3
28450	546268	3
1240483	729	3
1678	546268	3
71421	521005	3
1852374	888807	3
76860	888807	3
1308	119602	3
1825069	888807	3
367477	729	3
860	546268	3
143393	729	3
713	729	3
242231	546268	3
482	521005	3
400065	888807	3
2751	1381082	3
1385	370552	2
964	546268	2
42817	546268	2
497	546268	2
859	888807	2
191303	546273	2
192421	546273	2
2096	546268	2
971	516950	2
1702287	546273	2
562	729	2
1311	1381082	2
188932	516950	2
1825069	1304	2
1307	370552	2
388919	516950	2
859	546273	2
585	546268	2
1300914	546268	2
315405	546273	2
1811193	1408178	2
186802	546268	2
150055	888807	2
1578	546273	2
731	546268	2
95485	546268	2
1472345	521005	2
889453	888807	2
1386	546273	2
996801	516950	2
2751	888807	2
286	546268	2
28901	546268	2
1358	888807	2
571	546268	2
521	546268	2
1156433	888807	2
539	546268	2
645	521005	2
1385	516950	2
1007105	546268	2
34105	888807	2
1124597	521005	2
539	546273	2
1336	1408178	2
135735	516950	2
655307	546273	2
400065	1408178	1
317	546268	1
186828	119602	1
53345	888807	1
47735	516950	1
1358	1408178	1
1156433	516950	1
257758	888807	1
878220	546273	1
1314	516950	1
388919	119602	1
114527	1381082	1
365349	546273	1
114527	1408178	1
106648	546273	1
1658665	546273	1
96942	546268	1
388919	1074120	1
1156433	1304	1
1295	888807	1
63745	546268	1
388919	1408178	1
365659	1408178	1
413066	1381082	1
315405	546268	1
1309	1408178	1
81850	1408178	1
860	1408178	1
539	521005	1
976	729	1
365348	546273	1
1462996	516950	1
838	546273	1
388919	1304	1
191579	888807	1
1229753	546268	1
2093	1074120	1
1578	1381082	1
61624	516950	1
197614	516950	1
490	521005	1
1335	546273	1
1759399	1408178	1
84163	546268	1
208596	1408178	1
29484	546268	1
1623304	1381082	1
715	521005	1
1716	516950	1
671232	1408178	1
1253	1381082	1
160490	1381082	1
34090	521005	1
1716	546268	1
1336	516950	1
194	546268	1
1309	516950	1
929813	546268	1
1311	888807	1
475	546268	1
1364	1408178	1
249188	521005	1
716	521005	1
47917	546268	1
933	546273	1
1307	119602	1
1326	370552	1
1624	1381082	1
592316	729	1
712357	888807	1
666686	516950	1
1318	1408178	1
1364	1074120	1
636	729	1
1631871	546273	1
34105	546273	1
747	729	1
2743	546268	1
794903	546273	1
157673	729	1
1680	546268	1
472175	546273	1
1303	1304	1
85698	546268	1
481	546273	1
29433	521005	1
1326	516950	1
102684	1408178	1
33958	888807	1
747	546268	1
1346	888807	1
1764	888807	1
285	521005	1
1302	1408178	1
455432	1408178	1
171101	119602	1
286	729	1
1328	888807	1
81479	546273	1
1853276	546273	1
1385	1074120	1
518	546268	1
1541959	546268	1
330922	546268	1
171101	1408178	1
538	546268	1
39950	546273	1
333849	1074120	1
47735	729	1
416916	521005	1
750	546268	1
1806905	729	1
670	546268	1
1814128	1381082	1
28216	516950	1
