taxid	truth_taxid	count
1301	1304	37698
29465	546273	32142
1336	1381082	31905
1301	888807	31121
724	729	28399
1313	516950	27850
1301	1408178	27247
1314	370552	25943
482	546268	24043
1309	1074120	23035
1334	119602	21090
1301	1074120	19392
2	521005	16210
727	521005	14705
1301	516950	14556
2	119602	13405
1305	888807	12928
1308	1408178	11058
28449	546268	10495
724	521005	10295
39778	546273	9107
2	370552	8472
1301	370552	8258
729	729	8252
1301	119602	7398
712	729	5860
0	119602	5465
0	1304	5069
0	370552	5015
0	546273	4971
0	1074120	4965
0	1381082	4706
1304	1304	4678
1301	1381082	4612
0	1408178	4400
0	546268	4294
0	521005	4211
1224	546268	4019
1239	1408178	3885
546268	546268	3591
1381082	1381082	3371
0	888807	3298
2	729	3217
0	729	3067
712	521005	2700
1783272	516950	2251
2	546273	2150
0	516950	2117
481	546268	1640
2	1381082	1608
2	1408178	1360
119603	1381082	1109
2	1074120	988
2	888807	917
2	546268	890
1	1381082	829
2	516950	827
1239	1304	574
1	370552	531
119602	119602	514
1236	729	508
1224	521005	507
617121	119602	494
119603	119602	466
2	1304	441
546273	546273	438
1239	516950	431
1783272	888807	424
1313	1304	359
40041	1381082	343
31977	546273	333
186826	1074120	328
370552	370552	318
1773	516950	277
521005	521005	269
1300	1074120	263
1051072	1381082	251
1783272	546273	243
1236	521005	232
186826	1408178	222
1239	888807	210
1300	1408178	198
552526	1381082	187
1224	729	186
186826	516950	183
516950	516950	179
487	546268	175
1403932	546273	170
1239	1074120	169
1783272	1074120	165
186826	370552	151
1239	546273	150
1783272	1408178	147
91061	516950	146
1051981	1381082	142
759913	119602	139
1005706	119602	138
456482	521005	129
186826	888807	126
1314	119602	124
484	546268	124
1247189	119602	121
186826	1304	121
1783272	1304	119
186826	1381082	118
1308	1304	117
1239	1381082	115
862965	729	112
91061	370552	107
1200793	1304	106
91061	1381082	102
1051074	1408178	97
1304	1408178	95
1300	119602	88
1783272	1381082	87
1000589	119602	87
91061	1408178	85
1042404	1408178	84
1300	888807	83
1200793	1408178	76
1300	1381082	73
888807	888807	72
1239	370552	71
1313	370552	70
91061	1074120	69
1313	1408178	68
1300	370552	67
888820	888807	64
1300	1304	62
28037	516950	62
1111760	1074120	61
1046629	1304	61
888828	729	60
1115812	370552	58
1608583	1304	57
29466	546273	56
1962118	546268	56
1313	1074120	54
1783272	119602	53
546264	546268	52
375432	521005	52
186826	119602	52
1715037	546268	51
596320	546268	50
1318	1304	49
888817	888807	48
656912	521005	48
511691	1074120	48
91061	888807	47
864568	370552	47
1336	119602	46
1403829	1074120	46
888812	888807	45
28216	546268	44
543	521005	44
889206	1304	44
370553	370552	44
299768	1408178	43
1783272	370552	43
1073373	888807	43
1311	370552	42
486410	1381082	42
1115816	370552	42
264199	1408178	42
561522	370552	41
1150773	370552	40
1334	370552	40
45634	888807	39
1074494	1304	39
374927	521005	38
1334187	521005	36
1739348	546268	36
375063	521005	36
39777	546273	36
546266	546268	35
1307	1381082	35
857143	1381082	35
370554	119602	33
33053	546268	33
1314	1074120	33
375177	521005	33
813	119602	32
889206	1408178	32
71421	521005	32
1115817	370552	31
1311	1381082	31
1433289	1408178	31
888816	888807	31
1403949	546273	31
