taxid	truth_taxid	count
1309	1074120	39247
1	370552	36954
119602	119602	33126
862965	729	30136
1308	1408178	29718
29466	546273	27048
388919	888807	24587
1301	1304	23891
727	521005	23506
0	546268	21291
1336	1381082	20003
1	516950	19997
1	521005	16994
1313	516950	15951
1304	1304	12768
1301	1408178	12393
0	546273	11118
1301	888807	10892
40041	1381082	9607
482	546268	9537
0	1381082	7400
0	1304	7363
0	888807	7054
0	370552	6653
0	119602	6547
0	516950	5970
0	521005	5897
0	1408178	5814
0	1074120	5670
248315	546273	5499
1	119602	5361
29465	546273	5277
1301	516950	4998
0	729	4953
370563	370552	4439
1	729	3374
487	546268	3251
712	729	3187
1301	1074120	3091
1	1381082	3069
724	729	2918
552526	1381082	2816
1302	888807	2706
1301	119602	2687
1048332	1304	2647
486	546268	2077
326523	546268	1882
1301	1381082	1784
724	521005	1770
1701850	1381082	1742
1302863	888807	1655
516950	516950	1647
249188	729	1623
490	546268	1155
1853278	546268	1091
553482	1381082	979
485	546268	842
712	521005	838
1	1074120	789
1308	1304	780
546263	546268	773
1853276	546268	760
486410	119602	738
1224	546268	729
712310	729	720
488	546268	703
1301	370552	602
1	888807	565
1314	370552	534
481	546268	528
467705	888807	477
732	729	464
1004951	1381082	411
1239381	1381082	405
1	1408178	392
1888195	1381082	386
119603	119602	374
1304	1408178	368
1839799	1304	353
347253	1304	342
1	1304	336
489653	546268	331
1236	729	327
759913	119602	327
617121	119602	325
1335	1304	291
171101	516950	277
28091	546268	277
655307	546268	274
186826	1074120	242
714	729	236
365659	1304	235
119603	1381082	234
663954	119602	207
1300	1408178	203
539	546268	196
738	546268	194
1196094	546268	189
1224	521005	188
12333	370552	186
1303	888807	184
1300	1074120	182
186826	1408178	182
1198676	1074120	178
47735	546268	166
727	729	162
221988	729	155
339671	729	151
1338	888807	150
712	546268	147
1155071	1074120	133
1300	1381082	128
732	546268	128
186826	1304	122
1236	521005	118
1054460	516950	118
1328	888807	117
747	729	110
671232	888807	110
1051074	1408178	109
1338	1304	109
1311	1381082	108
1300	888807	106
53354	888807	97
942513	546268	97
2	546268	92
186826	888807	92
641147	546268	91
75985	546268	91
1	546268	87
671232	1304	86
1224	729	86
1334187	729	85
754	546268	85
634176	729	85
1116231	1304	84
927666	888807	84
1307	1381082	84
374833	546268	83
186826	1381082	82
1437447	1074120	82
12402	546268	80
28216	546268	80
1239	546273	80
1300	1304	80
71421	521005	78
91061	1074120	78
488221	516950	77
28883	1381082	71
488222	516950	69
1300	119602	67
1313	370552	67
1114965	1304	66
712310	521005	65
754	729	63
634176	546268	63
1888195	888807	61
1789224	546268	61
365659	516950	60
1114965	888807	58
472966	370552	58
2	729	58
2	546273	57
10239	1381082	57
91061	1408178	55
2	1381082	55
186826	119602	53
210007	1074120	53
31977	546273	52
28037	516950	52
487	521005	51
2	516950	50
264199	1408178	48
199	729	48
754048	546268	48
186826	370552	48
75984	546268	47
470	546268	47
91061	1381082	47
1239	1074120	47
1335	1408178	46
1307	516950	46
2	888807	45
206351	546268	45
727	546268	44
528354	546268	44
760570	1304	43
543	546268	42
869215	516950	42
28037	888807	41
712310	546268	41
1236	546268	41
119602	370552	41
1300	370552	40
1232659	521005	40
1309	888807	40
630	546268	39
935599	546268	39
469378	546268	39
712633	1304	38
186826	516950	38
1433287	546268	38
262727	521005	37
964	546268	37
1839799	1408178	37
1346	370552	37
1334187	521005	36
755731	546268	36
2	521005	36
1902136	888807	35
1303	516950	35
91347	521005	35
1307	370552	35
1351	546268	35
1300	516950	34
400065	888807	34
