taxid	truth_taxid	count
1313	516950	44743
1308	1408178	43999
119602	119602	42017
1314	370552	36096
1309	1074120	33865
388919	888807	23560
862965	729	20967
552526	1381082	18323
727	521005	17814
1046629	1304	15517
1048332	1304	13388
370552	370552	10718
374930	521005	9620
40041	1381082	9614
1304	1304	9401
1051072	1381082	9383
1155071	1074120	6566
0	521005	6545
347253	1304	5510
553482	1381082	4498
262727	521005	4060
617121	119602	3812
479436	546273	3705
511691	1074120	3673
516950	516950	3313
210007	1074120	3147
1301	370552	2966
1198676	1074120	2719
1334187	521005	2201
486410	119602	2121
322159	1408178	1578
1301	516950	1550
281310	521005	1463
467705	888807	1459
1701850	1381082	1363
1302863	888807	1265
1051074	1408178	1202
157239	521005	1168
71421	521005	910
487	546268	863
1247189	119602	851
862964	521005	816
1336	1381082	813
374931	521005	729
489653	546268	711
1187956	1408178	647
1301	119602	634
767463	1408178	506
935897	521005	408
866630	521005	376
485	546268	367
299768	1408178	345
1301	1408178	337
759913	119602	336
264199	1408178	328
862965	521005	267
634176	546268	262
1301	1304	260
242231	546268	244
942513	546268	237
1301	888807	217
1308	1304	215
935593	546268	214
122587	546268	196
0	370552	189
935588	546268	188
272831	546268	181
374833	546268	169
604162	546268	166
727	729	165
909420	546268	162
663954	119602	159
935589	546268	158
662598	546268	151
760570	1304	148
482	546268	139
634176	729	133
521006	546268	132
122586	546268	131
488222	516950	124
1239381	1381082	117
1334187	729	108
940296	546268	106
1046629	1408178	86
1114965	1304	85
186826	1408178	83
724	521005	78
1304	1408178	78
170187	516950	77
767463	1304	77
862967	888807	75
630588	546268	71
264199	1304	69
71421	729	67
322159	1304	66
487	521005	61
561276	516950	59
1300	1408178	57
1313	888807	56
927666	888807	55
591365	888807	52
299768	1304	50
862966	888807	47
489653	729	47
1048332	1408178	44
186826	1304	43
281310	729	41
486410	1381082	39
862971	1304	39
935599	546268	39
347253	1408178	38
75985	729	38
935897	729	36
862964	729	36
1302863	1304	36
935591	546268	35
1314	119602	35
694569	729	34
1156431	888807	33
1156433	1304	33
0	729	31
374931	729	31
1338	888807	28
1187956	1304	28
157239	729	26
487214	516950	26
869309	516950	26
866630	729	26
399804	546268	25
157239	546268	25
262727	729	25
1051074	1304	25
1322346	729	24
1116231	1381082	24
374930	729	24
1239	516950	23
385025	729	23
186103	370552	22
1366053	729	21
365659	729	21
1114965	888807	21
862968	888807	20
1132496	729	20
1301	729	20
1235829	119602	19
512566	516950	19
668336	729	18
935589	521005	18
184250	888807	18
1307	888807	17
467705	1408178	16
862970	888807	16
666686	729	15
120574	1381082	15
1054460	1304	15
747	729	15
543	546268	15
91061	516950	15
1301	1381082	14
365659	888807	14
205914	729	14
1198676	888807	14
91061	1408178	14
0	1381082	13
339671	729	13
754507	729	13
1004951	1381082	13
557723	729	13
413066	1381082	13
225849	729	12
869216	888807	11
575788	729	10
1359	1408178	10
1156433	888807	10
869216	516950	10
1005058	729	10
220668	1408178	9
662598	521005	9
211586	546268	9
862970	1304	9
1071400	1408178	9
2	888807	9
694569	546268	9
1156431	1408178	9
488223	516950	8
365659	1304	8
869311	888807	8
1054460	888807	8
467705	729	8
1359	546273	8
1624	1304	7
1064535	546273	6
1156431	1304	6
59201	546268	6
375286	546268	6
319701	370552	6
1051072	888807	6
712	729	5
1340847	888807	5
712	521005	5
511691	1408178	5
316275	546273	5
196620	888807	5
264199	888807	5
1313	1304	5
272622	1408178	5
1318	1304	5
1224	546268	5
467705	1304	5
186103	119602	5
1036673	546268	5
1308	888807	5
347253	888807	5
53354	1304	4
696747	546268	4
491	546268	4
696216	888807	4
1217984	546273	4
552526	888807	4
663954	888807	4
592022	546273	4
1224	521005	4
633	729	4
1111678	1408178	4
760570	888807	4
696748	729	3
1007064	888807	3
869269	516950	3
420890	1408178	3
862971	888807	3
869303	888807	3
1155071	888807	3
326425	888807	3
193567	888807	3
471876	370552	3
1156433	1408178	3
511691	546273	3
927666	1304	2
487	729	2
1114965	1408178	2
574093	516950	2
1236	521005	2
1318	888807	2
1004952	888807	2
1069533	1381082	2
233412	521005	2
724	729	2
1048332	888807	2
487214	1381082	2
434271	729	2
416870	1408178	2
206351	546268	2
1311	888807	1
1304	888807	1
471876	119602	1
861360	546268	1
671232	888807	1
1590	1408178	1
469604	888807	1
323261	888807	1
77643	546268	1
767463	888807	1
697283	888807	1
488223	888807	1
119603	888807	1
487214	888807	1
1249526	729	1
1336746	119602	1
223926	729	1
347257	546273	1
402626	546268	1
334390	1408178	1
731	729	1
1313	1408178	1
488221	516950	1
349519	1408178	1
1318615	1408178	1
122586	521005	1
1284663	1408178	1
