taxid	truth_taxid	count
1308	1408178	49166
1309	1074120	46919
0	370552	42976
727	521005	41838
119602	119602	40681
1304	1304	28117
0	516950	24385
388919	888807	22823
1313	516950	21666
862965	729	20828
552526	1381082	18116
40041	1381082	17789
1048332	1304	10226
370563	370552	6601
0	521005	6551
29466	546273	4784
553482	1381082	4477
617121	119602	4380
1301	1304	4311
1302	888807	3276
516950	516950	3184
1155071	1074120	2927
487	546268	2513
486410	119602	2442
347253	1304	1888
1839799	1304	1540
1701850	1381082	1361
479436	546273	1282
759913	119602	1208
1302863	888807	1015
1403449	1381082	898
1336	1381082	804
485	546268	783
488	546268	770
467705	888807	764
249188	729	624
490	546268	587
1335	1304	584
1051072	1381082	575
1301	516950	574
1301	119602	563
1301	1408178	518
0	119602	475
727	729	411
1308	1304	409
482	546268	405
489653	546268	398
1301	888807	390
486	546268	368
248315	546273	351
546263	546268	342
12333	370552	332
712	521005	328
634176	546268	219
732	729	191
732	546268	187
663954	119602	179
712310	546268	178
655307	546268	141
634176	729	141
1408178	1408178	139
539	546268	127
488222	516950	123
712310	729	119
1239381	1381082	117
935593	546268	116
1338	888807	108
1198676	1074120	102
604162	546268	100
942513	546268	96
1334187	729	90
186826	1408178	86
374833	546268	84
1853278	546268	81
724	729	78
760570	1304	72
0	729	72
1303	888807	71
909420	546268	67
1314	370552	66
28037	888807	64
662598	546268	64
1888195	1381082	63
935588	546268	60
724	521005	58
326523	546268	58
528354	546268	54
1853276	546268	51
862967	888807	51
122586	546268	49
747	729	49
1300	1408178	48
28091	546268	47
9606	546268	47
488	729	43
1314	119602	42
1313	888807	42
1114965	1304	41
242231	546268	41
486410	1381082	39
75985	729	39
1304873	729	37
122587	546268	37
1311	1381082	35
29465	546273	35
927666	888807	35
186826	1304	34
272831	546268	33
935599	546268	33
712633	888807	30
0	1381082	28
511691	1074120	27
935590	546268	26
399804	546268	25
1116231	1381082	24
591365	888807	24
1239	516950	23
71421	729	23
1051074	1408178	23
1156431	888807	22
186103	370552	22
0	546268	22
28037	1304	22
862964	729	22
1902136	888807	22
862964	521005	21
935589	546268	21
91061	729	20
754	546268	20
1235829	119602	19
512566	516950	19
694569	729	19
714	729	19
1114965	888807	19
1328	888807	19
186826	729	18
672	729	18
767463	1304	17
262727	729	17
862966	888807	16
1411902	546268	16
1232659	729	16
1051074	1304	16
1156433	1304	16
1349	1381082	16
570416	729	16
1433287	729	15
660596	729	15
184250	888807	15
281310	521005	15
1718	729	15
365659	888807	15
666686	729	15
738	729	15
1307	888807	15
1302863	1304	15
1301	1381082	14
754	729	14
272556	729	14
1408178	1304	14
205914	729	14
91061	1408178	14
712633	1304	13
210007	1074120	13
1004951	1381082	13
28152	729	13
1308	888807	13
339671	729	13
413066	1381082	13
557723	729	13
862968	888807	12
549298	729	12
409026	729	12
1295140	729	12
1232659	521005	12
47678	729	11
588	729	11
1386087	546268	11
743972	729	11
1224	546268	11
712	729	10
1156433	888807	10
663	729	10
2077149	729	10
1349754	546273	10
935897	729	10
1005058	729	10
1187956	1304	10
38294	729	9
1437447	1074120	9
1309	888807	9
2	888807	9
696485	729	9
644	546268	9
1759399	1304	9
1423	729	8
1335	888807	8
1077464	888807	8
1300	1304	8
1054460	888807	8
351671	729	8
488223	516950	8
230089	729	8
569	546268	7
630588	546268	7
1888195	888807	7
43662	729	7
671232	888807	6
869215	516950	6
869216	888807	6
28901	546268	6
1423	888807	6
862970	888807	6
1051072	888807	6
1814128	1381082	6
1304	888807	5
1759399	888807	5
1648	546273	5
1340847	888807	5
33932	546273	5
1304890	729	5
629	729	5
196620	888807	5
347253	888807	5
39950	546273	5
221027	546273	5
249188	546268	5
837	546273	5
483913	546273	5
1198676	888807	5
91061	516950	5
264199	1304	4
70255	546273	4
1712675	888807	4
1334187	521005	4
512566	888807	4
696216	888807	4
0	888807	4
552526	888807	4
767463	1408178	4
641147	546268	4
1408178	888807	4
1423822	546273	4
1359	546273	4
686597	546268	4
1302	1304	4
157239	729	3
472966	370552	3
80854	546273	3
33967	729	3
1825069	888807	3
297352	888807	3
680279	729	3
1217984	546273	3
935897	521005	3
1309	546273	3
1155071	888807	3
1326	888807	3
935591	546268	3
365659	729	3
546263	729	3
82348	1304	3
157239	546268	3
714	546268	3
1007064	888807	3
29484	729	3
1598	546273	3
1587	888807	3
760570	888807	3
1686310	546268	2
2	729	2
80852	729	2
862971	888807	2
434	729	2
1236	521005	2
497	888807	2
481	546268	2
135621	546268	2
1313	1304	2
713	729	2
316275	546273	2
402384	888807	2
1303	729	2
82348	888807	2
1318	1304	2
1004952	888807	2
866630	729	2
1069533	1381082	2
29485	888807	2
1156431	1304	2
1048332	888807	2
434271	729	2
1434214	729	2
869269	516950	2
487214	1381082	2
487214	516950	2
169283	546268	1
1587	546273	1
869216	516950	1
1508404	729	1
161398	729	1
1639	546273	1
861360	546268	1
469604	888807	1
323261	888807	1
1266738	729	1
119603	888807	1
670	729	1
1432056	729	1
315405	888807	1
488221	516950	1
731	729	1
264199	1408178	1
322159	1304	1
33934	729	1
400065	888807	1
2018305	546268	1
1187956	1408178	1
