taxid	truth_taxid	count
1314	370552	50000
1313	516950	50000
1309	1074120	49983
1334	119602	49696
1308	1408178	48957
727	521005	46168
-2	546268	44507
1336	1381082	42992
-2	546273	42963
1304	1304	42469
1305	888807	29569
729	729	28227
-2	729	20066
-2	888807	15759
29466	546273	6774
-2	1381082	6672
-2	1304	5646
-2	521005	3421
487	546268	3064
1302	888807	2015
45634	888807	1943
1308	1304	1216
486	546268	1066
727	729	793
485	546268	777
-2	1408178	674
1318	1304	316
1304	1408178	293
729	521005	291
732	546268	289
-2	119602	261
1338	888807	238
732	729	228
1307	1381082	173
1303	888807	106
28037	1304	68
487	521005	66
747	729	61
714	729	59
75985	729	59
1334	1381082	52
1328	1304	51
1313	888807	50
-1	729	48
1318	888807	46
738	729	44
1314	119602	43
1313	1381082	42
35791	1304	41
-1	546268	40
45634	1304	38
731	729	36
157673	729	33
727	546268	33
1307	888807	32
486	729	31
1328	888807	31
588	729	30
1156431	1304	30
1309	888807	27
102684	1304	27
28037	729	27
28037	888807	25
24	546268	25
76860	888807	24
2098	521005	24
67854	546268	23
212663	729	23
248026	546268	22
754477	546268	22
1358	1408178	21
28901	521005	21
750	729	20
714	546268	20
1156431	546268	20
564	729	19
1314	1381082	18
1308	888807	18
147268	546268	18
67854	729	17
1911	546273	17
666686	729	16
716	729	16
1349	1381082	16
-2	1074120	16
257758	1304	16
332163	1304	15
907	546273	14
983545	729	14
102684	1381082	14
1718	729	14
257758	888807	13
65393	546273	13
668	729	12
1590	1408178	12
192843	729	12
485	729	12
1172	546273	12
182337	546268	12
1358	546273	11
1313	1304	11
2096	546273	11
1393	546268	11
1007105	729	11
63745	546273	10
1156431	888807	10
1581	1408178	10
150055	546273	10
1599	546273	10
994692	729	9
39485	546273	9
715	729	9
644	546268	9
672	546268	9
91844	1381082	9
1747	546273	8
1428	729	8
315405	1304	8
915	1381082	8
1156433	1304	8
1302	1304	8
1640	729	8
84599	546273	7
1235990	546273	7
713887	546273	7
1336	888807	7
1335757	546273	7
359408	546273	7
373	546273	7
28141	729	7
375929	546273	7
1156431	1408178	7
47735	729	7
36745	546273	6
2151	546273	6
-1	1304	6
361575	1304	6
13373	546268	6
-1	888807	6
59310	888807	6
315405	888807	6
316	546268	6
40269	546273	5
332056	888807	5
76860	546273	5
1304	888807	5
1640	546273	5
201	546273	5
1496	888807	5
1376	888807	5
315405	1408178	5
1648	546273	5
837	546273	5
1334	1304	5
86170	546268	5
61624	546268	5
85643	1304	4
49338	888807	4
1318	1408178	4
416273	888807	4
1396	546273	4
291112	729	4
314282	521005	4
399742	888807	4
1598	546273	4
1309	546273	3
1624	1304	3
1795	888807	3
159743	546273	3
40269	521005	3
1426	729	3
61635	546273	3
1303	1304	3
102684	1408178	3
1131707	888807	3
1462	546268	3
33894	546273	3
54736	546273	3
155322	888807	3
1404	546273	3
1156433	888807	3
32054	888807	3
1156433	1408178	3
1309	1408178	3
29575	729	3
732	546273	3
133453	888807	3
28901	729	3
2118	546273	2
212663	1304	2
34003	546268	2
1338	1408178	2
400668	546273	2
33970	888807	2
228	729	2
410330	888807	2
991904	1381082	2
1587	546273	2
28037	1408178	2
438	729	2
60481	729	2
44001	888807	2
1229	888807	2
256701	546268	2
94254	888807	2
1311	888807	1
1006	729	1
1769	546273	1
2252	546273	1
61645	729	1
43948	546273	1
63612	546273	1
88688	888807	1
39491	1074120	1
1348	1381082	1
309805	888807	1
367488	546273	1
33934	546268	1
2115	546273	1
357794	546273	1
-1	521005	1
624186	1304	1
672	729	1
851	888807	1
314282	729	1
1613	1408178	1
157673	546268	1
357794	729	1
147268	888807	1
106	546268	1
39766	546273	1
1639	546273	1
42684	546268	1
485	521005	1
76887	1408178	1
1305	1304	1
1902	546273	1
415229	888807	1
1311	1408178	1
277	546273	1
59310	1304	1
1302	1408178	1
1124597	546273	1
1363	888807	1
119864	888807	1
134821	1381082	1
1348	888807	1
