taxid	truth_taxid	count
1084722	119602	48808
1084722	370552	44058
1084722	516950	43757
-2	546273	42130
-2	546268	41280
1349827	521005	38175
1084722	1074120	33548
1084722	1381082	32778
1084722	1408178	32726
34004	1304	30057
1384484	888807	23238
1311277	729	23084
-2	729	22970
-2	888807	17693
1246	1408178	16722
1249	1074120	15871
1084722	1304	12387
644	521005	9019
-2	1381082	6559
1254	516950	5003
1081940	546273	4640
1248725	546268	4271
33992	888807	3809
1255	370552	3419
-2	1304	2888
1084722	888807	2767
1941237	1381082	2616
1811408	546273	2315
40060	1381082	2234
10385	370552	1908
1541205	1381082	1606
1955558	1304	1504
-1	1381082	1388
1778559	1304	1274
-2	521005	1222
598747	1381082	1201
1580	888807	1066
1349827	729	1058
1608104	1381082	995
-1	1304	924
70822	516950	870
486	546268	776
1647473	888807	658
1746066	729	629
1453989	1304	496
485	546268	490
696485	546273	437
-1	521005	372
754502	546268	360
487	546268	334
990288	119602	306
488	546268	298
400121	119602	293
1869111	521005	230
693979	729	227
1379714	521005	220
693979	521005	206
-1	370552	201
1738045	370552	185
138948	1408178	178
1255	119602	174
1869111	546268	173
1516080	119602	171
1246	1304	171
1642663	729	163
532075	546268	158
-1	888807	154
-2	1074120	154
1868472	729	153
480	546268	150
2005444	1381082	148
862259	1381082	146
558152	546268	146
1873455	1408178	144
-1	1074120	143
694429	119602	135
1642663	546268	134
1868472	546268	132
1286528	1074120	131
-1	516950	125
956149	546268	122
693979	546268	118
1412499	521005	112
-1	729	110
-2	1408178	106
644	729	101
1739610	729	97
1655644	521005	94
10372	729	92
33995	888807	89
1738045	521005	87
262719	521005	83
1738045	1381082	81
698737	729	79
-2	119602	78
1770	370552	77
1379714	729	76
-2	370552	76
171101	546268	76
532074	546268	71
-1	1408178	68
-2	516950	68
138948	1304	67
1248725	521005	64
335341	888807	63
-1	546268	63
558152	729	57
1738045	729	56
1742594	546268	55
1739610	546268	54
901	729	53
262897	1381082	50
990288	1381082	49
1642299	546268	48
10372	521005	47
10334	729	45
663278	729	44
34021	1381082	43
925776	1074120	43
1156721	1074120	42
99598	888807	40
858517	729	40
1774200	546268	38
859651	546268	38
1055524	1304	38
138948	1074120	36
1304	516950	36
1217821	516950	35
10334	1408178	35
1869111	729	32
1245909	546268	32
1873455	1074120	32
269800	546268	30
1746070	1381082	29
262724	729	26
272562	888807	26
402384	516950	25
990303	1304	25
1738045	1304	25
1121353	546268	25
1156913	729	24
1249652	1304	23
2003578	546268	23
396359	729	23
554	888807	23
102608	729	22
35241	546268	22
272623	546268	22
463025	546268	22
1311277	521005	22
138950	546268	22
1873455	1304	21
