taxid	truth_taxid	count
1308	1408178	49814
1309	1074120	48870
727	521005	48442
1313	516950	46252
119602	119602	45317
862965	729	42387
1314	370552	38585
388919	888807	35970
0	546268	30457
1304	1304	29622
29466	546273	28454
0	546273	19448
40041	1381082	18354
1336	1381082	13821
370552	370552	11380
1048332	1304	8698
552526	1381082	8228
1301	1304	6952
482	546268	4291
487	546268	4195
1302	888807	4132
0	888807	4100
0	729	3776
516950	516950	3614
0	1381082	2837
553482	1381082	2786
1301	888807	2318
1701850	1381082	2106
1302863	888807	1689
248315	546273	1674
490	546268	1460
1839799	1304	1446
249188	729	1338
617121	119602	1328
488	546268	1314
347253	1304	1280
486	546268	1248
485	546268	1232
486410	119602	1210
0	521005	1050
467705	888807	905
546263	546268	837
663954	119602	799
759913	119602	746
326523	546268	690
1335	1304	651
724	729	650
1308	1304	623
489653	546268	608
1853276	546268	555
1198676	1074120	536
0	1304	522
1301	119602	521
1155071	1074120	474
1853278	546268	445
1888195	1381082	414
1004951	1381082	401
712310	729	345
727	729	325
29465	546273	304
712	521005	284
754	546268	270
732	546268	258
732	729	241
1239381	1381082	213
712	729	204
655307	546268	197
1	1381082	195
712310	546268	192
634176	546268	154
1311	1381082	143
1303	888807	132
1224	546268	131
1334187	729	130
1408178	1408178	130
374833	546268	124
1338	888807	122
1301	516950	120
942513	546268	118
539	546268	115
28091	546268	113
724	521005	112
511691	1074120	111
481	546268	107
662598	546268	99
712	546268	95
604162	546268	89
935588	546268	88
634176	729	87
927666	888807	82
1314	119602	75
10239	1381082	66
28037	888807	66
1051072	1381082	63
486410	1381082	62
1301	1381082	56
9606	546268	54
760570	1304	54
714	729	53
862967	888807	53
935593	546268	53
1114965	1304	51
1301	1408178	45
160491	1381082	43
1307	1381082	42
272831	546268	41
186826	1304	38
1224	729	38
1759399	888807	34
747	729	33
413066	1381082	32
1156433	888807	28
724	546268	27
935599	546268	27
122587	546268	26
1114965	888807	26
221988	729	26
75985	729	25
1335	888807	25
1902136	888807	25
1403449	1381082	24
1328	888807	24
671232	888807	23
91061	729	23
184250	888807	23
528354	546268	22
96942	546268	22
1313	888807	22
91347	521005	21
1314	1381082	21
591365	888807	21
1267169	1381082	20
630588	546268	20
272843	521005	19
714	546268	19
1156431	888807	19
1232659	729	17
0	370552	17
1313	1381082	17
1759399	1304	16
738	729	16
242231	546268	15
1236	521005	15
10662	546268	14
754	729	14
862964	729	14
1304873	729	14
28883	1381082	14
1301	370552	13
712633	1304	13
862966	888807	12
727	546268	12
28037	1304	12
712633	888807	12
1309	888807	12
416916	729	12
1386	729	11
0	516950	11
935591	546268	11
365659	888807	11
641147	546268	11
866630	729	11
837	729	11
557723	729	11
935590	546268	10
2	546273	10
1295140	729	10
1324350	729	10
1304	888807	9
497	546268	9
1308	888807	9
1263832	729	9
262727	729	9
0	1074120	9
1054460	888807	9
1077464	888807	8
1116231	1381082	8
1016998	521005	8
1304	1381082	8
28450	729	8
1452724	729	8
1239	546273	8
760570	888807	8
272556	521005	7
1236	729	7
1130804	1381082	7
119060	546268	7
1697053	546268	7
28216	546268	7
731	729	7
39950	546273	7
31977	546273	6
1034807	729	6
488	729	6
1300	1304	6
262728	546268	6
1699624	546268	6
1432056	729	6
262728	729	6
1078034	521005	5
1334187	521005	5
2	888807	5
1318	1304	5
489653	729	5
1048332	888807	5
80840	546268	5
869269	888807	5
1386087	546268	5
186826	729	5
1151116	521005	5
716	729	5
1309	1381082	5
365659	1304	5
365659	729	5
53354	888807	5
0	1408178	5
1005058	729	5
400065	888807	5
862964	521005	4
640511	546268	4
1076934	888807	4
588	546268	4
1005048	546268	4
696485	729	4
1785995	546273	4
190893	521005	4
640512	546268	4
266265	546268	4
1307	888807	4
487214	1381082	4
85404	729	4
1888195	888807	4
536	546268	4
47735	729	4
1351	546273	3
490	729	3
160491	370552	3
552526	888807	3
1300	1408178	3
158847	546273	3
1308	1381082	3
891974	546268	3
633	521005	3
644	546268	3
1453495	729	3
416916	546268	3
1258574	546268	3
1302	1304	3
157	888807	3
416269	729	3
509173	546268	3
339671	729	3
936154	1381082	3
526977	729	3
1717	546268	3
1808001	546268	3
521006	546268	3
40041	888807	3
838	521005	3
662	729	3
34105	546273	3
562	521005	3
629	546268	3
748727	546268	3
862964	546273	2
1660064	546273	2
488221	888807	2
71421	729	2
587	729	2
907	546273	2
470	546268	2
29382	546273	2
1258574	888807	2
712310	546273	2
487214	516950	2
1346	119602	2
672	521005	2
1455592	729	2
184250	546273	2
91061	546273	2
264199	1408178	2
206351	546268	2
649756	546273	2
1130804	888807	2
1701830	1381082	2
730	729	2
641	729	2
481743	546273	2
306263	546273	2
1442	546273	2
1222034	546268	2
1631871	546273	2
1300	888807	2
629	546273	2
715	729	2
82348	888807	2
264731	521005	2
1678028	546268	2
61645	546268	2
738	546268	2
1318	888807	2
1809410	546268	2
1192197	546273	2
2	729	1
259536	546268	1
1295	546273	1
75984	729	1
28037	546273	1
28131	521005	1
61624	546273	1
1279	546273	1
316275	729	1
1340847	888807	1
631	546273	1
1284	546273	1
1825069	1381082	1
194	546273	1
748449	546273	1
469604	888807	1
1385937	729	1
1069533	888807	1
