taxid	truth_taxid	count
1308	1408178	49831
1309	1074120	48453
119602	119602	46164
1313	516950	46124
862965	729	43892
727	521005	38877
388919	888807	37120
0	546268	36291
1314	370552	34417
479436	546273	27374
1048332	1304	23476
0	546273	22481
40041	1381082	18391
1304	1304	17893
370552	370552	15553
1336	1381082	13825
552526	1381082	8230
347253	1304	5172
0	729	4052
0	888807	4043
516950	516950	3741
487	546268	3712
0	1381082	3002
553482	1381082	2793
374930	521005	2659
1701850	1381082	2250
1302	888807	2234
489653	546268	2209
1301	888807	2182
0	521005	2020
1302863	888807	1910
482	546268	1790
467705	888807	1612
546263	546268	1516
485	546268	1501
1308	1304	1121
617121	119602	1112
1232659	521005	1059
1295140	521005	943
0	1304	903
1334187	521005	869
486410	119602	796
1198676	1074120	717
262728	521005	656
1301	1304	643
1155071	1074120	605
663954	119602	590
1247189	119602	579
712	521005	577
1004951	1381082	544
262727	521005	505
759913	119602	435
732	546268	390
732	729	384
727	729	371
1239381	1381082	368
862964	521005	340
71421	521005	311
1301	119602	280
724	729	262
942513	546268	260
662598	546268	250
634176	546268	250
935588	546268	244
281310	521005	239
511691	1074120	216
712	729	215
374833	546268	210
935897	521005	183
604162	546268	182
862965	521005	172
1224	546268	165
1	1381082	165
1408178	1408178	157
365659	1304	143
1334187	729	135
1419814	888807	131
866630	521005	130
754345	521005	120
1301	516950	120
927666	888807	114
760570	1304	110
634176	729	105
1114965	1304	104
935593	546268	102
724	521005	98
1267169	1381082	88
122587	546268	86
28037	888807	86
712633	1304	85
1095685	546268	84
1187956	1304	78
862967	888807	71
1759399	1304	67
486410	1381082	62
504	546268	62
272831	546268	60
714	729	49
487	521005	45
1338	888807	43
1224	521005	43
591365	888807	43
528354	546268	42
935599	546268	42
1301	1381082	42
186826	1304	41
1314	119602	41
862966	888807	40
160491	1381082	40
1307	1381082	40
1759399	888807	38
862964	729	38
862971	1304	37
521006	546268	37
413066	1381082	35
1051072	1381082	34
135720	546268	34
489653	729	34
262728	546268	33
184250	888807	33
1156433	888807	33
1328	888807	32
630588	546268	31
546263	729	30
1236	521005	29
1114965	888807	27
1328	1304	26
272843	521005	25
75985	729	25
935590	546268	24
122586	546268	24
738	729	24
714	546268	23
487214	1381082	22
543	521005	21
1295140	729	21
1314	1381082	21
374930	729	20
221988	729	20
1308	888807	19
1156431	888807	19
1302863	1304	19
91061	729	19
671232	888807	18
242231	546268	18
1386087	546268	18
497	546268	17
0	370552	17
1313	888807	17
935591	546268	16
712633	888807	16
866630	729	16
1678028	546268	16
1304873	729	15
1232659	729	15
71421	729	14
272556	729	14
1455592	546268	14
28037	1304	14
1324350	729	14
28883	1381082	14
1236	729	13
1054460	888807	13
365659	888807	13
196896	546268	13
1116231	1381082	12
727	546268	12
1304	888807	11
1051074	1304	11
0	516950	11
1195464	729	11
1318	1304	10
1263832	729	10
86661	729	10
119060	546268	10
837	729	10
1116231	1304	10
760570	888807	10
1301	370552	9
1156431	1304	9
1048332	888807	9
909420	546268	9
0	1074120	9
85404	729	9
264199	1304	9
662598	521005	8
72758	546273	8
470	546268	8
485	729	8
1016998	521005	8
339671	729	8
1309	888807	8
416916	729	8
481	546268	8
748280	546268	7
714	521005	7
743972	729	7
1196094	546268	7
1130804	1381082	7
186826	729	7
481743	546273	7
1698446	546268	7
1452724	729	7
747	521005	7
1300	1304	7
395495	546268	6
1123016	546268	6
262727	729	6
243365	546268	6
32008	546268	6
2	521005	6
1267021	729	6
715	729	6
365659	729	6
53354	888807	6
482	521005	6
262728	729	6
1076934	888807	5
1034807	729	5
990317	888807	5
54388	521005	5
747	729	5
202947	729	5
22	546268	5
869269	888807	5
935589	546268	5
28031	546273	5
1076934	1381082	5
191610	546268	5
1432056	546273	5
0	1408178	5
1192197	546273	5
748727	546268	5
2	888807	5
640511	546268	4
1386	729	4
744985	546268	4
1078034	521005	4
1458465	546273	4
1005048	546268	4
1156433	1304	4
644	546268	4
2	546273	4
1311	729	4
28216	546268	4
1236	546273	4
557598	546268	4
1236	546268	4
1432056	729	4
1624	1304	4
225849	546268	4
546271	546273	4
2	729	3
1159083	888807	3
862964	546273	3
631	546273	3
502025	521005	3
272556	521005	3
648757	729	3
299768	1304	3
1336	546273	3
549	546268	3
891974	546268	3
584721	729	3
1037911	546273	3
416916	546268	3
71999	546268	3
157	888807	3
75985	546268	3
667014	729	3
1196835	546268	3
160491	119602	3
202752	546273	3
80840	546268	3
509173	546268	3
491	546268	3
1235834	546268	3
1698447	546268	3
936154	1381082	3
1717	546268	3
286	546268	3
306263	546273	3
1042163	546273	3
1151116	521005	3
28037	546273	3
1415630	546268	3
293826	546273	3
1187956	1381082	3
294	546268	3
259536	546268	2
985665	546273	2
158899	546268	2
543	546273	2
188711	521005	2
585054	546268	2
511678	521005	2
588	546268	2
649639	546273	2
1351	546273	2
61624	546273	2
488221	888807	2
1785995	546273	2
482	729	2
160491	370552	2
184250	546273	2
487214	516950	2
1434215	729	2
1239	546273	2
45610	546268	2
313590	521005	2
640512	546268	2
102684	888807	2
1301	546273	2
1196095	729	2
1543721	546268	2
334413	546273	2
264199	1408178	2
1130804	888807	2
1313	1381082	2
416269	729	2
213849	521005	2
266265	546268	2
1187128	546268	2
519441	546273	2
1304890	729	2
1442	546273	2
630	546273	2
40041	888807	2
552526	888807	2
76869	546273	2
1125411	729	2
1300	888807	2
1385	546273	2
543	546268	2
662	729	2
2342	521005	2
888727	546273	2
61645	546268	2
49546	521005	2
562	521005	2
738	546268	2
1116375	729	2
365659	546273	2
1318	888807	2
862965	546273	2
731	729	2
186826	546273	2
1244531	546273	1
1309	546273	1
712357	546273	1
1090974	729	1
568816	546273	1
75984	729	1
316275	729	1
233412	729	1
1340847	888807	1
1284	546273	1
927666	1304	1
314282	546273	1
1301	1408178	1
1159083	516950	1
469604	888807	1
1307	888807	1
1002809	546273	1
1069533	888807	1
59201	729	1
316275	546273	1
1581680	546273	1
631	521005	1
1324350	546273	1
512566	516950	1
315750	729	1
1308	1381082	1
1509	546273	1
656519	546273	1
311402	546268	1
1333848	546268	1
297352	546273	1
216595	546268	1
1155071	888807	1
86661	546273	1
1455592	729	1
584721	546273	1
1415775	546273	1
397945	546268	1
1224	729	1
266264	546268	1
28211	729	1
1358	546273	1
1046624	546273	1
339670	546268	1
481743	729	1
767463	1408178	1
186103	370552	1
2	546268	1
1359	546273	1
1187956	1408178	1
888727	888807	1
279808	546273	1
148814	546273	1
1637	888807	1
1311	888807	1
28035	546273	1
206351	546268	1
1384484	546273	1
1385	729	1
1345702	521005	1
1386	546273	1
1235990	546273	1
526977	729	1
1430440	546268	1
515619	546273	1
135735	546273	1
347253	1408178	1
33967	729	1
10239	1381082	1
712	546273	1
94122	546268	1
285	546268	1
91061	546273	1
1051074	1408178	1
670	521005	1
1585	546268	1
68336	729	1
712633	546273	1
838	521005	1
471876	370552	1
358681	546268	1
985079	546268	1
47735	729	1
713030	546273	1
1304890	521005	1
1433287	546268	1
570	546268	1
699246	546273	1
28901	546268	1
717774	546268	1
715451	729	1
557760	546268	1
1301	729	1
1005058	729	1
1266738	546273	1
1283291	546268	1
1479	546273	1
218495	888807	1
672	729	1
1434214	546268	1
