taxid	truth_taxid	count
940614	682795	24994
28132	553174	24983
984	485917	24978
940615	1198114	24978
128	575540	24974
398743	655815	24958
88688	509190	24916
96345	96345	24904
304895	479433	24821
0	991778	24738
0	574556	24694
1859	326424	24681
68280	653045	24649
0	521674	24639
0	760192	24576
0	880070	24556
28447	443906	24515
0	756272	24409
0	435591	24353
0	435590	24296
0	471854	24294
0	762903	24294
0	488538	24166
0	204669	24053
0	234267	23953
0	886293	23933
0	997883	23892
0	309807	23558
0	867900	23219
0	448385	23062
384	935554	22709
0	1133849	22243
0	637913	21554
0	479432	21260
0	632772	21070
95486	1167689	20961
0	529120	20933
0	991905	19969
0	246196	19354
0	208964	18334
0	1076	17943
0	1193499	17633
0	34073	13876
0	483219	13467
2005046	1235458	12999
0	1016998	12181
0	564420	11721
0	585396	10439
0	1235458	9868
1813821	585396	9737
34	483219	9277
54736	1016998	7346
198620	564420	6277
34073	34073	5491
294	564420	4186
436515	34073	3320
0	1167689	3171
314275	529120	3060
138563	637913	2977
0	935554	1825
69328	1193499	1690
1912	653045	1602
1499973	585396	1329
104087	564420	1125
1283291	564420	963
375	1076	925
1294143	208964	878
564886	585396	812
545	1016998	803
196242	585396	801
83455	483219	777
294	1193499	744
2057741	1076	744
376	1076	725
1223566	1076	722
563769	585396	710
33014	443906	706
1649877	1193499	699
312306	1193499	692
157782	1193499	690
184914	483219	683
288000	1076	681
300	208964	679
216778	1235458	642
31963	443906	613
294	208964	579
189918	246196	569
1274631	1076	553
316	208964	549
1791	246196	504
1702170	1016998	482
1853130	564420	478
110539	246196	473
28450	1167689	468
53412	208964	465
1134687	1016998	464
1283291	1193499	434
128780	1235458	428
1682113	246196	407
1033922	632772	406
1796613	997883	404
300	1193499	399
1800	246196	399
32630	585396	397
488731	1167689	394
244366	1016998	393
1874630	443906	389
47880	1193499	364
316	1193499	359
1813821	1016998	357
60550	1167689	348
1764	246196	342
76594	867900	326
83617	1235458	309
237609	1193499	305
1149133	208964	301
36814	246196	291
1499973	1016998	289
396	935554	288
1796613	435590	285
43	483219	281
61646	1016998	269
0	326424	267
1727214	632772	256
758802	246196	253
1636152	886293	251
1611770	208964	250
1723645	632772	246
1920128	1016998	244
1545728	246196	243
187304	991905	241
376805	997883	240
1649877	208964	235
384	991905	234
913	1076	229
1829	632772	228
1674922	991905	226
59600	867900	224
2020312	935554	222
28251	997883	221
312306	208964	220
1158459	1016998	214
1812934	585396	214
95486	34073	214
1500686	1193499	210
444444	991905	209
384	1076	203
2026240	1016998	202
157782	208964	202
575	1016998	195
0	443906	194
53412	1193499	193
589873	529120	193
1812934	1016998	190
233316	529120	185
1914861	1016998	183
47763	479432	182
1149133	1193499	179
104087	1193499	177
936054	585396	175
47879	564420	175
397865	997883	175
1611770	1193499	174
0	653045	172
2077137	1016998	170
330	208964	169
61648	585396	168
1500686	208964	168
1912	479432	165
879274	991905	163
61648	1016998	163
1788	246196	162
1611770	564420	160
1917158	529120	159
198620	208964	158
83655	1016998	157
232721	34073	157
308754	1076	156
56460	1235458	155
722731	246196	155
374810	585396	149
47880	208964	149
305	34073	149
0	479433	147
193	1076	147
69218	1016998	146
376805	435590	144
1936080	867900	142
1134687	585396	138
1653479	632772	137
1500686	564420	137
413502	1016998	137
2020	479432	136
103807	585396	135
1930532	208964	133
1567486	585396	131
376805	435591	129
996801	867900	128
104087	208964	126
414970	585396	125
71433	991905	125
1660365	585396	125
61647	1016998	124
742013	34073	124
1649877	564420	123
71433	1076	121
10871	208964	121
9606	867900	120
1936081	867900	120
413497	1016998	119
1981164	585396	118
927083	448385	118
198620	1193499	117
157782	564420	117
34029	34073	117
1736674	867900	116
413501	1016998	115
216465	34073	114
244566	564420	113
1842537	34073	111
1147152	585396	109
69328	208964	108
1283291	208964	108
223967	1076	108
375	991905	108
1333996	1076	108
2067572	564420	107
9606	762903	107
28068	34073	106
379067	479432	105
244566	1193499	105
223967	991905	103
1033922	246196	103
399	991905	101
9606	637913	100
1662457	34073	99
456327	1235458	98
186765	585396	98
1335048	991905	98
312306	564420	98
193	991905	98
237609	208964	97
288000	991905	97
2066070	991905	96
545	585396	95
2018025	479432	94
948	574556	94
1764	632772	93
56454	1235458	93
1147148	585396	93
29549	309807	92
1163710	1016998	92
47879	208964	92
134676	479432	92
1578165	246196	91
2083055	564420	91
2109914	34073	91
358	991905	91
316	564420	90
1033922	1133849	90
1335048	1076	90
426117	991905	89
536018	991905	89
43357	479432	88
2066	479432	88
648999	479432	88
1796613	435591	87
1484157	585396	87
2054	632772	85
10710	585396	85
237609	564420	85
397865	435591	83
189918	632772	82
444444	1076	82
1888	479432	81
396	991905	81
358220	34073	81
1349819	991905	81
754409	867900	80
1147146	585396	80
2371	208964	80
1911175	1133849	78
9606	880070	78
68192	479432	78
1727164	762903	77
1089444	1016998	77
2057741	991905	77
528244	991905	76
1294143	1193499	76
1764	1133849	76
47879	1193499	75
1235591	1076	75
219572	1193499	74
1765	246196	74
1800	632772	74
984	762903	74
2015316	991905	74
1829	246196	73
1915	479432	73
1853130	1193499	73
47877	564420	73
2083055	208964	73
0	96345	73
1945662	991905	73
1208324	991905	73
68280	479432	73
28450	34073	73
316	34073	72
76758	564420	72
1223566	991905	72
1484157	1016998	71
7	1076	71
95486	991905	71
1812480	479432	71
0	509190	71
553510	479432	70
94624	34073	70
418699	1076	70
1571470	1076	70
33075	204669	69
1972846	479432	69
56459	1235458	69
1524881	585396	69
76758	1193499	69
1791	632772	68
1902	479432	68
1841249	479432	68
152500	1167689	67
2059875	632772	67
1829	1133849	67
43357	1133849	67
200450	1193499	66
2094021	479432	66
300	564420	66
32630	1016998	65
61652	1016998	65
304895	479432	65
1647463	1016998	64
296591	34073	64
28450	208964	64
536018	1076	64
379329	585396	64
1981157	585396	64
860235	479432	63
200450	208964	63
2067572	208964	63
2067572	1193499	63
47763	632772	63
47763	1133849	63
1911175	479432	63
415229	1235458	62
1836	632772	62
7	991905	62
1894	479432	61
200450	564420	61
2033869	991905	61
53399	1076	61
1888	632772	61
1837283	479432	61
97081	585396	61
1836	479432	60
418699	34073	60
2033438	1016998	60
208439	1133849	60
1702170	585396	59
208439	632772	59
47877	208964	59
376	991905	59
200451	208964	58
860235	1133849	58
2020312	991905	58
1912	1133849	58
2054	246196	58
1150869	585396	58
286	208964	58
29311	246196	57
40567	479432	57
200451	1193499	57
1912	632772	57
110539	632772	57
1911175	632772	56
128	886293	56
47763	246196	56
2033869	1076	56
66269	1016998	56
68570	479432	55
1912	246196	55
426117	1076	55
208439	479432	55
9606	435590	55
199596	1076	55
28112	997883	54
53437	479432	54
2024580	479432	54
2069432	867900	54
758802	632772	54
1653480	632772	54
42197	479432	54
1906741	208964	54
2026240	585396	54
1327989	1016998	54
95486	448385	53
1545728	632772	53
37554	585396	53
1274631	991905	53
10744	585396	53
2083055	1193499	53
1178778	867900	52
1476901	867900	52
29429	1076	52
1006	880070	52
182337	1016998	52
2135430	479432	52
2015316	1076	52
192843	34073	52
40567	1133849	51
1571470	991905	51
244566	208964	51
1653480	479432	51
286	1193499	51
1038928	479432	51
10742	585396	51
584609	867900	51
860235	632772	51
1077935	991905	50
95486	1076	50
1265601	479432	50
1836	246196	50
1229727	991905	50
47877	1193499	50
110321	991905	49
88688	991905	49
358	1076	49
1235591	991905	49
1813771	1016998	49
29429	991905	49
42239	479432	49
940614	204669	48
1682113	1133849	48
308754	991905	48
1682113	632772	48
219572	564420	48
40567	246196	48
1661694	479432	48
9606	435591	48
53399	991905	48
1124655	585396	48
528244	1076	48
1294143	564420	48
1888	1133849	47
54736	585396	47
1971	479432	47
36814	632772	47
1788	632772	47
42197	246196	47
450734	479432	47
1636606	34073	47
28068	1076	46
158500	991905	46
61647	585396	46
43	448385	46
43357	246196	46
316	991905	46
758802	1133849	45
879274	1076	45
33069	1193499	45
1653479	1133849	45
189918	1133849	45
10761	585396	45
1841249	632772	45
418223	991905	45
323415	1235458	45
1736675	991905	45
28118	435591	45
1653480	246196	44
68895	34073	44
244366	585396	44
1920107	208964	44
200451	564420	44
2066070	1076	44
1859	479432	44
76758	208964	44
1723645	1133849	44
294	34073	43
1583341	564420	43
2109625	991905	43
184914	448385	43
1911175	246196	43
219572	208964	43
9606	760192	43
1791	1133849	43
2054	1133849	42
172045	762903	42
418223	1076	42
9606	1193499	42
216778	208964	42
9606	997883	42
860235	246196	42
2059875	246196	42
1930532	1193499	42
42197	1133849	42
28077	1076	42
215813	991905	41
105219	34073	41
34073	991905	41
592316	1016998	41
319236	867900	40
1109412	1016998	40
1853130	208964	40
1690815	632772	40
1545728	1133849	40
614	1016998	40
1653480	1133849	40
1800	1133849	40
208439	246196	40
80679	1076	39
1836	1133849	39
73141	1076	39
284016	991905	39
110539	1133849	39
60550	34073	39
47763	448385	39
53412	564420	39
531813	991905	39
34018	991905	39
34073	208964	38
1211326	471854	38
43357	632772	38
392734	204669	38
33069	564420	38
40567	632772	38
1578165	1133849	38
305	208964	38
1727214	1133849	38
83455	448385	38
34038	1016998	38
1416032	585396	38
85643	34073	38
398	991905	38
996	867900	38
42197	632772	38
913	991905	38
28077	991905	38
1333996	991905	37
105219	208964	37
1229727	1076	37
256618	991905	36
152500	34073	36
1630693	886293	36
75697	208964	36
257708	991905	36
267128	1076	36
305	991905	36
69328	564420	36
1768242	34073	36
1653479	246196	36
95486	246196	36
95486	632772	35
1859	632772	35
1821960	1016998	35
1888	246196	35
1090133	585396	35
1788	1133849	35
404589	448385	35
10730	585396	35
34073	1193499	35
1033922	479432	35
398	1076	35
1981159	585396	35
489779	585396	35
68280	1133849	35
1571470	935554	35
198107	34073	35
870903	204669	35
0	655815	35
1920128	585396	35
1764	479432	35
2018025	632772	34
83617	34073	34
2036817	34073	34
1150389	867900	34
1861	479432	34
536441	762903	34
2045452	479432	34
1611770	34073	34
199596	991905	34
217	637913	34
2059875	1133849	34
399	935554	34
28118	435590	34
85643	1076	33
28112	435591	33
57029	867900	33
193	208964	33
34073	564420	33
32630	997883	33
1578165	632772	33
1861	632772	33
134676	246196	33
575	585396	33
397865	435590	33
1690815	479432	33
1690815	1133849	33
1076550	1016998	32
330	564420	32
2033438	585396	32
1226968	991905	32
175950	1016998	32
2020	632772	32
379067	1133849	32
2066	1133849	32
68570	246196	32
940615	204669	32
2135430	1133849	32
300	34073	32
1841249	1133849	32
530584	1133849	32
2024580	1133849	32
384	34073	31
1723645	246196	31
34029	991905	31
304895	632772	31
93220	34073	31
128780	34073	31
463040	34073	31
294	1235458	31
95486	208964	31
28450	1076	30
134676	632772	30
1294143	34073	30
432201	585396	30
861208	1076	30
330	1193499	30
28450	448385	30
1349819	1076	30
9606	208964	30
384	488538	30
450734	246196	30
1690815	246196	30
379067	632772	30
530584	632772	30
34018	1076	30
32630	246196	29
304895	246196	29
47763	991905	29
1883	479432	29
61646	585396	29
83655	585396	29
397260	1193499	29
95486	1133849	29
2018025	1133849	29
304895	1133849	29
648999	1133849	29
1470176	479432	29
155148	585396	29
316	1076	29
305	448385	29
472175	991905	28
68570	632772	28
1288494	208964	28
