taxid	truth_taxid	count
287	208964	47624
1772	246196	33924
246196	246196	27108
562	585396	25679
1198114	1198114	25502
991905	991905	25128
653045	653045	25097
886293	886293	25096
553174	553174	25073
760192	760192	25064
632772	632772	25011
479432	479432	25007
443906	443906	25007
880070	880070	25000
762903	762903	25000
655815	655815	25000
488538	488538	25000
326424	326424	25000
234267	234267	25000
471854	471854	25000
574556	574556	25000
435590	435590	25000
479433	479433	25000
682795	682795	25000
435591	435591	25000
485917	485917	25000
575540	575540	25000
756272	756272	25000
509190	509190	25000
204669	204669	25000
521674	521674	25000
448385	448385	25000
867900	867900	24999
1133849	1133849	24997
309807	309807	24997
483219	483219	24985
88688	509190	24902
529120	529120	24329
243090	991778	24178
95486	1167689	23642
1193499	1193499	21754
652103	1076	21552
231023	1193499	21541
40324	1235458	21445
96345	96345	20661
817	997883	19832
208964	208964	18470
637913	637913	17731
979	867900	17540
28108	529120	17333
0	1016998	15663
351746	1193499	13081
28901	1016998	12708
761659	309807	12512
0	34073	11160
1189310	483219	10750
0	564420	10300
216596	935554	9361
1004788	529120	8921
210	637913	8268
295405	997883	6840
387	935554	6731
384	935554	6242
0	997883	5980
1452724	96345	5690
198620	564420	5637
862962	997883	4950
331272	1167689	4906
2083052	1193499	4886
331271	1167689	4824
1081940	1193499	4737
406425	1167689	4539
1163399	1235458	4336
754523	935554	4057
272559	997883	4055
2005046	1235458	3968
2025876	435591	3920
395491	935554	3451
1004787	529120	3300
868597	1235458	3213
0	1235458	3196
303	1193499	3161
1016998	1016998	2994
0	1167689	2843
436515	34073	2757
1076	1076	2373
522373	1235458	2317
1534110	564420	2258
205922	564420	2051
595537	34073	1968
2126319	34073	1859
0	935554	1711
543728	34073	1646
1246301	34073	1544
1912	653045	1390
292	1167689	1346
391008	1235458	1232
585396	585396	1209
2069256	1193499	1128
1338689	1193499	1037
104087	564420	887
258594	1076	824
0	991778	802
160488	1193499	768
395960	1076	736
765964	637913	724
512562	637913	710
794851	637913	705
1163740	637913	696
1283291	564420	695
1055529	637913	688
1163739	637913	673
1163741	637913	655
1055528	637913	627
1147786	564420	625
294	564420	618
0	1076	611
33014	443906	581
587753	564420	577
0	585396	565
1055531	637913	550
1659194	564420	547
1004785	529120	544
31964	443906	493
339670	1167689	486
1097677	443906	478
1827305	1235458	461
402612	96345	450
224729	1016998	440
1207075	564420	439
1452725	96345	429
1221522	564420	426
930166	564420	422
1029983	1016998	404
1243595	1016998	404
1215087	1193499	398
765963	637913	395
37326	1133849	354
1055532	637913	351
1853130	564420	348
1874630	443906	305
396	935554	282
28450	1167689	274
95485	1167689	270
488447	1167689	267
303	564420	260
1150601	1193499	257
90371	1016998	250
1795631	34073	247
997877	997883	240
482957	1167689	228
2020312	935554	227
1703969	935554	214
395492	935554	207
1796613	997883	202
1382922	637913	197
1448140	208964	190
1411700	208964	189
1033991	935554	186
290847	637913	186
488731	1167689	184
585538	637913	182
1114970	564420	180
28131	997883	177
86192	564420	176
684950	637913	173
1321940	637913	172
102608	637913	172
1055524	1167689	172
931281	1193499	172
1123015	208964	169
1813821	585396	169
585535	637913	168
379	935554	168
1248726	637913	168
2025876	997883	168
866345	637913	163
305	34073	159
866344	637913	157
488729	1167689	157
1248725	637913	156
1395570	1167689	151
866346	637913	150
1427342	208964	147
1382926	637913	146
1163742	637913	146
1401325	997883	146
1009714	208964	143
1842727	34073	141
60550	1167689	141
380021	564420	138
994484	564420	137
208962	585396	130
47878	564420	129
1242097	1016998	129
679935	997883	126
946333	34073	126
180282	34073	126
1382925	637913	124
1611770	564420	123
1546149	34073	120
1382923	637913	119
95486	34073	119
765962	637913	115
216591	1167689	114
1173939	1016998	114
59201	1016998	114
47879	564420	114
1301032	935554	114
1500687	564420	111
316	34073	110
1500686	564420	110
2020311	935554	109
1082851	34073	107
1093787	208964	107
286	564420	106
1920191	34073	106
667015	997883	103
32008	1167689	102
1904944	1235458	102
287	34073	101
1432049	935554	100
1177574	553174	99
78327	564420	98
557722	208964	96
1408272	208964	96
317	564420	96
1254432	448385	96
983594	1167689	94
1400868	208964	93
287	564420	92
398578	34073	92
795665	34073	91
94132	34073	90
87883	34073	89
216778	1235458	88
87883	1167689	86
101571	1167689	85
1280938	208964	84
29449	935554	82
85698	34073	81
491916	935554	80
316057	1076	79
483687	1016998	78
1513890	564420	77
938142	1016998	76
596153	34073	76
149391	1016998	76
596154	34073	75
816	997883	75
1415629	208964	75
32009	34073	73
1321941	637913	72
2109915	34073	72
1311573	637913	72
1321938	637913	72
1207504	1167689	71
983917	34073	71
128780	1235458	71
1415630	564420	71
232721	34073	70
1389192	34073	70
292	34073	69
395495	34073	69
2109913	34073	68
40324	34073	67
76759	564420	67
340	1235458	66
1981173	935554	66
347834	935554	65
296	564420	65
1193501	208964	64
244566	564420	64
1173427	1016998	64
90105	1016998	63
880074	997883	63
2067572	564420	62
157782	564420	62
463025	34073	62
2083055	564420	61
1649877	564420	61
1055527	637913	61
398577	1167689	60
1355477	1076	60
742013	34073	59
397865	997883	58
941187	1016998	58
907237	637913	58
1328306	935554	58
626418	34073	57
1055530	637913	57
1827300	564420	57
224911	1076	56
92644	653045	56
1334632	564420	56
907238	637913	55
2018067	564420	55
76758	564420	55
76761	564420	54
357544	637913	54
1771	246196	54
643561	34073	53
60552	1167689	53
2109914	34073	53
535289	34073	52
1265445	762903	52
1124983	564420	52
119912	1016998	51
103855	34073	51
321314	1016998	51
246787	997883	51
75293	653045	51
876364	34073	51
413882	34073	51
316058	1076	50
488732	1167689	50
220664	564420	50
237609	564420	49
1426844	637913	49
1031711	34073	49
476213	1016998	49
1037911	564420	49
1662458	34073	48
365044	34073	48
1495638	653045	48
553814	34073	48
1441629	564420	48
1382920	637913	47
1842533	34073	47
1176492	34073	47
316055	1076	47
62928	34073	46
2083054	564420	46
46257	564420	45
435590	997883	45
53408	564420	45
381666	34073	45
251701	564420	45
984237	1016998	45
32008	34073	45
339	1235458	45
1763535	34073	44
56	34073	43
693979	997883	43
1382921	637913	43
1583341	564420	43
316	564420	43
941193	208964	42
1793721	1235458	42
367825	34073	42
32002	34073	42
1243586	1016998	41
1420599	564420	41
41899	34073	41
2072590	34073	41
595500	34073	41
28144	1016998	41
83617	1235458	41
84531	34073	40
93220	34073	40
1662456	34073	40
2083052	564420	40
1842537	34073	40
1338689	564420	39
384676	564420	39
365046	34073	39
1248915	585396	39
397945	34073	39
80869	34073	38
28095	34073	38
58101	1016998	38
1009846	1167689	38
1321939	637913	37
395019	34073	37
1382927	637913	37
1662457	34073	37
286	34073	37
418699	34073	37
1407463	637913	37
1267562	34073	37
1282356	564420	37
1407462	637913	37
2116657	34073	36
1392005	34073	36
105219	34073	36
1242108	1016998	36
303	34073	36
80840	34073	36
108619	1016998	36
615	34073	36
1259844	564420	35
592205	637913	35
925775	1235458	35
56458	1235458	35
1079	34073	35
2020313	935554	35
28150	1016998	34
1636610	564420	34
1571470	935554	33
526949	935554	33
382	935554	33
1248903	585396	33
266265	34073	33
439851	1016998	33
1134435	34073	33
1089444	564420	33
1768242	34073	32
80864	34073	32
687860	1016998	32
90370	1016998	32
837	997883	32
487909	1235458	32
985079	34073	32
314722	1235458	32
286783	1016998	31
340189	1016998	31
346	1235458	31
28450	34073	31
152480	1167689	30
1245471	564420	30
1243600	1016998	30
317013	1235458	30
570508	637913	30
702982	1016998	30
56	448385	30
28251	997883	30
379731	34073	30
1503055	1167689	29
85643	34073	29
54291	34073	29
1758194	34073	29
200450	564420	29
350701	34073	29
1294143	564420	29
94624	34073	29
56460	1235458	28
391735	34073	28
563041	637913	28
135621	34073	28
1191062	34073	28
1384061	564420	27
488446	1167689	27
693985	564420	27
748247	34073	27
469383	34073	27
762376	34073	27
