taxid	truth_taxid	count
146919	309807	25000
332163	234267	25000
1859	326424	25000
2350	760192	25000
94254	471854	25000
119	756272	25000
304895	479433	25000
37919	632772	25000
56	448385	25000
767892	488538	25000
128	575540	25000
940614	682795	25000
104	880070	25000
658062	204669	25000
2001	479432	25000
979	867900	25000
940615	1198114	25000
120	521674	25000
37326	1133849	24999
287	208964	24999
210	637913	24998
769	574556	24997
88688	509190	24997
466153	886293	24996
821	435590	24996
984	485917	24994
991904	991905	24992
96345	96345	24981
28108	529120	24979
28901	1016998	24977
398743	655815	24969
151895	762903	24947
1772	246196	24944
28132	553174	24891
562	585396	24606
1076	1076	24020
265606	991778	23632
28447	443906	23414
68280	653045	23281
384	935554	21483
823	435591	21057
95486	1167689	18592
303	1193499	17834
817	997883	17685
40324	1235458	16569
33	483219	13948
198620	564420	3675
34073	34073	3087
436515	34073	1673
2126319	34073	1220
294	564420	1122
1534110	564420	1070
2005046	1235458	1000
1283291	564420	361
75612	564420	280
1827305	1235458	215
28450	1167689	213
104087	564420	207
152480	1167689	199
587753	564420	195
357276	997883	189
1207075	564420	184
292	1167689	168
1853130	564420	152
1795631	34073	143
303	564420	125
1796613	997883	122
930166	564420	113
28251	997883	108
214856	997883	104
1659194	564420	103
1082851	34073	94
1842727	34073	91
488447	1167689	89
94132	34073	87
2020312	935554	87
488731	1167689	85
488729	1167689	82
95485	1167689	77
482957	1167689	75
47879	564420	73
29449	935554	72
1703969	935554	68
36746	564420	67
1904944	1235458	60
87883	1167689	58
47878	564420	56
795665	34073	55
396	935554	54
216778	1235458	52
376805	997883	51
1763535	34073	48
34029	34073	44
305	34073	44
60550	1167689	44
358220	34073	42
1842537	34073	41
1981173	935554	40
101571	1167689	39
128780	1235458	38
157782	564420	35
65741	564420	34
28068	34073	33
1827300	564420	33
2083054	564420	32
82541	34073	31
290053	997883	31
413882	34073	31
2116657	34073	31
316	564420	31
343	1235458	30
179636	34073	29
2109913	34073	28
1338689	564420	28
106590	34073	28
1294143	564420	27
76758	564420	26
296	564420	26
1571470	935554	25
285	34073	25
435897	1235458	25
1546149	34073	25
316	34073	25
200451	564420	24
119219	34073	24
225194	564420	23
237609	564420	23
1788301	564420	23
317	564420	23
95486	34073	23
303	34073	23
748247	34073	22
339	1235458	22
87883	34073	22
56730	935554	22
380021	564420	22
323415	1235458	21
216465	34073	21
946333	34073	21
1867719	935554	21
28131	997883	21
337	34073	20
1458426	34073	20
300	564420	20
444103	34073	20
821	997883	20
80867	34073	19
76759	564420	19
1634516	34073	19
71433	1076	19
2058135	96345	19
