taxid	truth_taxid	count
37919	632772	25000
2350	760192	25000
332163	234267	25000
1859	326424	25000
94254	471854	25000
119	756272	25000
304895	479433	25000
56	448385	25000
767892	488538	25000
128	575540	25000
146919	309807	25000
940614	682795	25000
287	208964	25000
104	880070	25000
658062	204669	25000
2001	479432	25000
979	867900	25000
940615	1198114	25000
120	521674	25000
37326	1133849	24999
769	574556	24998
88688	509190	24998
210	637913	24998
821	435590	24998
466153	886293	24997
984	485917	24994
991904	991905	24992
96345	96345	24984
28108	529120	24980
28901	1016998	24974
398743	655815	24970
151895	762903	24946
1772	246196	24944
28132	553174	24894
562	585396	24598
1076	1076	23977
265606	991778	23604
28447	443906	23409
68280	653045	23279
384	935554	21473
823	435591	21059
95486	1167689	18544
303	1193499	17779
817	997883	17679
40324	1235458	16522
33	483219	13947
198620	564420	3834
34073	34073	3166
436515	34073	1687
2126319	34073	1272
294	564420	1100
1534110	564420	1069
2005046	1235458	981
1283291	564420	325
75612	564420	297
1827305	1235458	247
28450	1167689	230
587753	564420	193
1207075	564420	192
357276	997883	188
152480	1167689	185
1853130	564420	172
104087	564420	168
292	1167689	168
1795631	34073	155
1796613	997883	119
930166	564420	117
1659194	564420	116
488447	1167689	108
303	564420	106
488729	1167689	100
28251	997883	99
214856	997883	93
94132	34073	89
1842727	34073	85
1082851	34073	84
2020312	935554	84
482957	1167689	76
95485	1167689	76
488731	1167689	75
29449	935554	69
1904944	1235458	65
47879	564420	63
36746	564420	62
1703969	935554	61
396	935554	54
376805	997883	51
2067572	564420	51
47878	564420	50
305	34073	49
1763535	34073	48
60550	1167689	46
28068	34073	46
216778	1235458	46
1981173	935554	43
34029	34073	40
128780	1235458	40
1294143	564420	38
87883	1167689	37
2083054	564420	36
285	34073	36
413882	34073	36
101571	1167689	34
300	564420	33
795665	34073	33
106590	34073	33
1842537	34073	33
290053	997883	32
65741	564420	32
44255	1076	31
200451	564420	30
2116657	34073	30
380021	564420	30
157782	564420	28
68895	34073	28
76758	564420	27
1571470	935554	26
265293	1167689	26
82541	34073	26
296	564420	26
1546149	34073	25
287	564420	24
1707785	34073	24
316	34073	24
85643	34073	24
225194	564420	23
317	564420	23
56730	935554	23
1301032	935554	22
216465	34073	22
343	1235458	22
314722	1235458	22
87883	34073	22
179636	34073	21
821	997883	21
1458426	34073	20
748247	34073	20
237609	564420	20
358220	34073	20
95486	34073	20
316	564420	20
337	34073	19
2109913	34073	19
200450	564420	19
1634516	34073	19
71433	1076	19
36861	34073	19
444103	34073	19
1867719	935554	19
204039	34073	18
2109915	34073	18
1788301	564420	18
1842533	34073	18
1980001	34073	18
2072590	34073	18
28131	997883	18
119219	34073	17
80867	34073	17
53408	564420	17
190721	564420	17
1703	34073	17
656179	1167689	16
287	34073	16
2058135	96345	16
435897	1235458	16
2049589	564420	16
1338689	564420	16
152480	34073	16
76759	564420	15
1926494	1167689	15
1177712	1167689	15
1981174	564420	15
44255	1235458	14
246787	997883	14
382	935554	14
488446	1167689	13
488447	34073	13
1484118	34073	13
946333	34073	13
1089444	564420	13
1982042	34073	13
1355477	1076	13
261302	1167689	13
339	1235458	13
1858609	34073	12
78327	564420	12
2109914	34073	12
748811	34073	12
56459	1235458	12
2020311	935554	12
1637837	1167689	12
2014	34073	12
1274631	564420	12
991904	34073	12
248026	34073	12
68895	1167689	11
397865	997883	11
948107	34073	11
28450	34073	11
2020313	935554	11
56460	1235458	11
252970	1167689	11
2136172	34073	11
463025	34073	11
563	34073	11
67827	564420	11
2045	34073	11
57975	1235458	11
2025876	997883	11
