taxid	truth_taxid	count
32	483219	25000
84567	485917	25000
658061	204669	25000
2349	760192	25000
226	529120	25000
1649480	521674	25000
120831	471854	25000
375288	435591	25000
1649490	756272	25000
1854	326424	25000
2000	479432	25000
209	637913	25000
816	435590	25000
1763	246196	25000
838	553174	25000
146918	309807	25000
286	208964	25000
768	574556	25000
940557	1198114	25000
414878	479433	25000
39643	448385	25000
1573	443906	25000
1827	632772	25000
75	509190	25000
767891	488538	25000
940557	682795	25000
104264	867900	25000
286	1193499	25000
332162	234267	25000
68288	880070	25000
127	575540	25000
1817	1133849	24999
1883	653045	24999
466152	886293	24997
991903	991905	24992
590	1016998	24991
237	96345	24990
417127	655815	24970
1649482	762903	24948
561	585396	24733
1073	1076	23979
265488	991778	23591
379	935554	22430
32008	1167689	21814
40323	1235458	19999
816	997883	18135
286	564420	10464
34072	34073	7047
32008	34073	194
106589	34073	119
47420	34073	118
239759	997883	98
28250	997883	98
12916	34073	93
174951	34073	87
283	34073	84
80865	34073	81
338	1235458	80
286	34073	71
374	1076	67
12960	34073	63
28065	34073	63
1649468	34073	56
517	34073	51
48736	34073	50
149698	34073	46
88	34073	33
352450	34073	32
68	1235458	31
33057	34073	30
375288	997883	28
28067	34073	26
238749	34073	24
83618	1235458	23
201096	34073	23
28105	935554	22
838	997883	22
72173	34073	20
212743	34073	20
407	564420	19
28100	935554	19
68287	1076	19
1822464	34073	19
222	34073	18
157920	34073	18
219181	34073	18
204037	34073	18
1696	34073	17
522	34073	17
32008	1235458	15
52972	34073	15
1434011	1167689	15
204037	564420	14
48736	564420	14
68287	935554	14
374	34073	14
318147	34073	13
32008	564420	13
13687	564420	12
1763	564420	12
361177	34073	12
323413	34073	11
2044	34073	11
397864	997883	11
1335483	34073	11
40323	34073	11
407	1076	11
75309	34073	11
357	935554	11
336276	96345	10
364316	34073	10
919	34073	10
59282	34073	10
149698	564420	10
904	34073	9
379	34073	9
2013	34073	9
212743	564420	9
1525371	935554	8
12916	564420	8
12960	1076	7
338	34073	7
338	564420	7
32	34073	7
286	1235458	7
991903	34073	6
93217	1167689	6
1543705	1235458	6
1054211	34073	6
191494	34073	6
2034	34073	6
929812	564420	6
1073	34073	5
357	1076	5
1111	34073	5
142577	34073	5
33882	34073	4
416	564420	4
547	564420	4
231454	1235458	4
379	1076	4
93217	34073	4
82982	997883	4
517	564420	4
160674	34073	3
836	997883	3
237	997883	3
40323	1076	3
29580	34073	3
106591	935554	3
262	997883	3
1883	34073	3
1847	1235458	3
1822464	1167689	2
31988	935554	2
551	564420	2
2745	34073	2
1822464	935554	2
352	34073	2
1865	34073	2
323620	935554	2
544	564420	2
1330545	997883	2
286	935554	2
33071	935554	2
106589	564420	2
13687	34073	2
551	1235458	2
283168	997883	1
338	935554	1
2742	34073	1
106589	1235458	1
75	34073	1
195950	997883	1
12916	1235458	1
85	935554	1
1883	564420	1
165697	935554	1
665874	34073	1
125216	34073	1
1827	34073	1
1295327	935554	1
106591	564420	1
1817	34073	1
153497	935554	1
1335745	935554	1
13724	34073	1
13687	935554	1
186650	935554	1
68	34073	1
186650	34073	1
1742993	935554	1
28065	935554	1
65047	34073	1
44	935554	1
642	1235458	1
191	34073	1
234	935554	1
120652	935554	1
1763	34073	1
165697	34073	1
911	935554	1
85413	935554	1
1097466	935554	1
547	34073	1
75	1235458	1
323413	1235458	1
106633	564420	1
352	564420	1
352	935554	1
152053	935554	1
517	1235458	1
