taxid	truth_taxid	count
32	483219	25000
2349	760192	25000
1649480	521674	25000
84567	485917	25000
1649490	756272	25000
1854	326424	25000
940557	682795	25000
2000	479432	25000
120831	471854	25000
658061	204669	25000
940557	1198114	25000
209	637913	25000
816	435590	25000
1763	246196	25000
838	553174	25000
146918	309807	25000
286	208964	25000
768	574556	25000
414878	479433	25000
39643	448385	25000
1573	443906	25000
1827	632772	25000
75	509190	25000
767891	488538	25000
104264	867900	25000
286	1193499	25000
68288	880070	25000
226	529120	25000
332162	234267	25000
127	575540	25000
375288	435591	24999
1817	1133849	24999
1883	653045	24999
466152	886293	24997
991903	991905	24992
590	1016998	24991
237	96345	24989
417127	655815	24969
1649482	762903	24947
561	585396	24745
1073	1076	24011
265488	991778	23570
379	935554	22437
32008	1167689	21861
40323	1235458	20056
816	997883	18152
286	564420	10419
34072	34073	6858
32008	34073	188
106589	34073	129
283	34073	123
47420	34073	120
28250	997883	101
239759	997883	97
80865	34073	90
28065	34073	83
1649468	34073	74
12916	34073	73
338	1235458	68
174951	34073	56
286	34073	56
48736	34073	55
12960	34073	49
374	1076	43
68	1235458	42
517	34073	39
33057	34073	35
149698	34073	32
88	34073	29
28105	935554	27
375288	997883	27
68287	1076	26
28067	34073	25
201096	34073	24
222	34073	24
238749	34073	24
838	997883	22
52972	34073	21
1335483	34073	20
32008	1235458	19
407	564420	19
72173	34073	19
157920	34073	18
219181	34073	18
522	34073	17
28100	935554	16
1822464	34073	16
1883	34073	16
204037	564420	15
318147	34073	15
1434011	1167689	15
361177	34073	14
357	935554	14
73029	34073	14
32008	564420	13
68287	935554	13
2044	34073	12
2013	34073	12
32	34073	12
919	34073	12
991903	34073	11
1054211	34073	11
397864	997883	11
336276	96345	11
83618	1235458	10
1763	564420	10
59282	34073	10
1525371	935554	9
338	564420	9
33882	34073	8
1847	34073	8
149698	564420	8
40323	34073	7
12916	564420	7
407	1076	7
1543705	1235458	6
40323	1076	6
93681	34073	6
191494	34073	6
212743	34073	5
1073	34073	5
374	564420	5
142577	34073	5
352450	34073	4
416	564420	4
547	564420	4
231454	1235458	4
314343	34073	4
379	1076	4
286	935554	4
82982	997883	4
374	34073	4
83618	564420	4
286	1235458	4
836	997883	3
48736	564420	3
106591	935554	3
642	1235458	3
242605	1235458	3
1921582	1235458	3
1111	34073	3
517	564420	3
75	34073	3
262	997883	3
352	564420	3
449972	935554	2
160674	34073	2
31988	935554	2
352	34073	2
1073	564420	2
161492	34073	2
29580	34073	2
1865	34073	2
13687	935554	2
1778653	564420	2
1330545	997883	2
186650	34073	2
231454	564420	2
364316	34073	2
33071	935554	2
106589	564420	2
13687	34073	2
547	34073	2
152053	935554	2
283168	997883	1
338	935554	1
1434046	935554	1
2742	34073	1
106589	1235458	1
34008	935554	1
1854	34073	1
1822464	1167689	1
2040	1076	1
195950	997883	1
85	935554	1
404432	1235458	1
1883	564420	1
165697	935554	1
125216	34073	1
1822464	935554	1
32008	935554	1
81	1076	1
1330547	935554	1
1295327	935554	1
106591	564420	1
1817	34073	1
153497	935554	1
896	1076	1
357	1076	1
323620	935554	1
33877	1076	1
106633	564420	1
186650	935554	1
68	34073	1
544	564420	1
293088	34073	1
1742993	935554	1
28065	935554	1
44	935554	1
85413	935554	1
191	34073	1
120652	935554	1
1763	34073	1
165697	34073	1
447020	34073	1
12960	564420	1
12916	1235458	1
323413	1235458	1
1543705	34073	1
81	935554	1
517	1235458	1
