taxid	truth_taxid	count
332163	234267	25000
94254	471854	25000
56	448385	25000
128	575540	25000
120	521674	25000
2350	760192	24999
119	756272	24999
940615	1198114	24999
146919	309807	24998
940614	682795	24998
658062	204669	24998
1859	326424	24996
210	637913	24996
304895	479433	24996
37326	1133849	24995
767892	488538	24995
466153	886293	24993
2001	479432	24991
984	485917	24987
104	880070	24980
979	867900	24980
991904	991905	24978
37919	632772	24975
398743	655815	24965
287	208964	24958
28108	529120	24927
151895	762903	24927
821	435590	24926
28901	1016998	24916
96345	96345	24902
1772	246196	24901
88688	509190	24839
769	574556	24818
28132	553174	24781
562	585396	24744
265606	991778	24644
1076	1076	24490
384	935554	22604
68280	653045	22181
303	1193499	21974
28447	443906	21263
40324	1235458	21030
823	435591	20986
817	997883	17921
95486	1167689	17326
33	483219	11923
198620	564420	5989
34073	34073	4299
34	483219	2856
436515	34073	1874
294	564420	903
1297742	483219	902
2126319	34073	840
1534110	564420	461
28450	1167689	291
2005046	1235458	273
287	1193499	245
357276	997883	238
1283291	564420	187
1796613	997883	186
1841249	653045	183
1874630	443906	170
152480	1167689	162
31964	443906	118
31963	443906	116
104087	564420	111
75612	564420	109
33014	443906	97
214856	997883	93
28251	997883	85
379067	653045	80
1207075	564420	77
303	564420	72
83455	483219	71
1795631	34073	69
1842727	34073	66
821	997883	65
587753	564420	64
35	483219	63
376805	997883	62
292	1167689	58
184914	483219	55
1853130	564420	55
1912	653045	55
1546149	34073	53
290053	997883	52
1082851	34073	48
482957	1167689	45
305	34073	44
2083052	1193499	44
1571470	935554	43
2109915	34073	43
488447	1167689	43
1495638	653045	43
28131	997883	40
134601	246196	38
75293	653045	37
92644	653045	34
2069256	1193499	34
87883	1167689	34
101571	1167689	34
57975	1167689	32
1659194	564420	32
95485	1167689	29
2067572	564420	28
337	34073	27
29449	935554	27
795665	34073	27
589436	553174	26
246787	997883	24
357276	435591	24
60550	1167689	23
1763535	34073	23
85698	34073	23
34029	34073	22
78327	1193499	21
930166	564420	21
823	997883	21
1867719	935554	21
87883	34073	21
353	1193499	20
43	483219	20
296	564420	20
41	483219	20
2025876	997883	20
287	564420	19
1980001	34073	19
279113	34073	17
85698	1167689	17
488729	1167689	17
488731	1167689	16
397865	997883	16
1076	34073	15
2025876	435591	15
28068	34073	15
316	1193499	14
56	34073	14
1207504	1167689	13
134962	34073	13
48	483219	13
200451	564420	12
1920191	34073	12
47878	564420	12
287	34073	12
191495	34073	12
106590	34073	12
56730	935554	12
380021	564420	12
70775	1193499	11
2116657	34073	11
28118	997883	11
1649877	564420	11
94132	34073	11
104087	1193499	11
95486	34073	11
2058135	96345	11
179636	34073	10
1969	34073	10
106592	564420	10
2020312	935554	10
47879	564420	10
817	435591	9
339	1235458	9
36861	34073	9
1827305	1235458	9
1842540	34073	8
204039	34073	8
36746	564420	8
396	935554	8
28450	34073	8
463025	34073	8
1575	443906	8
2067960	34073	8
353	34073	8
2018067	564420	8
1842537	34073	8
837	997883	7
101571	34073	7
33888	443906	7
290053	435591	7
2020313	935554	7
1703969	935554	7
536441	762903	7
68895	34073	7
818	435591	7
296591	34073	7
364317	34073	7
770	574556	6
300	34073	6
589436	997883	6
712710	997883	6
818	997883	6
216465	34073	6
399	935554	6
927083	34073	6
382	935554	6
1550579	435591	6
294	1193499	6
2109914	1235458	6
316	34073	6
28112	435591	6
380	935554	5
2049589	564420	5
57975	1235458	5
53461	34073	5
1333996	34073	5
1134435	34073	5
323415	34073	5
155892	509190	5
83453	483219	5
1079	34073	4
948107	34073	4
2109913	34073	4
1028989	34073	4
219572	564420	4
38300	653045	4
53412	1193499	4
702114	564420	4
1788301	564420	4
1619308	443906	4
103855	34073	4
342113	564420	4
640511	564420	4
28129	553174	4
1768242	34073	4
358220	34073	4
270351	34073	4
74318	34073	3
674703	34073	3
1914541	935554	3
80867	34073	3
1904944	1235458	3
1109743	653045	3
1740163	564420	3
56	483219	3
1301032	935554	3
445710	34073	3
1940	653045	3
106590	564420	3
47763	653045	3
314275	529120	3
251701	564420	3
1685010	997883	3
40324	34073	3
708131	443906	3
337	1167689	3
1796613	435591	3
2020311	935554	3
546	585396	3
94624	34073	3
593909	935554	3
35799	34073	3
68570	653045	3
1433126	997883	3
47917	435591	3
216778	1235458	3
1484116	435591	3
152480	34073	3
1636152	34073	2
562	1016998	2
375	564420	2
76759	1193499	2
28116	435591	2
34085	997883	2
28131	435591	2
878220	762903	2
1969	653045	2
381	935554	2
1729720	655815	2
652716	997883	2
28129	435591	2
198107	34073	2
1795874	1235458	2
294	34073	2
397865	435591	2
246787	435591	2
60478	997883	2
390884	655815	2
1905847	443906	2
1538644	762903	2
946333	34073	2
465541	653045	2
1616117	653045	2
553510	653045	2
185300	997883	2
343	34073	2
47678	435591	2
329	34073	2
1332264	34073	2
984	435591	2
279828	443906	2
1178778	655815	2
1338689	1193499	2
1708	443906	2
571	34073	2
1938605	935554	2
1795630	443906	2
206	997883	2
1926	653045	2
1503055	483219	2
616991	655815	2
1125847	34073	2
54262	435591	1
101571	483219	1
1561023	443906	1
2083054	564420	1
33903	653045	1
1906741	935554	1
1882682	935554	1
192	34073	1
1906741	564420	1
60920	443906	1
40567	483219	1
1812480	653045	1
1177574	997883	1
80866	34073	1
2049881	653045	1
408	34073	1
1562970	435591	1
266	935554	1
1836	653045	1
71999	443906	1
103731	483219	1
300019	443906	1
1841249	483219	1
290399	443906	1
199596	935554	1
55508	34073	1
553	564420	1
2028343	935554	1
76758	564420	1
2109914	34073	1
257708	34073	1
69	34073	1
1930	653045	1
358	935554	1
158080	564420	1
748247	34073	1
157783	564420	1
216778	483219	1
2039	443906	1
1778540	564420	1
76594	867900	1
1324352	762903	1
40324	483219	1
82541	34073	1
135487	246196	1
180282	34073	1
482957	935554	1
876364	34073	1
81479	34073	1
85698	483219	1
1842539	935554	1
1926494	483219	1
1984801	653045	1
1898474	435591	1
351091	435591	1
84757	443906	1
475088	483219	1
1911175	653045	1
1933220	435591	1
29405	653045	1
1901	653045	1
191495	483219	1
550	935554	1
75612	34073	1
376805	435591	1
1800	246196	1
146923	653045	1
862751	653045	1
185300	435591	1
702114	435591	1
2001	653045	1
193462	653045	1
106	435591	1
191493	483219	1
28095	1167689	1
83263	935554	1
1642647	435591	1
1274631	935554	1
1915	483219	1
138336	443906	1
105560	34073	1
75105	483219	1
1736674	435591	1
28113	435591	1
1469502	483219	1
1014	762903	1
584609	997883	1
615	34073	1
55197	762903	1
73141	34073	1
28049	653045	1
1416806	34073	1
640511	34073	1
84292	443906	1
2033435	935554	1
1888	34073	1
837	435591	1
1619308	34073	1
29303	653045	1
1894	483219	1
1836	443906	1
528244	935554	1
305	935554	1
80816	34073	1
1981173	935554	1
1980001	443906	1
63	435591	1
237610	34073	1
1842533	34073	1
821	435591	1
1117645	762903	1
28095	483219	1
794846	935554	1
1229727	34073	1
1931241	1193499	1
271865	34073	1
1870984	435591	1
34085	762903	1
408015	653045	1
1851544	34073	1
94132	483219	1
1234841	653045	1
359	935554	1
285473	653045	1
232259	762903	1
266779	935554	1
191579	435591	1
488732	1167689	1
155892	483219	1
37927	443906	1
1848904	762903	1
971	435591	1
37329	34073	1
1888	653045	1
303	34073	1
33069	564420	1
84531	564420	1
1515612	935554	1
1267021	435591	1
110321	34073	1
