taxid	truth_taxid	count
1649480	521674	25000
1649490	756272	25000
120831	471854	25000
39643	448385	25000
209	637913	25000
146918	309807	25000
768	574556	25000
286	1193499	25000
332162	234267	25000
1883	653045	25000
127	575540	25000
2349	760192	24999
226	529120	24999
940557	682795	24999
838	553174	24999
940557	1198114	24999
68288	880070	24999
32	483219	24998
658061	204669	24997
816	435590	24997
1763	246196	24997
84567	485917	24996
75	509190	24993
767891	488538	24993
466152	886293	24992
1854	326424	24990
286	208964	24988
104264	867900	24986
1827	632772	24985
1817	1133849	24980
1573	443906	24978
237	96345	24973
417127	655815	24964
991903	991905	24961
414878	479433	24952
2000	479432	24939
1649482	762903	24932
375288	435591	24927
590	1016998	24842
561	585396	24770
265488	991778	24642
1073	1076	24324
379	935554	23539
40323	1235458	22712
32008	1167689	22530
286	564420	19884
816	997883	18759
34072	34073	10712
1883	34073	367
32008	34073	261
239759	997883	84
286	34073	76
12916	34073	65
28250	997883	64
28065	34073	62
47420	34073	54
838	997883	52
238749	34073	48
48736	34073	39
352450	34073	34
1883	564420	33
375288	997883	33
283	34073	27
80865	34073	26
12960	34073	25
106589	34073	24
338	1235458	21
28100	935554	21
397864	997883	20
28067	34073	19
32008	564420	18
202907	34073	18
222	1167689	17
517	34073	14
59732	762903	13
613	564420	12
88	34073	11
1883	1167689	11
201096	34073	10
52972	34073	10
68287	935554	10
1649468	34073	10
283168	997883	9
28105	935554	9
1073	34073	9
222	34073	9
544	585396	9
352	34073	8
1817	34073	8
378210	34073	8
32008	1235458	8
204037	34073	8
1883	1235458	7
374	1076	7
1055688	34073	6
338	34073	6
157920	34073	6
1822464	34073	6
364316	34073	5
836	997883	4
195950	997883	4
1763	34073	4
318147	34073	3
33057	34073	3
1883	479432	3
40323	34073	3
48736	935554	3
191494	34073	3
34084	997883	3
59282	34073	3
22	997883	2
194	997883	2
379	34073	2
1485	997883	2
32008	935554	2
1883	1076	2
106591	564420	2
143222	655815	2
252356	655815	2
390846	655815	2
28453	762903	2
963	34073	2
178469	655815	2
570	34073	2
1611681	997883	2
13687	34073	2
41275	935554	2
407	34073	2
374	34073	2
1883	935554	2
1525371	935554	2
219181	1235458	2
449972	935554	1
232244	762903	1
212743	34073	1
613	34073	1
507	997883	1
1013	762903	1
31988	935554	1
165697	935554	1
125216	34073	1
374	564420	1
416	564420	1
34019	935554	1
1827	34073	1
1701761	34073	1
85413	935554	1
544	1016998	1
346096	997883	1
308865	762903	1
29580	34073	1
1865	34073	1
547	935554	1
1854	34073	1
13724	34073	1
1301	997883	1
13687	935554	1
186650	935554	1
68	34073	1
162027	34073	1
407	935554	1
528	34073	1
816	435591	1
885864	935554	1
191	34073	1
551	585396	1
53460	34073	1
165697	34073	1
265	935554	1
174951	34073	1
1578	997883	1
237	762903	1
1016	762903	1
286	997883	1
34084	762903	1
357	935554	1
1759331	34073	1
561	1016998	1
