taxid	truth_taxid	count
1649480	521674	25000
1649490	756272	25000
120831	471854	25000
39643	448385	25000
209	637913	25000
146918	309807	25000
768	574556	25000
286	1193499	25000
68288	880070	25000
332162	234267	25000
127	575540	25000
2349	760192	24999
940557	682795	24999
838	553174	24999
940557	1198114	24999
226	529120	24999
1883	653045	24999
32	483219	24998
658061	204669	24998
816	435590	24997
1763	246196	24997
84567	485917	24996
75	509190	24994
466152	886293	24993
767891	488538	24993
1854	326424	24990
286	208964	24990
104264	867900	24986
1827	632772	24985
1817	1133849	24982
1573	443906	24980
237	96345	24974
417127	655815	24964
991903	991905	24962
414878	479433	24955
2000	479432	24942
1649482	762903	24932
375288	435591	24926
590	1016998	24858
561	585396	24769
265488	991778	24642
1073	1076	24340
379	935554	23540
40323	1235458	22732
32008	1167689	22506
286	564420	19841
816	997883	18762
34072	34073	10682
1883	34073	378
32008	34073	255
239759	997883	84
286	34073	84
28250	997883	64
12916	34073	62
47420	34073	59
838	997883	58
28065	34073	56
238749	34073	48
48736	34073	41
1883	564420	35
352450	34073	34
80865	34073	32
106589	34073	31
375288	997883	30
283	34073	28
12960	34073	25
28100	935554	21
397864	997883	20
28067	34073	19
338	1235458	19
202907	34073	18
222	1167689	17
1649468	34073	15
32008	564420	14
517	34073	14
88	34073	13
59732	762903	13
1883	1235458	13
1883	1167689	11
201096	34073	10
52972	34073	10
283168	997883	9
28105	935554	9
222	34073	9
544	585396	9
352	34073	8
1817	34073	8
378210	34073	8
157920	34073	8
68287	935554	8
1073	34073	7
613	564420	7
32008	1235458	7
1055688	34073	6
338	34073	6
1822464	34073	5
364316	34073	5
374	1076	5
33057	34073	4
836	997883	4
195950	997883	4
1763	34073	4
59732	997883	4
318147	34073	3
1883	479432	3
40323	34073	3
1883	935554	3
191494	34073	3
106589	564420	3
59282	34073	3
194	997883	2
323413	34073	2
204037	34073	2
379	34073	2
32008	935554	2
629	997883	2
106591	564420	2
143222	655815	2
1525371	935554	2
252356	655815	2
28453	762903	2
178469	655815	2
570	34073	2
34084	997883	2
41275	935554	2
407	34073	2
390846	655815	2
219181	1235458	2
449972	935554	1
232244	762903	1
613	34073	1
507	997883	1
1013	762903	1
31988	935554	1
28105	34073	1
165697	935554	1
125216	34073	1
374	564420	1
1485	997883	1
416	564420	1
34019	935554	1
1701761	34073	1
85413	935554	1
544	1016998	1
346096	997883	1
53460	34073	1
308865	762903	1
29580	34073	1
48736	935554	1
547	935554	1
13724	34073	1
53335	564420	1
1301	997883	1
13687	935554	1
186650	935554	1
162027	34073	1
357	935554	1
407	935554	1
528	34073	1
816	435591	1
963	34073	1
885864	935554	1
191	34073	1
551	585396	1
165697	34073	1
265	935554	1
174951	34073	1
1578	997883	1
237	762903	1
1016	762903	1
13687	34073	1
286	997883	1
374	34073	1
34084	762903	1
875170	991905	1
1759331	34073	1
561	1016998	1
226	997883	1
