taxid	truth_taxid	count
265488	991778	18255
286	564420	16833
2350	760192	16830
940615	1198114	16685
332163	234267	16638
767892	488538	16272
838	553174	16270
210	637913	16223
658062	204669	16193
146919	309807	16187
119	756272	15853
1649480	521674	15207
151895	762903	15196
128	575540	14834
940614	682795	14519
56	448385	14480
1883	653045	13522
1817	1133849	13490
1827	632772	13130
304895	479433	12986
226	529120	12840
1763	246196	12658
379	935554	11955
34072	34073	11816
1573	443906	11798
120831	471854	11519
32	483219	11446
1854	326424	11439
991904	991905	11307
984	485917	11061
171549	435591	11007
816	435590	10437
104264	867900	10332
75	509190	10295
768	574556	9899
104	880070	9393
135621	208964	8936
466153	886293	8911
119060	1167689	8767
2000	479432	8699
466152	886293	8666
1076	1076	8630
237	96345	8233
769	574556	8000
28901	1016998	7895
816	997883	7817
68288	880070	7452
135621	1193499	7405
1224	1235458	7380
417127	655815	7292
286	1193499	7241
543	585396	7117
84567	485917	7064
398743	655815	6772
96345	96345	6752
49546	867900	6600
94254	471854	6543
32008	1167689	6526
562	585396	6306
28211	991905	6169
209	637913	6058
1772	246196	5829
286	208964	5802
817	997883	5709
590	1016998	5597
88688	509190	5253
49546	655815	4987
33	483219	4846
543	1016998	4770
823	435591	4707
821	435590	4487
815	997883	4412
41294	1076	4280
227290	935554	4230
91347	585396	4067
72275	529120	3922
414878	479433	3817
28447	443906	3765
1073	1076	3648
200643	435591	3635
2004	479432	3635
127	575540	3615
1236	1235458	3410
2001	479432	3365
332162	234267	3233
37326	1133849	3173
120	521674	3073
979	867900	2928
2	1235458	2914
815	435590	2872
39643	448385	2868
265606	991778	2861
1	208964	2845
34073	34073	2810
171549	997883	2751
658061	204669	2739
85023	443906	2712
146918	309807	2679
32033	1235458	2667
1859	326424	2624
1649490	756272	2594
49546	96345	2583
135621	564420	2564
80840	34073	2548
37919	632772	2538
1224	1193499	2458
1760	479432	2442
976	762903	2353
117743	96345	2300
80811	483219	2256
84566	762903	2237
171549	435590	2210
940557	682795	2131
204434	682795	2129
1760	479433	2088
85025	632772	2078
80864	34073	2040
68280	653045	2035
2349	760192	2027
767891	488538	1957
976	485917	1905
131567	509190	1865
303	1193499	1820
384	935554	1805
84566	485917	1672
1760	653045	1647
87882	1167689	1597
135622	529120	1597
2062	653045	1592
91347	1016998	1581
28132	553174	1538
287	208964	1500
204434	1198114	1495
28211	488538	1489
991903	991905	1461
976	471854	1429
561	585396	1428
356	1076	1410
375288	435591	1356
28108	529120	1334
976	880070	1332
326424	326424	1327
768507	880070	1325
85007	632772	1295
1760	632772	1290
95486	1167689	1279
40323	1235458	1272
1760	1133849	1226
89373	471854	1216
126	991778	1206
976	760192	1202
976	655815	1175
2	585396	1171
563798	880070	1161
171549	553174	1115
1236	529120	1065
40324	1235458	1056
76892	509190	1017
1236	1193499	1015
201174	1133849	1014
976	867900	1011
942	574556	1011
294	564420	990
1760	443906	948
28211	1076	918
1760	246196	916
1760	326424	901
2	204669	899
1762	246196	892
28211	509190	881
82115	935554	842
85007	246196	841
1	585396	840
1649482	762903	825
1224	208964	822
356	935554	802
2	682795	792
1224	34073	749
1224	1076	748
2	1198114	736
85012	479432	734
976	96345	723
2	234267	716
74712	326424	695
126	521674	690
31	483219	689
171552	553174	676
200643	435590	674
2	1076	674
126	756272	670
112	886293	669
136845	1193499	668
59201	1016998	661
574556	574556	656
940557	1198114	652
563843	309807	651
2	762903	603
33013	443906	602
1224	488538	586
204433	682795	585
49	448385	573
1224	991905	572
80812	448385	554
448385	448385	550
1236	1016998	536
85006	443906	533
2	760192	529
479433	479433	523
2	435590	516
85025	1133849	503
1224	585396	489
2	886293	483
131567	1235458	480
575540	575540	478
2	488538	466
2	485917	454
57723	234267	452
2	756272	449
2	991905	441
117743	867900	437
2	435591	436
2	880070	435
2	867900	431
2	655815	430
1224	1016998	428
2	521674	424
2	471854	421
2	309807	407
483219	483219	406
85007	1133849	406
761659	309807	405
1224	509190	405
350702	1167689	395
246196	246196	393
2	575540	389
131567	96345	389
131567	997883	387
234267	234267	384
2	997883	380
768507	471854	369
57723	204669	353
632772	632772	344
136841	208964	341
200644	96345	340
756272	756272	321
62654	488538	318
760192	760192	317
2	34073	316
2	448385	315
2	529120	314
200643	997883	308
1236	585396	302
131567	435590	302
112	575540	299
1763524	886293	299
117743	655815	290
2	1016998	288
886293	886293	287
204434	204669	281
1236	564420	275
653045	653045	269
2	483219	267
201174	632772	265
2005525	435591	262
231023	1193499	261
655815	655815	260
2	553174	259
200644	867900	257
521674	521674	257
479432	479432	252
1236	208964	248
204669	204669	247
991905	991905	244
682795	682795	242
762903	762903	242
435591	435591	239
1841610	521674	234
28211	935554	233
976	435591	232
204458	509190	228
1224	529120	226
200644	655815	225
58097	1016998	221
435590	435590	207
1224	935554	206
509190	509190	203
976	997883	201
991778	991778	200
29	448385	195
1396830	1167689	193
624	585396	187
2	96345	183
2	632772	179
2	443906	178
1235458	1235458	172
203682	886293	170
488538	488538	164
131567	1016998	160
2	991778	159
976	435590	157
28216	34073	155
57723	682795	152
2	509190	150
1198114	1198114	149
1224	564420	146
1224	483219	144
204433	204669	143
1763524	575540	140
637913	637913	137
28211	574556	135
2	246196	134
1224	448385	134
204433	1198114	133
77133	96345	130
131567	585396	128
131567	309807	126
131567	34073	122
1882827	34073	119
2	479432	119
976	553174	117
131567	488538	117
1	34073	116
131567	574556	116
2	208964	116
203682	991778	115
