taxid	truth_taxid	count
243090	991778	21988
332163	234267	20843
658062	204669	20020
2350	760192	19865
767892	488538	19593
94254	471854	19222
119	756272	19101
128	575540	18836
120	521674	18611
286	1193499	18494
940614	682795	18430
940615	1198114	18227
151895	762903	18215
304895	479433	18121
56	448385	18038
466153	886293	17976
146919	309807	17847
286	564420	16284
2001	479432	16202
398743	655815	16047
984	485917	15819
37326	1133849	15722
286	208964	15538
32	483219	15106
991904	991905	14631
1573	443906	13888
1076	1076	13387
838	553174	13317
979	867900	12992
1859	326424	12808
96345	96345	12666
209	637913	12596
1883	653045	12420
88688	509190	12077
226	529120	12057
40323	1235458	11712
104	880070	11642
769	574556	10715
1827	632772	10610
816	435590	9863
816	997883	9820
379	935554	9608
32008	1167689	9450
821	435590	9403
0	326424	9118
210	637913	8591
375288	435591	8565
0	1167689	8133
1772	246196	8106
0	34073	7976
768	574556	7767
37919	632772	7264
823	435591	7140
68288	880070	6914
0	1235458	6732
75	509190	6319
28108	529120	6193
1224	585396	5904
0	653045	5851
0	997883	5811
0	479432	5759
34072	34073	5730
1763	246196	5726
2	1016998	5675
0	448385	5621
0	886293	5546
543	585396	5477
0	479433	5476
1866885	246196	5391
0	564420	5333
0	935554	5330
0	575540	5283
28132	553174	5242
0	574556	5190
0	521674	5145
171549	435591	5109
0	208964	5084
0	1133849	4986
0	756272	4938
0	553174	4860
0	1198114	4801
0	443906	4770
28211	991905	4697
0	1076	4636
0	991905	4605
0	309807	4559
0	483219	4495
0	682795	4412
32033	1235458	4411
0	509190	4369
28901	1016998	4231
0	1193499	4182
68280	653045	4133
49546	867900	4076
1224	1016998	4060
0	204669	4056
0	760192	3956
0	632772	3901
817	997883	3889
49546	655815	3853
0	585396	3697
104264	867900	3657
0	880070	3623
0	435590	3610
0	655815	3595
0	234267	3575
0	529120	3574
0	96345	3538
237	96345	3506
0	488538	3460
28447	443906	3445
0	762903	3343
0	246196	3335
49546	96345	3299
0	435591	3297
0	471854	3286
384	935554	3242
0	1016998	3207
41294	1076	3171
562	585396	3037
84567	485917	2978
119060	1167689	2949
543	1016998	2942
0	867900	2783
80864	34073	2607
0	637913	2582
0	991778	2563
0	485917	2544
1	585396	2381
2	585396	2362
1817	1133849	2356
590	1016998	2325
1854	326424	2189
356	935554	2136
1224	34073	1992
171549	997883	1974
87882	1167689	1937
309807	309807	1919
80811	483219	1918
84566	485917	1804
1760	479432	1770
976	762903	1718
33	483219	1716
227290	935554	1610
91347	1016998	1521
80840	34073	1511
34073	34073	1459
85023	443906	1403
976	485917	1402
287	208964	1398
1224	208964	1383
1760	653045	1380
171549	435590	1343
84566	762903	1308
1760	632772	1244
295405	997883	1211
356	1076	1157
1760	479433	1149
85007	632772	1132
2	997883	1089
976	96345	1072
1224	564420	1067
28211	488538	1066
204434	682795	1044
1760	246196	1019
976	471854	977
