taxid	truth_taxid	count
2350	760192	21729
332163	234267	21696
658062	204669	21548
767892	488538	21520
151895	762903	21152
119	756272	20830
940614	682795	20642
940615	1198114	20106
128	575540	20093
56	448385	19595
984	485917	19588
304895	479433	19505
991904	991905	19056
210	637913	18745
104	880070	18717
1076	1076	18270
146919	309807	17976
286	1193499	17795
466153	886293	17305
398743	655815	17165
769	574556	16999
94254	471854	16132
96345	96345	15722
226	529120	15685
1772	246196	15332
32	483219	14690
88688	509190	13466
838	553174	12501
171549	435591	12051
37326	1133849	12046
265606	991778	12038
2001	479432	11919
817	997883	11851
120	521674	11681
816	435590	11410
1573	443906	11322
379	935554	10946
37919	632772	10826
1859	326424	10470
265488	991778	10285
34072	34073	10277
34073	34073	9749
1883	653045	9621
1236	1235458	9600
1827	632772	9506
979	867900	9452
562	585396	9292
816	997883	9090
821	435590	8987
1649480	521674	8978
28901	1016998	8860
68280	653045	8725
384	935554	8711
286	564420	8456
1236	208964	8390
32008	1167689	8387
104264	867900	8295
1817	1133849	7915
28132	553174	7895
823	435591	7768
28447	443906	7734
543	585396	7570
75	509190	7225
135621	564420	6960
287	208964	6609
2000	479432	6400
294	564420	6241
1854	326424	6084
120831	471854	5933
95486	1167689	5835
0	326424	5790
33	483219	5325
28108	529120	4996
1763	246196	4669
49546	867900	4616
0	479432	4369
0	653045	4323
0	448385	4280
209	637913	4268
237	96345	4256
40323	1235458	4240
590	1016998	4188
0	886293	4182
543	1016998	4109
0	575540	4086
0	479433	4030
40324	1235458	4014
0	1133849	3977
0	1167689	3800
0	1198114	3767
0	574556	3590
0	553174	3566
0	991905	3522
0	443906	3503
286	208964	3447
0	756272	3444
0	309807	3440
0	483219	3424
0	521674	3411
0	1235458	3304
0	1076	3273
0	509190	3252
0	682795	3167
768	574556	3028
417127	655815	2972
0	34073	2913
0	632772	2889
2	1167689	2828
0	935554	2796
0	204669	2789
84567	485917	2726
466152	886293	2690
0	880070	2620
0	529120	2567
375288	435591	2522
68288	880070	2482
0	760192	2459
0	208964	2412
0	655815	2410
0	234267	2369
0	246196	2334
0	488538	2310
0	1193499	2281
0	762903	2263
0	564420	2201
0	96345	2139
0	471854	2091
326424	326424	2029
1236	1193499	2017
0	867900	1936
0	435590	1743
87882	1167689	1670
1073	1076	1619
0	435591	1618
28211	991905	1610
0	485917	1574
2	585396	1555
171549	997883	1501
0	997883	1476
72274	208964	1378
1224	585396	1374
32033	1235458	1373
1866885	246196	1366
146918	309807	1353
49546	655815	1334
33013	443906	1321
303	1193499	1321
171549	435590	1317
2	1235458	1221
0	991778	1189
91347	1016998	1185
0	585396	1039
976	309807	1008
653045	653045	989
0	637913	953
0	1016998	952
574556	574556	934
991778	991778	882
59201	1016998	867
561	585396	844
2004	479432	820
2	1016998	802
448385	448385	794
1236	1016998	783
58097	1016998	778
117743	96345	719
479433	479433	716
2	435590	712
80840	34073	666
41294	1076	657
632772	632772	647
227290	935554	633
976	96345	610
1224	208964	587
119060	1167689	576
49546	96345	553
976	762903	553
575540	575540	547
1	585396	538
624	585396	537
84566	762903	537
2	997883	533
246196	246196	515
761659	309807	514
356	935554	509
655815	655815	503
234267	234267	502
350702	1167689	481
91347	585396	470
756272	756272	464
760192	760192	462
479432	479432	457
231023	1193499	448
72275	529120	448
2	309807	438
521674	521674	434
483219	483219	421
886293	886293	417
135622	529120	410
2	208964	405
85023	443906	397
80864	34073	392
682795	682795	392
84566	485917	390
435591	435591	382
204434	682795	380
1760	653045	350
1224	1016998	349
204669	204669	341
1760	479432	339
991905	991905	338
637913	637913	334
563798	880070	322
80811	483219	313
1760	1133849	296
2	96345	294
435590	435590	290
28211	488538	283
1236	585396	277
85007	632772	274
1396830	1167689	273
976	485917	271
82115	935554	263
1841610	521674	262
200644	96345	259
488538	488538	254
1760	479433	253
509190	509190	252
1236	529120	249
28211	1076	248
356	1076	248
135621	208964	247
976	867900	240
414878	479433	236
2	529120	234
1224	34073	228
976	655815	224
1198114	1198114	224
1235458	1235458	218
768507	880070	214
1760	632772	211
1224	1193499	211
89373	471854	210
62654	488538	209
1236	564420	208
762903	762903	208
77133	96345	205
1760	246196	200
