taxid	truth_taxid	count
243090	991778	23192
471854	471854	22337
488538	488538	22252
234267	234267	22119
760192	760192	21985
762903	762903	21913
204669	204669	21862
485917	485917	21459
682795	682795	21170
756272	756272	21040
655815	655815	20919
521674	521674	20885
1198114	1198114	20399
575540	575540	20208
886293	886293	20124
479433	479433	20046
991905	991905	19974
880070	880070	19596
287	208964	19431
479432	479432	19370
88688	509190	18860
96345	96345	17947
1772	246196	17724
574556	574556	17406
448385	448385	17383
210	637913	17271
435590	435590	16656
286	1193499	16380
979	867900	16330
326424	326424	16219
146919	309807	15252
632772	632772	15153
562	585396	15106
553174	553174	14743
32	483219	14222
28108	529120	13694
817	997883	13036
435591	435591	12920
1133849	1133849	12308
652103	1076	11342
653045	653045	11307
28901	1016998	10462
443906	443906	9996
1573	443906	9979
40323	1235458	8723
375288	435591	8533
1076	1076	8356
0	34073	8172
384	935554	8145
87882	1167689	7967
0	326424	7924
286	564420	7800
37326	1133849	7508
198620	564420	7333
40324	1235458	7331
1883	653045	7131
0	1167689	7050
95486	1167689	5895
838	553174	5809
379	935554	5736
0	1235458	5657
483219	483219	5584
0	997883	5474
867900	867900	5262
0	653045	5248
226	529120	5188
0	479432	5061
0	448385	4948
309807	309807	4911
816	435590	4763
0	886293	4689
0	564420	4644
0	479433	4637
0	575540	4609
303	1193499	4581
0	443906	4486
1827	632772	4463
0	1133849	4444
0	935554	4411
0	208964	4304
543	1016998	4263
0	574556	4211
0	553174	4122
0	1198114	4063
0	309807	3987
0	521674	3978
0	483219	3916
0	1076	3913
0	991905	3859
0	756272	3825
543	585396	3716
0	509190	3531
0	632772	3493
0	682795	3460
0	1193499	3097
0	204669	3015
637913	637913	2947
0	96345	2868
0	435590	2856
768	574556	2845
0	529120	2844
0	655815	2838
0	760192	2836
0	246196	2816
0	880070	2807
0	234267	2771
59201	1016998	2742
529120	529120	2669
34072	34073	2586
1866885	246196	2552
209	637913	2538
0	488538	2506
0	435591	2502
0	762903	2464
0	471854	2336
0	585396	2335
0	1016998	2334
436515	34073	2310
56	448385	2261
595537	34073	2171
1	1016998	2145
