taxid	truth_taxid	count
880070	880070	25000
471854	471854	25000
479433	479433	25000
204669	204669	25000
760192	760192	25000
574556	574556	25000
479432	479432	25000
234267	234267	25000
521674	521674	25000
682795	682795	25000
756272	756272	25000
1198114	1198114	25000
575540	575540	25000
488538	488538	25000
326424	326424	25000
886293	886293	24997
485917	485917	24994
632772	632772	24992
991905	991905	24990
655815	655815	24970
762903	762903	24947
88688	509190	24904
28132	553174	24880
1772	246196	24874
448385	448385	24863
287	208964	24846
1133849	1133849	24643
562	585396	24420
243090	991778	23757
443906	443906	23467
653045	653045	23374
28901	1016998	21808
652103	1076	21408
435591	435591	21078
96345	96345	20246
435590	435590	19778
303	1193499	17825
95486	1167689	16717
28108	529120	16123
210	637913	15958
0	34073	15076
483219	483219	14081
979	867900	13822
817	997883	13343
40324	1235458	13102
146919	309807	12521
309807	309807	12474
867900	867900	11174
0	564420	10964
32	483219	10902
637913	637913	8996
529120	529120	8843
216596	935554	7129
286	1193499	7044
384	935554	6911
0	997883	6333
821	435590	5222
1452724	96345	4738
0	1235458	4133
375288	435591	3922
198620	564420	3191
286	564420	3145
0	1167689	3074
387	935554	3010
295405	997883	2346
0	935554	2233
754523	935554	2050
87882	1167689	2024
395491	935554	1954
59201	1016998	1953
1076	1076	1874
40323	1235458	1736
436515	34073	1735
1883	653045	1624
406425	1167689	1606
1573	443906	1524
862962	997883	1402
595537	34073	1394
2126319	34073	1262
0	991778	1243
868597	1235458	1152
1016998	1016998	1059
391008	1235458	1029
2005046	1235458	908
995085	1235458	803
0	1076	797
321662	564420	765
34072	34073	763
743713	564420	746
1534110	564420	727
543728	34073	725
1246301	34073	690
294	564420	654
1163399	1235458	648
272559	997883	617
379	935554	513
34073	34073	509
1421430	564420	383
1034889	34073	382
37326	1133849	356
205922	564420	332
395960	1076	308
258594	1076	300
386	935554	294
1855380	564420	251
543	585396	237
1395516	564420	223
28450	1167689	220
522373	1235458	213
702115	564420	208
585396	585396	204
997877	997883	190
1033991	935554	190
1283291	564420	187
1827305	1235458	185
339670	1167689	178
75612	564420	174
95300	564420	172
1148509	564420	171
118613	564420	169
395492	935554	164
1221522	564420	163
1207075	564420	163
179879	1167689	163
1795631	34073	155
163011	564420	153
208964	208964	148
80840	34073	148
80864	34073	146
56	448385	136
561	585396	127
104087	564420	126
2072414	1235458	123
1796613	997883	119
838	553174	118
2072413	1235458	118
488447	1167689	116
171549	997883	115
1190567	1235458	109
395598	564420	101
1193499	1193499	101
1637853	1167689	100
1224	34073	99
1038922	564420	98
1853130	564420	98
216778	1235458	98
509190	509190	96
488729	1167689	94
2072412	1235458	93
57045	1016998	88
1082851	34073	88
1401325	997883	87
143813	564420	85
2020312	935554	84
2072405	1235458	83
679935	997883	82
292	1167689	79
1842727	34073	78
32033	1235458	78
80865	34073	75
94132	34073	75
198618	564420	74
482957	1167689	73
86265	564420	73
1904944	1235458	72
32008	1167689	71
95485	1167689	69
316058	1076	67
246196	246196	66
587753	564420	65
136843	564420	65
303	564420	64
488731	1167689	60
976	997883	54
1866885	246196	54
976	762903	53
1659194	564420	52
47879	564420	52
316055	1076	50
2072409	1235458	49
1395570	1167689	48
1763535	34073	48
87883	1167689	47
32008	34073	47
930166	564420	46
106589	34073	46
2072406	1235458	45
667015	997883	45
136849	564420	44
396	935554	43
816	997883	43
821	997883	42
316057	1076	42
300	564420	42
2025658	564420	41
1981173	935554	40
983917	34073	39
795665	34073	39
717959	997883	38
305	34073	36
86192	564420	36
200450	564420	35
80870	34073	35
395495	34073	34
2067572	564420	34
101571	1167689	34
46677	564420	34
76758	564420	32
693979	997883	32
1842537	34073	32
157782	564420	31
2116657	34073	31
87882	34073	31
49546	655815	30
237609	564420	29
29449	935554	29
1294143	564420	29
76760	564420	29
12916	34073	28
2109915	34073	28
12960	34073	28
85643	34073	27
488732	1167689	26
463025	34073	26
2045200	564420	26
1571470	935554	26
152480	1167689	26
75588	564420	26
60550	1167689	25
1245469	1076	25
1546149	34073	25
358220	34073	25
2083054	564420	25
2072408	1235458	25
1637869	1167689	24
374	1076	24
316	34073	23
87883	34073	23
179636	34073	23
195709	1235458	23
95486	34073	23
316	564420	22
219572	564420	22
1147786	564420	21
1441629	564420	21
1301032	935554	20
169669	564420	20
1867719	935554	20
2109913	34073	20
1432049	935554	20
337	34073	20
1634516	34073	20
119060	34073	20
183795	564420	20
1637862	1167689	20
748247	34073	19
1267562	34073	19
128780	1235458	19
1980001	34073	19
413882	34073	18
226	529120	18
287	564420	18
204039	34073	18
1768242	34073	18
296	564420	18
356	935554	17
343	1235458	17
76759	564420	17
265293	1167689	17
82115	935554	17
435897	1235458	17
381666	34073	17
522	34073	17
41294	1076	16
1981174	564420	16
1082933	1076	16
216142	564420	16
1224	564420	16
1842533	34073	16
634177	1167689	15
365044	34073	15
246787	997883	15
1301098	564420	15
359110	564420	15
227290	935554	15
292415	34073	15
28131	997883	15
995085	34073	15
1788301	564420	15
56730	935554	15
1703	34073	15
348824	935554	14
746360	564420	14
1038921	564420	14
287	34073	14
159087	34073	14
365046	34073	14
200451	564420	13
1484118	34073	13
68895	34073	13
1297742	34073	13
488446	1167689	13
488447	34073	13
2020313	935554	13
2109914	34073	13
1191062	34073	13
317	564420	13
390235	564420	13
1	1016998	13
1637837	1167689	12
1796646	997883	12
1921510	564420	12
2058135	96345	12
1982042	34073	12
1858609	34073	12
1707785	34073	12
1796606	34073	12
29442	564420	12
1503054	34073	12
2020311	935554	12
1207504	1167689	12
380021	564420	12
1226343	564420	11
119219	34073	11
48736	34073	11
1009846	1167689	11
382	935554	11
538025	935554	11
1079	34073	11
136845	564420	11
1416753	935554	11
880074	997883	11
314722	1235458	11
286	34073	11
1245471	564420	10
59204	1016998	10
300	34073	10
316056	1076	10
325776	1235458	10
1881016	34073	10
28211	991905	10
2072407	1235458	10
136845	1193499	10
1649468	34073	10
722472	1076	10
85015	34073	10
1392005	34073	9
1384061	564420	9
1273687	564420	9
1245469	1235458	9
191390	564420	9
428406	34073	9
543	1016998	9
2072590	564420	9
435591	997883	9
28450	34073	9
32002	34073	9
47878	564420	9
1338689	564420	9
1503054	1167689	8
60552	564420	8
591001	34073	8
37919	632772	8
1004787	529120	8
198107	34073	8
356	34073	8
1746199	34073	8
523831	1016998	8
1503055	1167689	8
68287	1076	8
28211	1076	7
2028343	935554	7
2	997883	7
1004785	529120	7
224471	34073	7
925775	1235458	7
338	1235458	7
2048897	935554	7
526949	935554	7
12916	564420	7
41899	34073	7
1437360	34073	7
347	34073	7
384676	564420	7
28216	34073	7
219181	34073	7
47857	34073	7
285	34073	6
347834	935554	6
2	1235458	6
469383	34073	6
201174	34073	6
562971	34073	6
2054919	564420	6
1300342	34073	6
1189310	483219	6
2	34073	6
688245	34073	6
84567	485917	6
1	585396	6
1214915	246196	6
40324	34073	6
1328306	935554	6
1236	564420	6
1355477	1076	6
1081940	1193499	6
761659	309807	5
1224	935554	5
358	935554	5
1513890	564420	5
380358	1235458	5
675864	34073	5
359385	1235458	5
1418105	935554	5
1242107	1016998	5
1881017	564420	5
398577	1167689	5
1357279	564420	5
335659	1076	5
223967	1076	5
1703969	935554	5
1484693	34073	5
33	483219	5
946333	34073	5
366602	34073	5
1458426	34073	5
1224	1235458	5
907239	637913	5
2049589	564420	5
217204	34073	5
1028800	935554	5
225991	34073	5
316057	34073	5
266265	34073	5
445709	1167689	4
743721	564420	4
1710356	1016998	4
547	564420	4
487184	564420	4
1297742	483219	4
698761	935554	4
391735	34073	4
1346287	1235458	4
1938604	564420	4
698761	1076	4
488731	1235458	4
49546	867900	4
1125847	935554	4
96901	1235458	4
656178	34073	4
1097677	443906	4
69	1235458	4
237	96345	4
630626	34073	4
180282	34073	4
381754	208964	4
82983	997883	4
339	1235458	4
1243602	1016998	4
553814	34073	4
517	34073	4
1795874	1235458	4
1922226	564420	4
303	34073	4
1727196	564420	4
111527	34073	3
1242096	1016998	3
818	997883	3
837	997883	3
143813	34073	3
