taxid	truth_taxid	count
880070	880070	25000
471854	471854	25000
204669	204669	25000
479432	479432	25000
760192	760192	25000
234267	234267	25000
575540	575540	25000
574556	574556	25000
435590	435590	25000
682795	682795	25000
479433	479433	25000
326424	326424	25000
488538	488538	25000
756272	756272	25000
521674	521674	25000
1198114	1198114	25000
886293	886293	24997
485917	485917	24994
991905	991905	24992
632772	632772	24992
655815	655815	24970
762903	762903	24947
88688	509190	24902
553174	553174	24899
1772	246196	24879
448385	448385	24863
287	208964	24697
1133849	1133849	24643
562	585396	24422
243090	991778	23757
443906	443906	23485
653045	653045	23375
652103	1076	21431
435591	435591	21078
28901	1016998	20973
96345	96345	19955
303	1193499	17841
95486	1167689	16640
28108	529120	16123
210	637913	15504
0	34073	15264
483219	483219	14083
979	867900	13825
0	564420	13724
817	997883	13343
146919	309807	12521
309807	309807	12474
40324	1235458	11405
867900	867900	11175
32	483219	10901
637913	637913	9442
529120	529120	8843
216596	935554	7128
286	1193499	7029
384	935554	6912
0	997883	6347
1452724	96345	5010
0	1235458	4363
198620	564420	4063
375288	435591	3922
1163399	1235458	3115
0	1167689	3075
387	935554	3008
59201	1016998	2785
295405	997883	2346
0	935554	2240
406425	1167689	2187
754523	935554	2048
395491	935554	1953
40323	1235458	1925
1076	1076	1859
286	564420	1836
436515	34073	1791
87882	1167689	1776
1883	653045	1623
1573	443906	1506
595537	34073	1422
862962	997883	1402
2126319	34073	1327
0	991778	1243
1534110	564420	1158
868597	1235458	1149
391008	1235458	1115
1016998	1016998	1067
2005046	1235458	993
0	1076	799
543728	34073	763
205922	564420	734
1246301	34073	703
34072	34073	677
272559	997883	617
34073	34073	526
379	935554	475
1283291	564420	379
37326	1133849	356
1147786	564420	320
395960	1076	313
258594	1076	301
522373	1235458	299
208964	208964	297
386	935554	296
1221522	564420	245
543	585396	234
1827305	1235458	224
1207075	564420	223
28450	1167689	220
585396	585396	204
997877	997883	199
1033991	935554	190
1853130	564420	182
104087	564420	179
339670	1167689	178
294	564420	178
1795631	34073	176
80864	34073	168
395492	935554	167
587753	564420	149
80840	34073	146
56	448385	136
930166	564420	128
561	585396	127
1796613	997883	126
171549	997883	113
488447	1167689	110
292	1167689	109
1659194	564420	109
679935	997883	106
32008	1167689	101
838	553174	101
1193499	1193499	101
509190	509190	96
57045	1016998	94
1224	34073	94
1401325	997883	90
303	564420	90
32033	1235458	89
1082851	34073	88
2020312	935554	86
136849	564420	83
80865	34073	77
94132	34073	77
1842727	34073	77
488729	1167689	77
482957	1167689	73
95485	1167689	73
1904944	1235458	68
246196	246196	67
316058	1076	67
47879	564420	67
1441629	564420	66
2067572	564420	65
488731	1167689	64
1703969	935554	63
32008	34073	57
976	997883	57
216778	1235458	55
1866885	246196	54
316055	1076	54
976	762903	53
667015	997883	51
87883	1167689	49
47878	564420	49
1763535	34073	48
60550	1167689	47
305	34073	47
106589	34073	46
1114970	564420	45
396	935554	44
1827300	564420	44
86192	564420	43
316057	1076	42
983917	34073	41
395495	34073	40
1981173	935554	40
795665	34073	39
300	564420	38
816	997883	38
2083054	564420	37
1395570	1167689	36
1301098	564420	36
128780	1235458	35
1294143	564420	35
200450	564420	33
693979	997883	32
101571	1167689	32
1842537	34073	32
157782	564420	31
87882	34073	31
2116657	34073	31
49546	655815	30
76758	564420	29
152480	1167689	29
413882	34073	29
381666	34073	29
2109915	34073	28
1267562	34073	28
1338689	564420	28
12960	34073	28
29449	935554	28
237609	564420	27
85643	34073	27
265293	1167689	26
296	564420	26
463025	34073	26
316	564420	26
1571470	935554	25
1245469	1076	25
1546149	34073	25
1898684	564420	24
316	34073	24
358220	34073	24
287	564420	23
179636	34073	23
95486	34073	23
2109913	34073	23
87883	34073	23
435590	997883	21
1788301	564420	21
435897	1235458	20
1634516	34073	20
1867719	935554	20
1432049	935554	20
337	34073	20
748247	34073	19
1301032	935554	19
1980001	34073	19
460265	564420	19
402612	96345	19
12916	34073	18
1306405	34073	18
1768242	34073	18
136845	564420	18
82115	935554	18
53408	564420	18
226	529120	18
28131	997883	18
1211579	564420	17
1703	34073	17
1282356	564420	17
2072590	34073	17
522	34073	17
1842533	34073	16
2049589	564420	16
1082933	1076	16
56730	935554	16
1981174	564420	16
488732	1167689	16
227290	935554	16
1245471	564420	15
365044	34073	15
219572	564420	15
246787	997883	15
946333	564420	15
643561	34073	15
634177	1167689	15
292415	34073	15
380021	564420	15
374	1076	14
1089444	564420	14
159087	34073	14
287	34073	14
365046	34073	14
68895	34073	13
1297742	34073	13
488447	34073	13
1484118	34073	13
2109914	34073	13
2020313	935554	13
41294	1076	13
1191062	34073	13
488446	1167689	13
382	935554	13
136843	564420	13
390235	564420	13
1	1016998	13
1207504	1167689	12
1982042	34073	12
1707785	34073	12
2020311	935554	12
2014	34073	12
356	935554	12
517	34073	12
2058135	96345	12
1224	564420	12
1637837	1167689	12
1858609	34073	12
1921510	564420	12
1224	1235458	11
119219	34073	11
1079	34073	11
40324	34073	11
314722	1235458	11
1223802	34073	11
1236	564420	11
880074	997883	11
538025	935554	11
2025876	997883	11
2045	34073	11
1384061	564420	11
1009846	1167689	11
925775	1235458	10
300	34073	10
754502	34073	10
136845	1193499	10
1273687	564420	10
59204	1016998	10
316056	1076	10
1920191	34073	10
325776	1235458	10
1649468	34073	10
286	34073	10
2072590	564420	9
1503054	34073	9
32002	34073	9
1458426	34073	9
224471	34073	9
119060	34073	9
1245469	1235458	9
80869	34073	9
28450	34073	9
428406	34073	9
435591	997883	9
1004787	529120	8
1392005	34073	8
591001	34073	8
198107	34073	8
41899	34073	8
37919	632772	8
28211	991905	8
1416806	34073	8
384676	564420	8
28216	34073	8
68287	1076	8
60552	564420	8
1834200	997883	8
543	1016998	8
76759	564420	7
1004785	529120	7
2048897	935554	7
2028343	935554	7
526949	935554	7
12916	564420	7
28211	1076	7
343	1235458	7
266265	34073	7
219181	34073	7
347	34073	7
338	564420	7
688245	34073	6
338	1235458	6
487909	1235458	6
1081940	1193499	6
1	585396	6
285	34073	6
469383	34073	6
1300342	34073	6
201174	34073	6
57975	1167689	6
1418105	935554	6
1355477	1076	6
347834	935554	6
1441467	1235458	6
2	34073	6
2018067	564420	6
84567	485917	6
562971	34073	6
376	1076	6
1189310	483219	6
398577	1167689	5
262324	1235458	5
223967	1076	5
1484693	34073	5
1328306	935554	5
69	1235458	5
335659	1076	5
929813	564420	5
340	1235458	5
32033	34073	5
217204	34073	5
317	564420	5
1242107	1016998	5
761659	309807	5
1513890	564420	5
135614	1235458	5
380358	1235458	5
190721	564420	5
946333	34073	5
296591	34073	5
316057	34073	5
366602	34073	5
907239	637913	5
1261556	1235458	5
1097677	443906	4
630626	34073	4
445709	1167689	4
1357279	564420	4
743721	564420	4
1710356	1016998	4
237	96345	4
43263	564420	4
1795874	1235458	4
656178	34073	4
356	34073	4
180282	34073	4
82983	997883	4
33	483219	4
1297742	483219	4
553814	34073	4
358	935554	4
2	997883	4
1274631	564420	4
381754	208964	4
741155	564420	4
391735	34073	4
1243602	1016998	4
1055532	637913	4
1938604	564420	4
547	564420	4
698761	1076	4
1503055	34073	4
1334629	34073	4
1224	935554	4
1125847	935554	4
698761	935554	4
1727196	564420	4
488731	1235458	4
47885	564420	4
303	34073	4
640511	564420	4
80840	564420	4
1128334	935554	3
28105	935554	3
543	34073	3
288000	1076	3
339	1235458	3
227292	935554	3
837	997883	3
48736	564420	3
990315	1235458	3
376686	997883	3
1242096	1016998	3
818	997883	3
1122984	997883	3
99179	997883	3
1408224	935554	3
1086726	997883	3
675635	1235458	3
2067960	34073	3
482957	34073	3
354	564420	3
1851544	1235458	3
390235	1193499	3
404380	564420	3
339670	34073	3
1225174	564420	3
1243586	1016998	3
357	1076	3
675635	34073	3
1028800	935554	3
563041	637913	3
57975	1235458	3
266835	935554	3
1503054	1167689	3
78327	564420	3
491916	935554	3
1028801	935554	3
1	997883	2
2	1235458	2
1242097	1016998	2
1382922	637913	2
1163743	637913	2
