taxid	truth_taxid	count
485917	485917	25000
575540	575540	24999
326424	326424	24999
234267	234267	24999
655815	655815	24998
471854	471854	24997
479432	479432	24997
762903	762903	24997
756272	756272	24997
521674	521674	24997
1133849	1133849	24997
880070	880070	24996
553174	553174	24995
479433	479433	24995
1198114	1198114	24995
682795	682795	24995
760192	760192	24994
991905	991905	24994
488538	488538	24994
204669	204669	24993
246196	246196	24991
867900	867900	24989
886293	886293	24987
435591	435591	24968
509190	509190	24962
435590	435590	24893
402612	96345	24757
632772	632772	24637
483219	483219	24488
653045	653045	24407
574556	574556	24392
448385	448385	24365
287	208964	24343
443906	443906	22890
243090	991778	21739
652103	1076	21729
59201	1016998	21489
146919	309807	18111
28108	529120	17322
303	1193499	15886
210	637913	14823
562	585396	11389
216596	935554	10672
637913	637913	10083
95486	1167689	9563
817	997883	9363
231023	1193499	9008
529120	529120	7368
543	585396	6891
309807	309807	6885
585396	585396	6079
406425	1167689	5782
1163399	1235458	4551
868597	1235458	4023
384	935554	3434
395491	935554	3308
295405	997883	3136
522373	1235458	3067
1573	443906	2107
28901	1016998	2007
862962	997883	1947
205922	564420	1721
331271	1167689	1606
331272	1167689	1536
595537	34073	1299
543728	34073	1223
272559	997883	1160
391008	1235458	1035
216591	1167689	978
1016998	1016998	912
40324	1235458	853
1246301	34073	810
56	448385	633
208964	208964	613
768	574556	600
1883	653045	591
395960	1076	518
32	483219	497
258594	1076	449
590	1016998	407
1827	632772	361
1207075	564420	353
226	529120	307
379	935554	294
395492	935554	291
0	585396	276
339670	1167689	214
1114970	564420	164
34073	34073	137
491916	935554	132
351746	1193499	99
667015	997883	93
0	1016998	91
994484	564420	85
816	435590	85
316058	1076	82
585395	585396	79
209	637913	79
543	1016998	79
679935	997883	75
395019	1167689	67
29449	935554	67
386	935554	65
395495	34073	60
1076	1076	58
347834	935554	58
386585	585396	57
1037911	564420	57
561	585396	57
1415630	564420	56
1124983	564420	55
87882	1167689	53
216595	564420	53
1328306	935554	50
220664	564420	47
365044	34073	44
286	564420	42
171549	997883	41
816	997883	41
1031711	34073	40
1196325	564420	37
701177	585396	37
160488	564420	36
296591	34073	36
742013	34073	36
1366050	34073	34
717959	997883	34
