taxid	truth_taxid	count
326424	326424	24999
234267	234267	24999
471854	471854	24997
575540	575540	24997
756272	756272	24997
1198114	1198114	24995
682795	682795	24995
521674	521674	24995
760192	760192	24994
479433	479433	24994
204669	204669	24993
479432	479432	24990
886293	886293	24985
488538	488538	24983
485917	485917	24982
655815	655815	24965
991905	991905	24944
762903	762903	24915
287	208964	24913
88688	509190	24853
1772	246196	24766
880070	880070	24717
553174	553174	24575
574556	574556	24461
632772	632772	24341
448385	448385	24243
435590	435590	23247
443906	443906	22028
1133849	1133849	21863
243090	991778	21739
652103	1076	21369
0	1016998	21243
303	1193499	20600
28108	529120	20399
95486	1167689	18192
653045	653045	18162
32	483219	18132
146919	309807	18111
562	585396	17591
979	867900	17536
435591	435591	16645
210	637913	15141
96345	96345	14805
817	997883	14463
384	935554	10576
1452724	96345	10166
637913	637913	9764
40324	1235458	9533
375288	435591	8295
867900	867900	7448
309807	309807	6885
483219	483219	6844
1883	653045	6834
543	585396	6349
216596	935554	4875
529120	529120	4274
286	1193499	4246
37326	1133849	3133
198620	564420	3057
1573	443906	2965
1163399	1235458	2741
28901	1016998	2463
387	935554	2290
2005046	1235458	1875
868597	1235458	1804
295405	997883	1798
816	435590	1722
1076	1076	1503
406425	1167689	1463
436515	34073	1381
754523	935554	1276
395491	935554	1016
862962	997883	961
59201	1016998	948
379	935554	944
595537	34073	939
543728	34073	935
87882	1167689	896
2126319	34073	865
1534110	564420	822
522373	1235458	753
56	448385	751
205922	564420	748
1246301	34073	540
768	574556	531
40323	1235458	476
391008	1235458	436
838	553174	416
561	585396	415
1827	632772	361
226	529120	327
272559	997883	315
331271	1167689	306
37919	632772	296
68288	880070	279
0	585396	278
286	564420	267
1147786	564420	261
395960	1076	258
28450	1167689	233
1866885	246196	221
258594	1076	201
1016998	1016998	186
294	564420	184
34072	34073	183
1283291	564420	182
104087	564420	176
386	935554	174
585396	585396	167
331272	1167689	154
1221522	564420	137
997877	997883	136
587753	564420	131
1207075	564420	118
543	1016998	116
339670	1167689	91
171549	997883	91
1795631	34073	91
1401325	997883	88
976	762903	82
209	637913	82
1659194	564420	78
1796613	997883	75
509190	509190	75
679935	997883	74
91347	585396	74
75	509190	71
930166	564420	69
1842727	34073	67
34073	34073	62
2083052	1193499	60
208964	208964	57
1441629	564420	53
47879	564420	53
396	935554	52
28211	991905	51
1045010	585396	49
171549	435591	47
1082851	34073	47
1827305	1235458	45
667015	997883	45
1114970	564420	44
1513890	564420	41
365044	34073	39
395492	935554	39
976	997883	38
200450	564420	37
244566	564420	37
231023	1193499	36
395495	34073	36
49546	655815	34
1703969	935554	34
60550	1167689	34
94132	34073	34
1842537	34073	34
1853130	564420	32
95486	34073	32
1193499	1193499	30
316058	1076	30
1224	34073	30
287	564420	29
1546149	34073	29
2067572	564420	28
351746	1193499	28
171549	435590	28
292	1167689	27
305	34073	27
1649877	564420	27
983594	1167689	27
1055524	1167689	26
76758	564420	26
1033991	935554	26
2020312	935554	26
296591	34073	26
488447	1167689	25
87883	34073	25
693979	997883	24
47878	564420	24
1082933	1076	24
237	96345	23
795665	34073	23
80864	34073	22
296	564420	22
1294143	34073	20
180282	34073	20
1571470	935554	19
488731	1167689	19
41899	34073	19
246787	997883	19
103855	34073	18
1176492	34073	18
316	34073	18
701177	585396	18
1980001	34073	18
590	1016998	18
80865	34073	17
316057	1076	17
157782	564420	17
356	935554	17
1500686	564420	17
2025876	997883	17
286	208964	17
1583341	564420	17
29449	935554	17
1395570	1167689	17
227290	935554	17
136849	564420	16
1355477	1076	16
303	564420	16
339670	34073	16
2083055	564420	16
76759	564420	15
1763535	34073	15
380021	564420	15
398527	34073	14
1245471	564420	14
435897	1235458	14
220664	564420	14
82115	935554	14
84567	485917	14
85698	34073	14
562971	34073	14
1842533	34073	14
106589	34073	14
337	34073	13
2025876	435591	13
300	564420	13
643561	34073	13
76761	564420	13
1231725	564420	13
1328314	564420	13
28131	997883	13
216778	1235458	13
62928	34073	13
28211	488538	13
2116657	34073	12
535289	34073	12
331112	585396	12
435590	997883	12
399739	34073	12
765912	34073	12
1225174	564420	12
1037911	564420	12
136843	564420	12
946333	34073	12
1637837	1167689	12
1130829	34073	12
1334632	564420	12
1223566	1076	11
1301032	935554	11
1206777	564420	11
1867719	935554	11
1384061	564420	11
1079	34073	10
157783	564420	10
56730	935554	10
553814	34073	10
816	997883	10
596153	34073	10
1827300	564420	10
292415	34073	10
1842540	34073	9
1224	208964	9
2109913	34073	9
2109914	34073	9
265293	1167689	9
190721	34073	9
2020311	935554	9
463025	34073	9
171549	553174	9
382	935554	9
1920191	34073	9
397945	34073	9
1224	585396	9
31	483219	8
1503054	34073	8
1392005	34073	8
32033	1235458	8
1300342	34073	8
134601	34073	8
80840	34073	8
446468	34073	8
49546	867900	8
90371	1016998	7
1248725	637913	7
976	867900	7
1223802	34073	7
157783	34073	7
1294143	564420	7
880074	997883	7
57045	1016998	7
347834	935554	7
1981173	935554	7
1189310	483219	7
87882	34073	7
358220	34073	7
1432049	935554	7
1760	479432	7
1028989	564420	6
1072459	585396	6
1420599	564420	6
418699	34073	6
287	34073	6
2057741	1076	6
1982042	34073	6
168807	585396	6
1300342	1235458	5
413882	34073	5
402612	96345	5
2020313	935554	5
1328859	585396	5
223967	1076	5
463014	564420	5
1196835	564420	5
99179	997883	5
28118	997883	5
40324	34073	5
983917	34073	5
1407463	637913	5
550	34073	5
266264	34073	5
1763	246196	5
1235591	1076	5
674703	1076	5
1078034	585396	5
365046	34073	5
1415630	564420	5
1904944	1235458	5
435591	997883	5
76802	34073	5
925775	1235458	4
398578	34073	4
1248823	585396	4
159087	564420	4
12916	34073	4
768507	880070	4
32008	34073	4
0	208964	4
748247	34073	4
84566	485917	4
246196	246196	4
1245469	34073	4
237609	564420	4
595536	1076	4
57743	1016998	4
119060	34073	4
538025	935554	4
1324932	564420	4
316055	1076	4
2083052	564420	4
1078773	34073	4
85023	443906	4
340	1235458	4
2	997883	4
49	448385	4
227292	935554	4
56458	1235458	4
0	246196	4
80811	483219	3
1503055	1167689	3
743721	564420	3
491916	935554	3
1191062	34073	3
149539	1016998	3
1122984	997883	3
1703960	935554	3
837	997883	3
1328306	935554	3
964	34073	3
54388	1016998	3
925775	564420	3
83334	585396	3
698761	935554	3
339	1235458	3
329	564420	3
159087	34073	3
208962	585396	3
517	34073	3
1842534	935554	3
303	34073	3
101571	34073	3
52	34073	2
28105	935554	2
2083054	564420	2
482957	1167689	2
1207075	1235458	2
300	34073	2
1224	935554	2
1349767	34073	2
203275	997883	2
488447	34073	2
392499	34073	2
28150	1016998	2
526949	935554	2
2036817	564420	2
219572	564420	2
595500	34073	2
12960	34073	2
41294	1076	2
976	760192	2
128780	1235458	2
126	521674	2
1703967	935554	2
1763524	886293	2
2026199	34073	2
438753	935554	2
216142	564420	2
226186	997883	2
2004	479432	2
644801	564420	2
1418105	935554	2
1334629	34073	2
997877	435590	2
488142	564420	2
57975	34073	2
86192	564420	2
1441467	1235458	2
596154	34073	2
761659	309807	2
1817	1133849	2
1001989	585396	2
101571	1167689	2
1297742	34073	2
1028800	935554	2
2036817	34073	2
1283331	34073	2
656178	34073	2
1760	479433	2
266835	935554	2
1907578	997883	2
488729	1167689	2
204434	682795	2
1763524	575540	2
1760	653045	2
224911	1076	2
1384459	935554	1
1926494	34073	1
111527	34073	1
96773	34073	1
1357279	564420	1
350058	935554	1
1379159	1235458	1
338	1235458	1
712710	997883	1
1282356	564420	1
2048897	935554	1
525897	1076	1
33	483219	1
1486262	935554	1
1636610	34073	1
2028343	935554	1
311402	935554	1
358	935554	1
1611770	564420	1
637910	585396	1
1740163	34073	1
266834	935554	1
279113	1235458	1
1772	34073	1
585395	585396	1
1408224	935554	1
686597	935554	1
105219	34073	1
1207504	1167689	1
68287	935554	1
375	34073	1
331111	585396	1
217203	935554	1
1609966	935554	1
316056	1076	1
380358	1235458	1
1267562	34073	1
655817	585396	1
1662458	34073	1
95485	1167689	1
1082933	935554	1
1267562	1235458	1
76892	509190	1
1851544	1235458	1
1004954	935554	1
741155	564420	1
1382921	637913	1
270351	1076	1
343	1235458	1
75105	34073	1
120793	34073	1
57975	1235458	1
316058	935554	1
450851	34073	1
1163748	34073	1
1249661	34073	1
985079	34073	1
1207504	564420	1
80869	1235458	1
346	1235458	1
1224	564420	1
28216	34073	1
85025	1133849	1
94132	564420	1
1760	1133849	1
765698	935554	1
264445	34073	1
216591	1167689	1
353	34073	1
1332075	564420	1
1125847	935554	1
407	1076	1
359	935554	1
1224	991905	1
1934254	34073	1
666685	34073	1
976	655815	1
742013	34073	1
1452725	96345	1
1178482	34073	1
1437824	34073	1
44139	34073	1
1028801	935554	1
1500687	564420	1
1001585	34073	1
1611770	34073	1
