taxid	truth_taxid	count
37919	632772	25000
991904	991905	25000
2350	760192	25000
466153	886293	25000
332163	234267	25000
1859	326424	25000
88688	509190	25000
940614	682795	25000
769	574556	25000
28901	1016998	25000
151895	762903	25000
823	435591	25000
984	485917	25000
146919	309807	25000
1772	246196	25000
658062	204669	25000
2001	479432	25000
104	880070	25000
979	867900	25000
28108	529120	25000
287	208964	25000
28132	553174	25000
398743	655815	25000
128	575540	25000
33	483219	25000
940615	1198114	25000
28447	443906	25000
94254	471854	25000
119	756272	25000
304895	479433	25000
821	435590	25000
56	448385	25000
120	521674	25000
68280	653045	25000
37326	1133849	25000
303	1193499	24999
210	637913	24999
767892	488538	24999
562	585396	24996
96345	96345	24863
265606	991778	23619
1076	1076	23618
-2	564420	20204
384	935554	19758
95486	1167689	18906
-2	34073	18554
40324	1235458	17385
817	997883	15859
-2	997883	8757
-2	1235458	7415
-2	1167689	5182
34073	34073	5073
-2	935554	4532
294	564420	2996
-2	991778	1381
-2	1076	1283
1207075	564420	818
29449	935554	500
152480	1167689	473
930166	564420	157
-1	34073	146
-2	96345	137
482957	1167689	126
305	34073	123
87883	1167689	110
380021	564420	109
303	564420	102
214856	997883	96
200451	564420	90
376805	997883	76
62928	34073	60
-1	1167689	58
34029	34073	58
1415630	564420	58
316	564420	57
43306	564420	56
339	1235458	54
216465	34073	53
80867	34073	51
358220	34073	47
328814	997883	47
640511	1167689	44
251701	564420	42
337	34073	40
94132	34073	40
329	34073	40
53412	564420	40
28112	997883	40
380	935554	39
106590	34073	39
287	564420	38
-1	935554	38
28068	34073	35
80869	34073	33
-1	1235458	32
290053	997883	31
964	34073	29
57975	1167689	28
179636	34073	28
80866	34073	25
358	935554	25
748247	34073	25
192843	34073	25
36873	34073	25
398	935554	24
191495	34073	24
85643	34073	24
312306	564420	24
721785	34073	23
316	34073	23
666685	34073	23
-1	1076	23
95486	34073	22
152480	34073	22
300	564420	22
29438	564420	21
103731	564420	20
-1	997883	20
821	997883	20
62928	1076	19
114616	564420	19
314722	1235458	19
416344	1167689	17
317	1235458	17
292	1167689	16
364317	34073	16
204038	564420	15
163164	564420	15
36861	34073	15
-1	564420	15
2234	1167689	15
354	564420	14
398	1076	14
1042877	564420	14
164546	34073	13
69328	564420	13
285091	564420	12
382	935554	12
80679	34073	12
87883	34073	12
285	34073	12
29447	1235458	12
119219	34073	11
192	34073	11
105560	34073	10
426117	34073	10
300	34073	10
40324	34073	10
823	997883	10
44255	1235458	10
57975	34073	9
337	1167689	9
108	1235458	8
300231	1235458	8
39645	1076	8
381	935554	8
317	564420	8
550	34073	7
191026	1235458	7
347	34073	7
1859	34073	7
80816	34073	7
312306	34073	7
114615	1076	7
593909	935554	7
366602	34073	7
366650	1235458	6
36855	34073	6
373	935554	6
482957	34073	6
73919	34073	6
1063	34073	5
53461	997883	5
305	1235458	5
742013	34073	5
1076	935554	5
110321	935554	5
412963	34073	5
1076	34073	5
424182	935554	5
296591	34073	5
271097	997883	5
34073	564420	5
252970	1167689	5
29449	997883	5
182337	1235458	5
28450	1167689	4
110500	564420	4
1413	997883	4
861208	1076	4
44255	34073	4
408	1076	4
-2	585396	4
354	34073	4
384	1076	4
986	997883	4
85698	34073	4
35554	34073	4
921	935554	4
266779	935554	4
415229	1235458	4
337	564420	4
271065	997883	3
550	564420	3
1176649	935554	3
1008	997883	3
748280	34073	3
337191	34073	3
7	935554	3
818	997883	3
640512	1167689	3
31998	1076	3
69328	1235458	3
861208	935554	3
1033854	34073	3
94624	34073	3
280	1076	3
29549	1235458	3
37329	34073	3
234827	997883	3
338565	564420	2
28095	34073	2
384	1167689	2
160791	34073	2
213	997883	2
44255	1076	2
248026	34073	2
33072	935554	2
294	1235458	2
335659	1076	2
164757	997883	2
47880	564420	2
404589	1076	2
2014	34073	2
456327	1235458	1
1018	997883	1
1097668	1167689	1
2061	34073	1
95486	935554	1
524	34073	1
1265601	935554	1
-2	637913	1
348043	34073	1
266	935554	1
-2	1193499	1
1750	1076	1
1355477	1076	1
536018	935554	1
1003110	34073	1
208216	935554	1
640511	34073	1
199596	935554	1
240495	997883	1
1033846	34073	1
240495	935554	1
305	935554	1
408	935554	1
13373	34073	1
861208	1235458	1
261302	1167689	1
287	1235458	1
32025	935554	1
293091	997883	1
84757	935554	1
375	935554	1
28151	34073	1
-1	488538	1
28118	997883	1
542	564420	1
288000	1076	1
571	34073	1
303	935554	1
413502	935554	1
36855	935554	1
28901	34073	1
521	34073	1
329	1076	1
745310	935554	1
119	34073	1
33059	997883	1
43687	935554	1
1355477	34073	1
2743	34073	1
1888	34073	1
53412	1235458	1
366602	1235458	1
