taxid	truth_taxid	count
1922611	760192	24993
206662	521674	24988
1542743	471854	24986
1247726	756272	24975
37692	234267	24970
1449978	204669	24967
991022	575540	24961
1449752	1198114	24956
42197	488538	24953
1496	886293	24943
1416030	682795	24940
1874539	485917	24933
451	655815	24912
1746061	762903	24878
336407	553174	24802
1712571	509190	24783
693746	479433	24749
272621	479432	24715
1412473	1193499	24682
1647387	991905	24654
40522	880070	24582
101571	246196	24536
400394	574556	24292
298386	1016998	24063
396513	637913	23777
-2	326424	23657
691437	448385	23456
272568	632772	23202
134287	991778	22801
1923151	1133849	22574
1222338	435590	22491
1412473	208964	22396
75747	529120	21192
1777015	443906	18927
1776153	309807	18224
859653	867900	17964
173082	1076	17776
-2	34073	17743
363716	1167689	17627
1412470	585396	17247
764030	653045	16748
2008771	435591	16491
-2	564420	16290
1778540	96345	15183
2151	935554	12317
670	997883	12043
135487	483219	10568
1843735	483219	9999
983544	96345	9591
591946	1235458	7896
1673876	435591	7818
1185359	867900	6752
1050221	1235458	6692
-2	1235458	6668
-2	997883	6656
1759399	309807	6606
1608310	653045	6433
527001	443906	5163
169679	585396	4487
299767	529120	3617
1606763	483219	3311
-2	1167689	3245
-2	935554	3207
1737345	1076	3131
1412473	564420	3075
1189310	1167689	3019
9606	935554	2840
230158	997883	2693
526218	564420	2596
754045	935554	2373
-2	991778	2188
670	435590	2107
37332	1133849	1986
1679933	208964	1822
983594	585396	1697
-2	1076	1672
490	997883	1624
1016852	935554	1565
1050219	632772	1458
754441	448385	1345
1213187	1235458	1185
1647309	34073	1086
-1	585396	1037
758847	637913	1026
1311	34073	1000
1288295	34073	975
1972565	1076	910
262698	997883	902
656190	935554	815
431893	34073	756
-1	483219	665
592022	935554	620
1888	208964	619
1608110	574556	598
-1	653045	576
37206	1235458	570
1317107	564420	546
-1	935554	535
1513196	1235458	489
2033435	653045	489
169679	1016998	489
1384061	653045	477
1147150	435591	429
658666	34073	420
1382995	34073	409
1349754	1235458	401
-1	1076	401
42253	564420	390
335543	34073	370
632772	880070	364
697192	1235458	342
1140	1016998	279
1449979	326424	275
-1	443906	270
1869111	34073	265
40324	34073	259
1611039	564420	230
1678128	997883	228
204507	1076	227
1738045	585396	226
1423	1167689	223
297352	1076	218
1283330	935554	216
1511871	435590	214
1419584	997883	214
1746060	483219	212
99930	326424	209
1510841	246196	200
795694	564420	195
-1	1235458	192
532076	585396	189
395962	1167689	182
698487	991905	173
-2	443906	160
588	1133849	159
10537	564420	152
229634	443906	150
10317	479432	149
72539	564420	145
10317	443906	144
1869111	564420	143
1411681	1076	142
1545702	1167689	139
663557	1167689	139
78327	564420	138
1286141	1193499	134
1511871	997883	133
-1	34073	131
10317	479433	127
1678128	435591	126
-1	564420	123
956149	564420	122
204507	935554	118
-2	653045	109
10317	326424	101
-2	483219	100
1777065	1193499	100
-1	1167689	98
1738045	34073	98
235279	34073	96
305	564420	96
886293	553174	94
-2	435591	93
-2	309807	93
1869111	1235458	92
1808960	997883	92
698487	1076	88
662755	585396	83
1443113	762903	82
-1	96345	82
10317	632772	81
36343	1167689	80
434922	34073	80
10317	1133849	79
694015	867900	79
10317	653045	78
-1	1133849	77
267128	443906	76
-2	632772	74
1380767	997883	73
-2	867900	73
859657	564420	72
1217420	1235458	70
565995	1076	69
1379788	1235458	68
1443113	997883	68
1678128	435590	65
-1	632772	65
1869111	1076	64
-2	96345	64
-2	529120	63
362693	564420	63
1121336	483219	61
754252	1076	61
698487	509190	61
10317	246196	60
1147044	1076	59
-2	435590	58
75985	564420	58
2072503	553174	58
-1	246196	57
1183378	326424	57
-1	479432	55
1738045	1076	54
1410467	34073	54
694015	655815	54
1746066	1167689	54
1869111	991905	53
1541825	34073	51
40537	529120	50
1714273	34073	50
563174	34073	50
1869111	935554	49
-1	637913	49
-1	479433	48
-1	208964	48
363716	34073	48
-2	1133849	47
-1	448385	47
636	326424	47
1869111	1167689	46
-2	448385	46
1738045	991905	45
262324	246196	45
694015	96345	44
103216	564420	44
-1	991905	43
1738045	326424	42
758678	997883	42
557289	637913	41
698487	935554	41
1738045	479433	41
1738045	443906	41
1443113	867900	40
1869111	509190	40
-1	867900	39
532076	1016998	38
337042	448385	38
1379712	34073	36
1738045	479432	36
1738045	208964	36
1608310	326424	35
754042	935554	35
1869111	208964	34
264732	1193499	34
1089108	935554	34
-1	435590	34
40540	34073	34
589873	448385	32
1738045	935554	32
531844	1133849	32
1837283	997883	31
531844	632772	31
262719	529120	31
1402	34073	30
687	574556	30
926550	485917	29
1703966	935554	29
1708654	509190	29
1156720	1235458	29
1738045	483219	29
1738045	246196	29
1746059	34073	28
-1	1016998	28
103816	574556	28
10372	564420	28
561996	653045	28
431944	1016998	28
1738045	632772	28
1738045	682795	27
1187956	1076	27
131226	1167689	27
1647458	1016998	27
323	34073	27
-2	585396	27
1449897	309807	26
531844	246196	26
1738045	309807	26
1476487	34073	26
10372	208964	26
592029	935554	25
159	1076	25
-1	529120	25
-2	1198114	25
1844051	34073	25
33941	997883	24
1738045	575540	24
-2	479433	24
1345695	34073	24
1923089	632772	23
328615	867900	23
-1	574556	23
1055750	326424	23
1738045	1016998	23
663918	1235458	23
1738045	1133849	23
1955198	637913	22
-1	997883	22
694007	1076	22
859654	34073	20
1352230	34073	20
1678128	553174	20
1738045	448385	20
106648	34073	20
36855	564420	20
331978	1235458	19
-2	574556	19
1679933	564420	19
331272	1235458	19
1412473	34073	19
-2	637913	19
69328	34073	19
1705394	564420	19
426117	34073	18
1286171	1167689	18
1908813	34073	18
1547445	34073	18
1547577	443906	18
1738045	204669	18
2036817	483219	18
-2	1016998	17
992406	1235458	17
1051074	34073	17
435646	1167689	17
1214459	34073	16
10372	1235458	16
1769779	564420	16
1379909	564420	16
1412597	1167689	16
1423	34073	16
33033	34073	16
1411887	34073	16
235266	564420	16
37762	564420	16
1582153	34073	16
1785996	509190	15
1050903	34073	15
1738045	234267	15
1908805	653045	15
1810504	564420	15
1286143	564420	15
1908805	326424	15
1448273	34073	15
1738045	509190	15
1508712	1235458	15
860228	34073	15
-1	435591	15
1923398	564420	14
1087452	34073	14
1446701	564420	14
1746066	34073	14
-1	509190	14
1738045	886293	14
1081646	1167689	14
1089127	997883	14
1346611	564420	14
796730	1235458	14
66266	564420	14
-1	309807	14
300180	34073	14
1157337	34073	14
1545702	34073	14
204987	34073	14
1511761	564420	14
1738045	96345	13
1869111	1193499	13
-2	880070	13
1738045	756272	13
1579316	34073	13
525146	34073	13
983545	96345	13
-2	208964	13
1869111	483219	13
1738045	653045	13
760732	997883	12
1680	34073	12
-1	682795	12
1217984	886293	12
-2	886293	12
-1	762903	12
1714570	564420	12
172148	564420	12
1840528	34073	12
1685	246196	12
-2	246196	12
266117	564420	12
2110	34073	12
1189310	34073	12
197	564420	12
1417599	34073	12
2371	34073	12
-2	553174	12
1610493	509190	12
1738045	1193499	11
-1	886293	11
433462	34073	11
891968	1235458	11
1116482	34073	11
333968	653045	11
10372	529120	11
1255043	34073	11
1738045	1167689	11
394239	34073	10
688701	564420	10
1582	1235458	10
1316932	509190	10
664785	1235458	10
459290	564420	10
321	564420	10
1608044	564420	10
1478160	1133849	10
1478160	632772	10
1542498	1235458	10
1117942	34073	10
1738045	1235458	10
1647386	479432	10
1647386	326424	10
1222338	997883	10
-2	509190	10
1642436	488538	10
-2	682795	10
1121335	564420	10
105219	34073	10
328430	564420	10
696485	1235458	10
2005462	564420	10
133789	935554	10
-2	991905	10
661367	34073	10
1738045	564420	10
1183241	1235458	9
1051966	485917	9
1089110	997883	9
499555	34073	9
1582	34073	9
658172	34073	9
1738045	867900	9
1738045	762903	9
1443113	435591	9
1903686	632772	9
663557	34073	9
297254	34073	9
1705394	1076	9
1346815	34073	9
888061	564420	9
463676	564420	9
298975	564420	9
1610508	564420	9
272564	34073	9
1089117	34073	9
1446746	935554	9
1904441	935554	8
264445	935554	8
889338	34073	8
1647302	1235458	8
985053	34073	8
-1	655815	8
1777065	564420	8
1443113	485917	8
698487	488538	8
396595	479432	8
1610833	574556	8
1547219	935554	8
1604	34073	8
1283291	1235458	8
1114966	34073	8
33959	880070	8
1923117	1193499	8
-1	488538	8
363716	564420	8
335541	1235458	8
590745	34073	8
40324	1167689	8
1908802	34073	8
1050219	326424	8
1443113	655815	7
1443113	880070	7
983544	867900	7
1738045	471854	7
2032989	1235458	7
10386	564420	7
1545835	1193499	7
1805827	1167689	7
1673876	435590	7
563169	1235458	7
1967665	637913	7
1746064	991778	7
101571	326424	7
336959	34073	7
1738045	637913	7
1869111	488538	7
35279	448385	7
-1	326424	7
1738045	880070	7
1738045	488538	7
-1	234267	7
1379788	34073	7
1738045	1198114	7
292	1076	7
1147150	997883	7
2008771	997883	7
2151	1076	7
1738045	997883	7
232721	326424	7
1054968	246196	7
1088890	34073	7
1708712	34073	7
1124655	483219	7
1649240	880070	7
266265	34073	7
198612	1235458	7
262698	435590	6
331278	246196	6
399185	34073	6
72003	637913	6
795694	34073	6
70775	564420	6
1610835	564420	6
1869111	585396	6
272624	326424	6
1311	326424	6
1379712	326424	6
1738045	485917	6
-1	880070	6
1114966	326424	6
1869111	448385	6
1051138	935554	6
434271	1076	6
1671721	34073	6
-2	575540	6
796606	653045	6
1769779	34073	6
1923113	326424	6
63	1235458	6
627192	34073	6
1679238	1076	6
1805467	935554	6
1873455	443906	6
1922428	326424	6
204722	326424	6
1385720	997883	6
1804153	483219	6
1249615	1235458	6
-1	204669	6
393595	935554	6
1608310	479432	5
333968	326424	5
1150353	326424	5
762948	435591	5
10372	34073	5
1552	564420	5
461322	997883	5
591946	34073	5
1348774	326424	5
-2	204669	5
528354	34073	5
102617	637913	5
397945	326424	5
1738045	521674	5
1155071	564420	5
1737346	886293	5
498216	326424	5
693970	326424	5
361100	682795	5
1923367	326424	5
1608101	1167689	5
1582153	1235458	5
-2	756272	5
1349767	326424	5
1873452	880070	5
1777064	637913	5
1712539	34073	5
172391	997883	5
-2	479432	5
-1	1198114	5
-2	234267	5
565537	326424	5
498213	637913	5
1577997	997883	5
1379788	564420	5
1678146	637913	5
1746065	564420	5
1348774	762903	5
1249472	1235458	5
-1	575540	5
336486	564420	5
-2	1193499	5
1738045	553174	5
1385727	1235458	5
754523	1235458	5
294	564420	5
395494	867900	4
272620	326424	4
1777064	326424	4
35316	564420	4
292	34073	4
783	326424	4
1973484	1167689	4
550	309807	4
361100	1198114	4
1254439	34073	4
72361	34073	4
1738045	435591	4
2008440	1167689	4
329852	564420	4
1114965	997883	4
-2	488538	4
10353	326424	4
1838082	326424	4
1738045	655815	4
1674923	326424	4
1348774	485917	4
1610835	326424	4
1545835	208964	4
1838073	564420	4
1151014	509190	4
329852	34073	4
68402	935554	4
74700	509190	4
1245469	326424	4
1738045	760192	4
34062	1235458	4
526977	326424	4
1703967	34073	4
557433	935554	4
1641812	1193499	4
1608310	479433	4
1091045	326424	4
1805492	756272	4
985683	326424	4
1803956	1167689	4
1319	326424	4
762948	435590	4
272568	326424	4
1443113	96345	4
698414	326424	4
1777054	326424	4
103723	997883	4
1249467	34073	4
465721	326424	4
198467	997883	4
1255765	326424	4
1016856	443906	4
557393	326424	4
33941	435590	4
1114967	326424	4
728003	997883	4
436242	1235458	4
-2	485917	4
-2	655815	4
1055545	637913	4
172148	326424	4
1805464	935554	4
1869111	326424	4
588	997883	3
465515	564420	3
101571	632772	3
1904410	326424	3
979	997883	3
-2	471854	3
1714370	564420	3
37128	34073	3
66969	326424	3
561996	326424	3
1443113	435590	3
469382	326424	3
401614	485917	3
990303	935554	3
1414644	655815	3
1056831	1076	3
1811230	997883	3
1221206	997883	3
1843735	326424	3
1608111	326424	3
1441	326424	3
697284	935554	3
1922804	935554	3
632772	326424	3
1871678	34073	3
1677857	653045	3
1121336	448385	3
262957	997883	3
333762	997883	3
1249476	564420	3
33932	326424	3
1385940	1167689	3
1412468	991905	3
202947	326424	3
1089127	553174	3
264731	935554	3
398839	326424	3
332054	326424	3
2067572	326424	3
1189303	96345	3
363716	326424	3
-2	762903	3
199	1235458	3
10245	435591	3
1147140	997883	3
107804	326424	3
1509	1167689	3
2033633	564420	3
1837931	326424	3
1738045	435590	3
2135430	326424	3
1121267	326424	3
303317	326424	3
235279	326424	3
1385938	326424	3
694006	326424	3
1922564	997883	3
883	326424	3
663241	483219	3
1647387	326424	3
1938657	326424	3
632773	997883	3
1179773	483219	3
1446492	935554	3
39101	564420	3
563041	443906	3
1601	326424	3
1649239	326424	3
1606765	326424	3
230158	435590	3
1738045	529120	3
626418	564420	3
1238	935554	3
796732	326424	3
42478	326424	3
759124	997883	3
1640974	326424	3
74700	1076	3
1738045	991778	3
1740163	326424	3
1608072	326424	3
1147043	326424	3
1676184	326424	3
69373	326424	3
656178	1076	3
1679933	34073	2
1546177	637913	2
265311	443906	2
1188812	326424	2
40640	326424	2
170617	655815	2
42475	997883	2
1182571	553174	2
1705	326424	2
102684	326424	2
1874539	762903	2
1608048	326424	2
1222338	435591	2
762906	326424	2
1284804	1235458	2
334203	326424	2
167161	326424	2
557436	1076	2
1844928	326424	2
