taxid	truth_taxid	count
435591	435591	24999
574556	574556	24999
488538	488538	24999
485917	485917	24998
204669	204669	24998
521674	521674	24998
756272	756272	24998
880070	880070	24997
435590	435590	24996
1198114	1198114	24995
682795	682795	24995
762903	762903	24995
234267	234267	24994
471854	471854	24994
553174	553174	24993
655815	655815	24993
760192	760192	24991
886293	886293	24991
991905	991905	24989
632772	632772	24988
509190	509190	24988
575540	575540	24987
1133849	1133849	24977
483219	483219	24954
479432	479432	24937
479433	479433	24932
653045	653045	24900
0	991778	24900
1772	246196	24874
326424	326424	24835
448385	448385	24716
443906	443906	23776
652103	1076	22744
96345	96345	19929
303	1193499	16710
562	585396	15349
208964	208964	15063
28108	529120	13847
867900	867900	12778
309807	309807	12554
637913	637913	12511
210	637913	12442
146919	309807	12440
979	867900	12218
95486	1167689	11741
28901	1016998	11615
817	997883	11520
0	34073	11412
529120	529120	11150
59201	1016998	11033
216596	935554	10528
287	208964	9922
585396	585396	9452
40324	1235458	8904
0	564420	8500
231023	1193499	8170
205922	564420	8145
0	997883	5953
406425	1167689	5325
1163399	1235458	5149
1452724	96345	5033
595537	34073	4520
868597	1235458	4261
754523	935554	4027
384	935554	3503
395491	935554	3465
522373	1235458	3194
295405	997883	3068
87882	1167689	3040
0	1167689	2856
1246301	34073	2626
0	1235458	2483
543728	34073	2435
1016998	1016998	2334
286	564420	1989
862962	997883	1818
0	935554	1694
34073	34073	1619
272559	997883	1377
1147786	564420	1339
395960	1076	1178
28447	443906	1108
1283291	564420	1100
391008	1235458	903
386	935554	817
1221522	564420	763
294	564420	650
1207075	564420	535
1076	1076	513
0	1076	503
339670	1167689	497
488447	1167689	394
640511	1167689	377
587753	564420	333
136843	564420	333
379	935554	257
930166	564420	191
0	448385	190
543	585396	182
395492	935554	178
80864	34073	177
171549	997883	174
1224	34073	169
0	326424	165
1401325	997883	153
305	34073	150
679935	997883	147
80840	34073	143
216591	1167689	136
976	997883	123
32008	1167689	117
0	443906	116
32008	34073	107
246787	997883	106
1033991	935554	101
0	653045	100
292	1167689	99
351746	1193499	97
56	448385	94
85698	34073	91
1114970	564420	90
667015	997883	89
983594	1167689	87
1611770	564420	82
398578	34073	76
435590	997883	76
983917	34073	71
246196	246196	69
693979	997883	68
0	479433	68
29449	935554	65
216595	564420	65
0	479432	63
395495	34073	60
62928	34073	59
47878	564420	58
491916	935554	56
203275	997883	55
816	997883	55
880074	997883	55
964	34073	54
28216	34073	53
1763	246196	53
482957	1167689	51
1441629	564420	50
1395570	1167689	48
1055524	1167689	47
1282356	564420	47
80865	34073	46
0	483219	46
86192	564420	46
296591	34073	45
1432049	935554	44
60550	1167689	40
1432050	935554	40
365044	34073	39
32033	1235458	37
643561	34073	37
742013	34073	36
380021	564420	36
435591	997883	35
535289	34073	33
1649877	564420	33
1037911	564420	33
316058	1076	32
331272	1167689	31
365046	34073	30
818	997883	29
1788301	564420	29
748247	34073	29
287	34073	28
94132	34073	28
1328314	34073	28
348824	935554	27
0	637913	27
40323	1235458	25
1500686	564420	25
0	1133849	23
303	564420	23
397945	34073	22
756272	991778	21
1236	34073	21
994484	564420	21
87883	34073	20
87882	34073	20
179636	34073	20
391735	34073	19
95486	34073	19
402612	96345	19
528244	34073	18
237609	564420	18
530564	991778	18
286	34073	18
0	96345	17
287	564420	17
1357279	564420	17
56458	1235458	17
1249661	1167689	17
550	34073	17
264730	564420	17
1028800	935554	17
384676	564420	17
111527	1167689	17
1415630	564420	17
338969	34073	17
1245471	564420	16
347834	935554	16
630626	34073	16
87883	1167689	16
339	34073	16
999541	34073	15
41899	34073	15
0	208964	15
1123519	564420	15
152480	1167689	15
595500	34073	15
337	34073	15
1418105	935554	15
0	1193499	15
227290	935554	15
1500687	564420	15
94624	34073	14
398577	1167689	14
157782	564420	14
28095	34073	14
1435365	34073	14
232721	34073	13
394	935554	13
1392005	34073	13
0	575540	13
1366050	34073	13
339670	34073	13
395019	34073	13
1224	564420	13
296	564420	13
964	564420	12
200450	564420	12
0	509190	12
1433126	997883	12
68287	935554	12
223283	564420	12
12916	34073	12
1395570	34073	12
543	34073	11
331271	1167689	11
316057	1076	11
321327	991778	11
428406	1167689	11
0	991905	11
330	564420	11
266264	34073	10
266835	935554	10
1028801	935554	10
316	564420	10
709991	997883	9
28116	997883	9
396588	34073	9
0	886293	9
613	564420	9
1328306	935554	9
216142	564420	9
316055	1076	9
1078773	34073	9
382	935554	9
0	760192	9
561	585396	9
47917	34073	9
927083	991778	8
94624	564420	8
340	1235458	8
1236517	997883	8
68895	34073	8
1388763	564420	8
1221522	34073	8
226186	997883	8
886293	991778	8
1420599	564420	8
1499686	564420	8
1134435	34073	8
1124983	564420	8
937777	34073	8
390235	564420	8
0	655815	7
420662	34073	7
1249668	564420	7
0	632772	7
69328	564420	7
43263	564420	7
28105	935554	7
381666	34073	7
354	564420	7
311403	935554	7
0	553174	7
1324932	564420	7
985079	34073	7
1042878	34073	7
1215087	34073	7
640081	34073	7
1332075	564420	7
1095103	564420	6
2	34073	6
1707785	34073	6
1223566	1076	6
562971	34073	6
0	234267	6
136845	564420	6
837	997883	6
443144	991778	6
82115	935554	6
136849	564420	6
1294143	564420	6
0	471854	6
1123016	564420	6
1267562	34073	6
596153	34073	6
1793721	1235458	6
358220	34073	6
963	34073	6
0	682795	5
53408	34073	5
758796	34073	5
1001585	564420	5
198107	34073	5
358	935554	5
1	585396	5
1294143	34073	5
294	34073	5
1259844	564420	5
37919	632772	5
1328314	564420	5
356	935554	5
224911	34073	5
441156	1167689	5
666685	34073	5
2	997883	5
0	1198114	5
0	762903	5
1045855	34073	5
80840	564420	5
413882	34073	4
1176492	1167689	4
765698	564420	4
1191062	34073	4
1045855	1235458	4
84531	34073	4
119060	34073	4
192	34073	4
1301098	564420	4
0	435590	4
160492	34073	4
521674	991778	4
76869	564420	4
0	246196	4
1674922	991778	4
0	867900	4
0	309807	4
511062	564420	4
375	564420	3
1028989	564420	3
0	1016998	3
298654	34073	3
1793721	34073	3
354276	34073	3
1076934	997883	3
1449978	564420	3
69328	34073	3
930169	991778	3
316058	34073	3
61647	34073	3
99179	997883	3
1142394	991778	3
1055529	637913	3
1307833	997883	3
265072	34073	3
82996	564420	3
128780	1235458	3
931281	1193499	3
224471	34073	3
1236	564420	3
698761	935554	3
712357	997883	3
85698	564420	3
