taxid	truth_taxid	count
574556	574556	24999
488538	488538	24999
521674	521674	24998
756272	756272	24998
204669	204669	24998
880070	880070	24997
682795	682795	24995
1198114	1198114	24995
435590	435590	24995
234267	234267	24994
471854	471854	24994
485917	485917	24993
760192	760192	24991
886293	886293	24989
575540	575540	24987
632772	632772	24986
991905	991905	24981
655815	655815	24963
762903	762903	24942
479432	479432	24937
479433	479433	24932
553174	553174	24896
88688	509190	24889
1772	246196	24874
326424	326424	24835
448385	448385	24697
243090	991778	24696
287	208964	24686
1133849	1133849	24628
562	585396	24443
443906	443906	23776
653045	653045	23463
652103	1076	21687
435591	435591	21082
28901	1016998	20258
96345	96345	19918
303	1193499	18490
95486	1167689	18040
28108	529120	15250
483219	483219	14250
40324	1235458	13714
979	867900	13599
817	997883	13527
309807	309807	12554
210	637913	12498
637913	637913	12455
146919	309807	12440
867900	867900	11397
32	483219	10698
529120	529120	9730
0	34073	9439
198620	564420	9150
384	935554	8782
216596	935554	6998
286	1193499	6362
0	564420	5730
0	997883	5484
1452724	96345	5035
375288	435591	3917
436515	34073	3840
59201	1016998	3330
286	564420	3290
387	935554	3048
1163399	1235458	3000
40323	1235458	2591
1076	1076	2539
2126319	34073	2448
0	1167689	2407
295405	997883	2374
595537	34073	2308
1534110	564420	2029
205922	564420	1944
754523	935554	1937
0	1235458	1924
395491	935554	1726
406425	1167689	1649
87882	1167689	1649
34072	34073	1512
2005046	1235458	1447
1883	653045	1436
862962	997883	1431
868597	1235458	1384
543728	34073	1373
0	935554	1281
1016998	1016998	1240
1246301	34073	1175
1573	443906	1108
34073	34073	643
272559	997883	596
28450	1167689	508
379	935554	473
104087	564420	428
1283291	564420	407
0	1076	406
391008	1235458	400
522373	1235458	360
1147786	564420	353
37326	1133849	349
339670	1167689	303
0	991778	302
208964	208964	299
997877	997883	241
1796613	997883	224
386	935554	222
171549	997883	220
585396	585396	219
543	585396	213
1221522	564420	203
80864	34073	191
0	448385	190
395960	1076	184
1795631	34073	171
0	326424	165
1224	34073	165
1853130	564420	161
258594	1076	156
1207075	564420	146
1659194	564420	144
294	564420	142
80840	34073	130
488447	1167689	126
57045	1016998	124
32008	1167689	121
1193499	1193499	120
1842727	34073	120
561	585396	118
0	443906	116
56	448385	113
679935	997883	111
1546149	34073	109
1401325	997883	108
976	997883	101
0	653045	100
587753	564420	100
509190	509190	98
838	553174	97
32008	34073	91
246787	997883	87
1827305	1235458	87
2109915	34073	79
292	1167689	71
930166	564420	70
246196	246196	69
435590	997883	68
136843	564420	68
0	479433	68
395492	935554	64
0	479432	63
693979	997883	63
816	997883	59
1842537	34073	58
2020312	935554	57
976	762903	53
1866885	246196	53
983917	34073	51
667015	997883	49
47878	564420	48
85698	34073	48
0	483219	46
1571470	935554	45
880074	997883	45
1114970	564420	44
1703969	935554	42
303	564420	42
32033	1235458	41
395495	34073	41
28216	34073	39
482957	1167689	37
396	935554	35
2025876	997883	35
1082851	34073	34
296591	34073	32
538025	935554	31
49546	655815	30
1033991	935554	29
86192	564420	29
28131	997883	28
0	637913	27
87883	34073	26
1441629	564420	26
488731	1167689	26
818	997883	26
1763535	34073	26
795665	34073	25
1867719	935554	25
2109913	34073	25
76758	564420	24
60550	1167689	24
1649877	564420	24
0	1133849	23
321	564420	23
748247	34073	23
435591	997883	23
1236	34073	22
287	34073	22
1224	564420	22
1827300	564420	22
365044	34073	20
402612	96345	20
106589	34073	20
380021	564420	20
356	935554	18
95486	34073	18
94132	34073	18
216595	564420	18
0	96345	17
226	529120	17
28450	34073	16
1611770	564420	16
180282	34073	16
595500	34073	16
12960	34073	16
1920191	34073	16
56730	935554	16
47879	564420	16
80865	34073	15
0	208964	15
0	1193499	15
1758194	34073	15
227290	935554	15
528244	34073	15
395019	34073	14
1130829	34073	14
2067572	564420	13
2116657	34073	13
136845	564420	13
82115	935554	13
87882	34073	13
0	575540	13
316058	1076	13
1	1016998	13
837	997883	12
136849	564420	12
41899	34073	12
398578	34073	12
0	509190	12
2018067	564420	12
29449	935554	12
1282356	564420	12
94624	34073	11
2020313	935554	11
1904944	1235458	11
382	935554	11
0	991905	11
1301032	935554	10
1842533	34073	10
190721	34073	10
81479	34073	10
119060	34073	10
994484	564420	10
643561	34073	10
0	886293	9
526949	935554	9
1503054	34073	9
2083052	1193499	9
28095	34073	9
0	760192	9
28118	997883	8
28211	991905	8
337	34073	8
226186	997883	8
391735	34073	8
68895	34073	8
1981173	935554	8
946333	34073	8
296	564420	8
365046	34073	8
237	96345	8
482957	34073	8
418699	34073	8
216778	1235458	8
543	1016998	8
999541	34073	7
0	655815	7
0	632772	7
339	34073	7
305	34073	7
1914541	935554	7
101571	564420	7
80869	34073	7
37919	632772	7
244566	564420	7
0	553174	7
876364	34073	7
1432049	935554	7
1842540	34073	6
200450	564420	6
1858609	34073	6
1395570	1167689	6
712710	997883	6
0	234267	6
1586287	34073	6
157782	564420	6
57975	1167689	6
1433126	997883	6
398577	1167689	6
0	471854	6
84567	485917	6
1420599	564420	6
1267562	34073	6
1189310	483219	6
1834200	997883	6
742013	34073	6
179636	34073	6
286	34073	6
0	682795	5
129138	564420	5
28116	997883	5
12916	34073	5
613	564420	5
1	585396	5
1134435	34073	5
1236517	997883	5
1123016	564420	5
95485	1167689	5
1500686	564420	5
347834	935554	5
596154	34073	5
1513890	564420	5
1037911	564420	5
1042878	34073	5
1215087	34073	5
95485	34073	5
1028800	935554	5
0	1198114	5
47678	997883	5
0	762903	5
331272	1167689	4
1306405	34073	4
2	34073	4
94624	564420	4
1707785	34073	4
317013	1235458	4
316057	1076	4
1294143	34073	4
562971	34073	4
2020311	935554	4
0	435590	4
1236	564420	4
216142	564420	4
1788301	564420	4
1418105	935554	4
217203	564420	4
445710	34073	4
354	34073	4
1662456	34073	4
2	997883	4
0	867900	4
1389192	34073	4
0	309807	4
338969	34073	4
1795631	1167689	4
2083055	564420	4
0	246196	4
640511	564420	4
232721	34073	3
925775	1235458	3
2083054	564420	3
0	880070	3
287	564420	3
758796	34073	3
0	1016998	3
488729	34073	3
119060	564420	3
338	1235458	3
420662	34073	3
535289	34073	3
1223566	1076	3
1055529	637913	3
219572	564420	3
60552	564420	3
56458	1235458	3
69	1235458	3
265072	34073	3
128780	1235458	3
358	935554	3
290847	637913	3
84531	34073	3
1388763	564420	3
698761	935554	3
223283	564420	3
48736	34073	3
712357	997883	3
716928	935554	3
1082933	564420	3
99179	997883	3
1041826	997883	3
626418	34073	3
1245471	564420	3
743721	34073	3
316055	1076	3
866345	637913	3
1141883	34073	3
64187	1235458	3
135621	564420	3
339670	34073	3
1243586	1016998	3
1759437	564420	3
28119	997883	3
397945	34073	3
511062	564420	3
192	34073	3
390235	564420	3
640081	34073	3
342113	564420	3
546	34073	3
330	564420	3
1395570	34073	3
301105	34073	3
62928	34073	3
33069	564420	3
465721	34073	3
1	997883	2
375	564420	2
964	564420	2
1882682	935554	2
1261556	1235458	2
105219	564420	2
907238	637913	2
0	521674	2
1328314	34073	2
92645	34073	2
1117645	997883	2
1334629	34073	2
1004787	529120	2
76114	34073	2
368607	34073	2
90370	1016998	2
292	34073	2
394	935554	2
340	1235458	2
106592	935554	2
1804984	1235458	2
237609	564420	2
198107	34073	2
1081940	1193499	2
964	34073	2
68287	935554	2
28209	34073	2
1763524	886293	2
0	756272	2
506	34073	2
101571	1167689	2
40323	34073	2
39645	564420	2
2057741	34073	2
1756149	997883	2
463025	34073	2
640511	34073	2
242619	997883	2
1300342	564420	2
296591	564420	2
1452725	96345	2
76802	34073	2
761659	309807	2
935546	935554	2
2005884	34073	2
674703	1076	2
28144	1016998	2
536019	935554	2
2026199	34073	2
68287	564420	2
1678129	34073	2
743720	34073	2
216591	1167689	2
353	34073	2
488731	34073	2
1891926	991778	2
1176492	34073	2
222	34073	2
2057808	997883	2
316058	34073	2
298654	34073	2
53707	564420	2
0	204669	2
1028801	935554	2
316	564420	2
1045855	34073	2
1500687	564420	2
13690	1235458	1
380	935554	1
1259844	34073	1
1076	34073	1
1842537	564420	1
350701	34073	1
83617	1235458	1
101571	34073	1
1357279	564420	1
2048781	585396	1
907240	637913	1
1736675	34073	1
435897	34073	1
1147786	34073	1
1636610	564420	1
311230	34073	1
985079	34073	1
925818	935554	1
75	509190	1
1117313	997883	1
1649468	34073	1
78327	564420	1
0	488538	1
1123269	34073	1
765698	564420	1
1242091	1016998	1
34004	34073	1
83617	34073	1
392499	34073	1
1076934	997883	1
1163742	637913	1
1721091	997883	1
2109914	34073	1
278153	935554	1
392499	564420	1
376686	997883	1
69	34073	1
1842534	935554	1
85963	637913	1
685040	1016998	1
424182	935554	1
1307	997883	1
1321940	637913	1
160488	1193499	1
1866325	34073	1
584609	997883	1
407	935554	1
518	34073	1
98360	1016998	1
382	34073	1
1331258	34073	1
482957	935554	1
1685010	997883	1
1191062	34073	1
1482074	935554	1
119060	1167689	1
1245469	34073	1
351746	1193499	1
1055527	637913	1
28211	935554	1
335659	1076	1
395495	1235458	1
765964	637913	1
913070	1016998	1
1307833	997883	1
82996	564420	1
1240708	1016998	1
1242097	1016998	1
1632864	34073	1
1259844	564420	1
1702325	935554	1
2072590	34073	1
224471	34073	1
1211579	564420	1
54388	1016998	1
1658665	34073	1
87882	935554	1
1616117	34073	1
1300342	34073	1
111527	564420	1
93221	34073	1
866346	637913	1
119912	1016998	1
0	574556	1
70803	1016998	1
90105	1016998	1
266264	34073	1
59204	1016998	1
1242096	1016998	1
2018065	34073	1
83263	935554	1
180957	34073	1
354	564420	1
318586	935554	1
553814	34073	1
48664	1235458	1
441156	1167689	1
267128	34073	1
103796	564420	1
270351	1076	1
600	1016998	1
311403	935554	1
316055	34073	1
1042878	564420	1
317	564420	1
32008	564420	1
1338011	997883	1
28065	34073	1
596153	34073	1
1792508	935554	1
1416806	34073	1
316	34073	1
1619308	34073	1
517	34073	1
60550	34073	1
1327635	34073	1
522306	34073	1
32002	564420	1
76731	34073	1
76123	997883	1
1173798	1016998	1
305	935554	1
997877	435590	1
1760	653045	1
1250539	34073	1
0	585396	1
153948	935554	1
794846	935554	1
346	1235458	1
384676	564420	1
43	34073	1
694427	997883	1
41294	34073	1
103855	34073	1
102608	637913	1
48296	997883	1
1349767	34073	1
224911	34073	1
316057	34073	1
1644131	34073	1
381666	34073	1
87883	1167689	1
