taxid	truth_taxid	count
9606	9606	11754
1979162	1979162	10000
11191	11191	10000
128	575540	10000
1483724	1483724	10000
120499	120499	10000
1613	1408443	10000
0	132113	9999
0	13735	9999
10335	10335	9996
0	1121405	9995
0	403677	9995
62320	543526	9994
0	331117	9989
300	399739	9974
2208	269797	9968
96345	96345	9964
0	4098	9956
0	670483	9927
0	1043004	9917
0	1442368	9858
0	4113	9840
0	3885	9812
316	1210443	9802
0	936155	9757
0	435591	9749
0	559292	9743
0	39947	9715
0	273121	9695
0	435590	9688
43080	1132497	9650
0	202	9510
0	6500	9367
0	10116	9361
0	13616	9352
0	452637	9327
0	759272	9291
0	546266	9250
0	379508	9218
334856	334856	9135
0	391626	9129
0	318167	9108
0	698965	9094
0	93062	9067
0	13689	9056
39152	267377	9007
0	883092	8926
0	10160	8877
1714619	1714621	8580
0	3055	8356
0	641149	8355
0	30608	8165
0	1193499	7264
729	729	7134
375	1128253	7098
1812934	1329854	6005
1148157	1391912	5978
485	521006	5496
0	585396	5438
0	483219	5085
485	242231	4454
0	516950	4316
257758	516950	3962
34	483219	3349
0	1329854	3283
9606	3055	2603
0	729	2572
1813821	585396	2478
9606	30608	2456
1148157	1148157	2251
0	1128253	2235
1148157	436717	1762
9606	10160	1704
0	1714621	1488
1303	516950	1339
9606	759272	1286
9606	379508	1070
39152	402880	982
9606	6500	958
0	867900	927
0	979	906
9606	13616	860
37554	37554	850
9606	10116	775
485	546266	725
1579	883092	578
0	1334629	547
1499973	585396	500
485	641149	437
495	641149	430
294	1193499	385
1223566	1128253	312
196242	585396	311
564886	585396	311
563769	585396	294
9606	39947	290
9606	559292	280
0	1132497	263
83455	483219	245
83683	883092	244
326523	641149	231
184914	483219	216
1649877	1193499	215
9606	3885	197
71366	71366	196
69218	1329854	183
9606	4113	181
69328	1193499	179
62322	318167	176
1855519	13689	174
1853130	1193499	174
1458307	391626	168
32630	585396	158
332056	13689	156
2066070	13689	151
104087	1193499	149
1719	698965	149
237609	1193499	148
312306	1193499	144
1147150	1147150	143
0	1210443	140
157782	1193499	132
47880	1193499	130
1283291	1193499	120
9606	1442368	119
539	641149	112
1149133	1193499	112
83455	1334629	111
2077137	1329854	110
1579316	391626	109
32630	374840	107
374840	374840	107
2287	1132497	106
53412	1193499	102
200	202	93
1796613	435590	92
2057025	759272	91
1294143	1193499	91
2059264	318167	90
2029986	318167	89
32630	93062	88
300	1193499	86
13690	13689	85
1500686	1193499	83
196	202	81
29384	93062	81
43	483219	80
936054	585396	78
1134687	585396	77
103807	585396	77
414970	585396	76
70863	318167	76
45634	516950	73
47877	1193499	73
320831	93062	73
60480	318167	72
1328	516950	72
1812934	585396	71
1208324	1128253	71
76758	1193499	71
32630	559292	70
146827	698965	69
545	1329854	68
1660365	585396	66
376805	435590	65
221822	391626	65
9606	93062	65
404011	318167	63
1611770	1193499	62
38289	698965	62
283734	93062	61
70255	93062	61
1981164	585396	58
376	1128253	57
