taxid	truth_taxid	count
897	1121405	20000
1613	1408443	14025
9606	9606	11758
562	585396	11291
316	1210443	10296
543526	543526	10000
1979162	1979162	10000
318167	318167	10000
936155	936155	10000
273121	273121	10000
1483724	1483724	10000
391626	391626	10000
11191	11191	10000
120499	120499	10000
452637	452637	10000
435590	435590	10000
575540	575540	10000
10335	10335	10000
0	13735	9995
435591	435591	9995
0	331117	9983
0	403677	9927
399739	399739	9925
269797	269797	9911
0	4098	9879
0	1043004	9854
0	670483	9854
0	4113	9797
0	1442368	9742
1280	93062	9676
0	3885	9667
0	559292	9654
1434109	269797	9557
0	39947	9537
1193499	1193499	9422
231023	1193499	9371
0	10116	9359
0	13616	9329
0	6500	9288
483219	483219	9184
334856	334856	9137
0	379508	9059
267377	267377	8950
0	10160	8846
0	759272	8797
0	202	8681
0	132113	8363
0	30608	8150
1714621	1714621	8032
1313	516950	7929
490	546266	7777
0	3055	7591
0	883092	7285
0	641149	6818
862965	729	6734
96345	96345	6728
1717	698965	6608
375	1128253	6403
550	1329854	6293
0	13689	6078
436717	1391912	5981
485	521006	5252
698965	698965	4976
427317	1132497	4920
488	546266	4868
485	242231	4669
351746	1193499	4624
1812934	1329854	4541
427318	1132497	4477
224911	1128253	4336
516950	516950	4314
1037409	1128253	4300
1452724	96345	3752
996285	1210443	3206
1189310	483219	2947
1355477	1128253	2662
9606	3055	2659
0	1329854	2550
120107	13689	2531
379731	1210443	2500
869216	516950	2454
43080	1132497	2432
9606	30608	2416
436717	1148157	2254
0	729	2190
0	546266	2041
1333849	1329854	2007
1333851	1329854	2007
930945	1132497	1933
0	1128253	1804
436717	436717	1763
419942	1132497	1743
1241935	1132497	1731
300	399739	1721
1562970	132113	1628
429572	1132497	1628
9606	10160	1617
521006	521006	1615
1053692	267377	1562
0	1714621	1559
2025876	435591	1435
439386	1132497	1377
334390	1408443	1356
242231	242231	1269
979	979	1117
9606	759272	1063
867900	867900	1047
528354	521006	1013
9606	379508	986
402880	402880	984
767453	1408443	944
9606	6500	911
37554	37554	850
9606	13616	819
1334629	1334629	770
1587	883092	757
1081940	1193499	755
1579	883092	733
402612	96345	719
39152	267377	713
9606	10116	701
487	641149	689
488	641149	648
490	641149	635
1452725	96345	633
264198	3055	624
1381124	1408443	622
712938	1408443	606
979	867900	562
585396	585396	561
698962	698965	528
698973	698965	525
698968	698965	525
698964	698965	520
257309	698965	498
698972	698965	485
561276	516950	479
1714622	1714621	443
867900	979	435
488222	516950	428
1604	883092	423
644801	1210443	421
301102	1329854	419
1423723	883092	398
46170	93062	370
695562	883092	370
299766	1329854	366
93062	93062	353
698963	698965	351
488221	516950	350
1033837	883092	346
698970	698965	337
698967	698965	329
698966	698965	329
698969	698965	307
1853278	641149	306
698971	698965	303
52242	883092	302
2083052	1193499	296
0	1132497	265
1450520	698965	262
1491	759272	256
158836	1329854	251
727	729	251
2069256	1193499	246
9606	39947	239
485	641149	238
1223566	1128253	238
1296536	1329854	231
546263	641149	224
0	585396	221
1314884	883092	221
303	1193499	220
272621	883092	220
562	1329854	217
9606	559292	212
249188	729	209
652103	1128253	204
2051905	1329854	202
9606	3885	201
1660067	202	198
71366	71366	196
487214	516950	190
485	546266	188
33959	883092	188
487	546266	186
528354	242231	184
1338689	1193499	175
170187	516950	158
655307	641149	157
486	641149	153
573	1329854	151
1244531	202	149
489653	546266	145
1147150	1147150	143
189423	516950	143
1874362	202	141
326523	641149	140
0	1210443	138
489653	641149	136
360104	202	135
1853276	641149	132
9606	4113	130
1150601	1193499	124
0	93062	123
9606	1442368	122
512566	516950	116
83683	883092	114
366602	1128253	110
486	546266	108
160660	3055	108
199	202	107
374840	374840	107
931281	1193499	106
69220	1329854	104
238	10116	99
869269	516950	97
1855519	13689	96
869311	516950	94
1215087	1193499	94
488223	516950	92
76947	13689	91
1315974	13689	90
2287	1132497	89
869312	516950	84
122587	641149	83
497725	1329854	82
187303	1128253	81
360105	202	80
712310	729	79
2027919	1329854	79
61645	1329854	77
880633	883092	76
942513	641149	76
326425	883092	76
305	759272	75
301105	1329854	73
484429	13689	72
547	1329854	72
452662	13689	72
160488	1193499	70
1349767	759272	69
634176	729	66
407020	13689	65
1333850	1329854	65
539	641149	64
861109	13689	63
574093	516950	63
123214	759272	62
28091	641149	62
1596	883092	61
521006	242231	61
1600	883092	61
546	1329854	59
1214242	13689	59
697283	516950	58
195	202	58
690566	13689	57
1868135	1329854	57
208962	585396	57
242231	521006	57
376	1128253	56
28901	1329854	56
35703	1329854	56
767462	883092	56
1507806	202	54
747	729	53
208224	1329854	52
318586	1128253	52
373153	516950	51
171101	516950	50
985002	93062	50
1609977	13689	50
405566	883092	50
1211025	1329854	50
548	1329854	50
956149	1329854	50
1332080	13689	49
91353	202	49
197	202	49
738	729	48
716541	1329854	48
1870930	1329854	48
731	729	48
1380360	883092	47
1334187	729	47
13690	13689	46
732	729	46
1813821	585396	46
1843368	13689	46
324831	883092	45
546263	10116	45
1408186	883092	45
1421338	1329854	45
1812935	1329854	43
1660073	202	43
1915310	1329854	41
9606	1043004	41
9606	4098	41
909954	883092	40
633699	883092	39
869303	516950	39
1	1329854	39
1254432	403677	37
1225786	759272	37
1240086	759272	37
1977566	1329854	37
1763535	1128253	36
444158	267377	36
9606	202	36
754035	1128253	36
745310	13689	35
2059884	3055	35
2057025	759272	34
640513	1329854	34
1031920	202	33
9606	883092	33
257314	883092	32
71421	729	32
1827481	1329854	32
1031754	202	31
1673076	13689	31
335659	1128253	31
1463165	1329854	31
1032069	202	30
2077148	1329854	30
28037	516950	30
1031746	202	29
1032066	202	28
75985	729	28
206	202	28
1560339	1329854	28
1244528	202	28
1208324	1128253	28
208962	1329854	28
588	729	27
109790	883092	27
9606	670483	27
714	729	27
1304873	729	27
1624	883092	27
32022	202	26
1727164	10116	26
1244529	202	26
375175	883092	25
670	729	25
1428	4098	25
402880	267377	24
92645	759272	23
287	287	23
1660064	202	22
522484	202	22
162209	4098	21
426368	267377	21
33050	13689	21
1612551	759272	21
1612552	759272	21
1088721	1128253	21
754	729	21
1031753	202	21
1089444	759272	20
866630	729	20
399739	1210443	20
767456	883092	20
1231725	759272	20
69218	1329854	20
1660074	202	20
1660076	202	20
266117	759272	19
1104326	1329854	19
585034	1329854	18
201	202	18
935588	641149	18
1282356	759272	18
59201	1329854	18
28898	202	18
545	1329854	17
196	202	17
1248915	585396	17
1545702	883092	17
169679	729	17
360107	202	17
672	729	16
221988	729	16
28131	559292	16
