taxid	truth_taxid	count
2208	269797	10000
214	936155	10000
1717	698965	10000
1979162	1979162	10000
11191	11191	10000
56812	318167	10000
821	435590	10000
107709	452637	10000
62320	543526	10000
1613	1408443	10000
1883069	1483724	10000
128	575540	10000
120499	120499	10000
1217908	391626	10000
10335	10335	10000
96345	96345	9999
844	273121	9999
897	1121405	9999
300	399739	9977
1313	516950	9964
1280	93062	9940
562	585396	9846
316	1210443	9752
43080	1132497	9561
303	1193499	9229
2011080	334856	9137
39152	267377	9015
823	435591	8546
1714619	1714621	7786
729	729	6153
33	483219	6094
1148157	1391912	5974
485	521006	5512
485	242231	4463
375	1128253	3768
1148157	1148157	2252
1148157	436717	1761
120107	13689	1722
1812934	1329854	1427
979	867900	1048
979	979	989
39152	402880	985
37554	37554	849
33	1334629	770
550	1329854	710
1355477	1128253	639
248026	3055	624
1604	883092	329
158836	1329854	263
487	641149	247
267818	883092	217
1491	759272	210
1076	1128253	205
71366	71366	196
1853278	641149	187
1579	883092	177
249188	729	176
488	641149	162
495	641149	145
1147150	1147150	139
1587	883092	137
490	641149	133
727	729	117
199	202	116
1208324	1128253	110
187303	1128253	110
374840	374840	107
1223566	1128253	90
655307	641149	83
33959	883092	77
486	641149	76
69220	1329854	70
83683	883092	70
562	1329854	69
2057025	759272	66
326523	641149	66
573	1329854	64
2287	1132497	63
1853276	641149	63
61645	1329854	60
76947	13689	58
1596	883092	54
1855519	13689	54
1315974	13689	54
497725	1329854	53
1965231	202	49
747	729	49
712310	729	43
28091	641149	40
335659	1128253	39
732	729	38
28901	1329854	38
485	641149	38
2051905	1329854	36
407020	13689	36
52242	883092	35
69218	1329854	35
484429	13689	35
1244531	202	33
539	641149	32
208224	1329854	30
13690	13689	30
55508	759272	30
67082	9606	28
1827481	1329854	28
376	1128253	26
198	202	26
200	202	25
300	1210443	25
1296536	1329854	25
1600	883092	24
46429	13689	24
28141	1329854	24
1332080	13689	23
287	287	23
2027919	1329854	23
573	9606	22
109790	883092	21
1843368	13689	21
1673076	13689	20
546	1329854	20
85404	729	20
196	202	20
1624	883092	17
1870930	1329854	16
1914861	1329854	15
1868135	1329854	14
61646	1329854	13
158822	1329854	13
548	1329854	13
34	483219	13
1673428	759272	13
157673	729	13
1349410	6500	13
287	759272	12
114615	1128253	12
35703	1329854	12
115808	1128253	12
67827	1329854	12
35	483219	11
1545702	883092	11
1007105	729	10
545	1329854	10
588	729	10
485	9606	10
2057741	1128253	10
28037	729	10
1907578	1329854	10
197	202	10
332056	13689	10
745310	13689	10
65741	1210443	9
195	202	9
738	729	9
67082	30608	9
47678	729	9
1584	883092	9
1349410	10160	8
419435	6500	8
75985	729	8
206	202	8
158500	13689	8
419435	10116	8
2077137	1329854	8
732	641149	8
549298	729	7
44255	1128253	7
1812935	1329854	7
212663	729	7
754	729	7
1598	883092	7
61647	1329854	7
1405	559292	7
522485	202	7
332055	13689	7
148814	883092	7
1349409	6500	7
1915310	1329854	7
54291	1329854	6
913	1128253	6
627192	13689	6
1581011	202	6
413882	379508	6
1297742	483219	6
67824	1329854	6
28898	202	6
1428	379508	6
573	30608	6
28077	13689	6
584	6500	6
1658672	641149	6
490	546266	6
1338689	1193499	6
1503055	13689	5
201	202	5
374106	202	5
575	1329854	5
470934	1329854	5
1898103	641149	5
554	1329854	5
1434103	10160	5
1560345	13689	5
636	1329854	5
265522	6500	5
912	1128253	5
1126	379508	5
119219	379508	5
2099	10160	5
827	202	4
72	641149	4
28151	1329854	4
69666	13689	4
1692238	1329854	4
672	729	4
1986146	641149	4
75985	10116	4
2025949	641149	4
39960	13689	4
37372	202	4
2188	379508	4
83655	1329854	4
292913	13689	4
1390395	13689	4
301301	759272	4
450378	13689	4
1434100	379508	4
1349409	10116	4
687	729	4
1848580	1329854	4
121719	759272	4
76517	202	4
1076	13689	4
714	729	4
2099	6500	4
375175	883092	4
1464	559292	4
562	559292	4
84531	379508	4
436114	202	4
10401	10116	4
549	559292	4
1147158	1329854	4
47735	729	4
293091	9606	3
1349410	10116	3
721785	1128253	3
208962	1329854	3
562	202	3
2109914	641149	3
1609966	641149	3
93064	13689	3
680279	729	3
497724	202	3
180230	6500	3
435897	9606	3
33934	883092	3
34021	10116	3
1660073	202	3
119219	559292	3
63	641149	3
2066049	1329854	3
205844	13689	3
1603	883092	3
265522	10160	3
1889813	379508	3
1061	13689	3
2109625	1329854	3
1348774	13689	3
97478	883092	3
382	10116	3
39640	9606	3
1432056	729	3
549	1329854	3
198107	641149	3
666686	729	3
29438	759272	3
1349410	30608	3
103690	883092	3
152331	883092	3
1610	883092	3
33050	13689	3
153948	13689	3
260714	202	3
1977566	1329854	3
1163710	1329854	3
208223	1329854	3
51663	883092	3
546367	729	3
351671	729	3
265522	10116	3
573570	641149	3
2069256	1193499	3
1612	883092	3
171437	641149	3
1778262	641149	3
630	9606	3
137591	883092	3
80852	729	3
67780	1329854	3
1938607	13689	3
2059672	641149	3
93378	1329854	3
152682	13689	3
1896196	13689	3
152480	1329854	3
564	729	3
693444	1329854	3
399742	1329854	3
10401	6500	3
194424	202	3
75658	202	3
29471	1329854	3
280	641149	2
39640	10160	2
288000	1128253	2
2016454	379508	2
1805933	1329854	2
413503	1329854	2
1870819	379508	2
171437	13689	2
33033	4113	2
357794	729	2
413497	1329854	2
2112	202	2
291112	729	2
33002	883092	2
403957	883092	2
397865	379508	2
28903	6500	2
1097668	641149	2
1868589	13689	2
397260	13689	2
1823759	641149	2
2042057	1329854	2
1166130	1329854	2
1561	883092	2
2100	10160	2
10279	10116	2
317	759272	2
1334193	1329854	2
1702325	13689	2
279058	39947	2
2028343	13689	2
1349410	13616	2
283686	1329854	2
1465	883092	2
396	13689	2
435897	13689	2
337	641149	2
727	379508	2
777	13689	2
33952	379508	2
1196095	729	2
1882682	13689	2
251749	10116	2
294	641149	2
10317	6500	2
1354	883092	2
1646498	641149	2
94132	13689	2
1108595	641149	2
1138822	883092	2
1993866	883092	2
285091	641149	2
204773	641149	2
292	1128253	2
1348774	641149	2
346	6500	2
1768	13689	2
117207	13689	2
477976	202	2
1463165	1329854	2
184914	483219	2
68570	670483	2
285	641149	2
1030157	13689	2
1396	6500	2
421	641149	2
1663591	13689	2
1870930	641149	2
1520	883092	2
2083052	1193499	2
83455	670483	2
48935	13689	2
95485	641149	2
1327635	13689	2
1349409	379508	2
2049589	13689	2
39766	202	2
42879	202	2
731	729	2
34062	13689	2
1074467	883092	2
1549858	13689	2
927	641149	2
1178482	13689	2
35806	13689	2
10401	10160	2
1631871	883092	2
630	202	2
1283312	13689	2
204042	641149	2
84377	202	2
12315	30608	2
1134435	641149	2
1349410	1442368	2
1896961	641149	2
317	641149	2
585	379508	2
1654582	39947	2
1982042	13689	2
310783	641149	2
1283312	6500	2
1654582	6500	2
279058	641149	2
437505	9606	2
1891675	1329854	2
1267766	13689	2
1920114	1329854	2
1349819	13689	2
339	641149	2
293089	13689	2
48296	1391912	2
511062	641149	2
298657	729	1
1798085	10160	1
80816	641149	1
515256	6500	1
1094342	641149	1
61647	641149	1
1299	641149	1
2188	9606	1
1307	3885	1
1985254	379508	1
294	13689	1
2252	10116	1
279113	13689	1
738	641149	1
2077148	1329854	1
1236179	641149	1
110321	13689	1
1076	759272	1
1580580	13616	1
53399	9606	1
1125847	13689	1
259537	641149	1
290053	435591	1
2048897	6500	1
419435	1442368	1
29498	729	1
1295	883092	1
1842727	13689	1
47880	641149	1
330	641149	1
1821621	641149	1
644	10160	1
1434100	559292	1
193	1128253	1
43	483219	1
2005469	379508	1
1759437	641149	1
309868	10160	1
366602	641149	1
91844	1043004	1
532078	10160	1
1638	883092	1
39960	30608	1
121719	13689	1
1707785	641149	1
9	13616	1
2188	10116	1
450	729	1
47880	1193499	1
2209	3885	1
750	729	1
138184	1442368	1
47917	1329854	1
364317	10116	1
138184	10160	1
486	521006	1
44742	6500	1
1414739	559292	1
76123	6500	1
714	883092	1
55601	641149	1
47834	10160	1
75985	10160	1
294	13616	1
1971364	641149	1
75985	883092	1
54252	10116	1
1778540	13616	1
174	379508	1
2006110	13689	1
83984	6500	1
480	729	1
208013	6500	1
265522	13616	1
1921510	13689	1
2001	13689	1
273376	6500	1
326544	729	1
1582	883092	1
1536769	13616	1
680	6500	1
2047	641149	1
545	729	1
146015	10160	1
1336	6500	1
960	6500	1
906669	1329854	1
1729720	202	1
346	1043004	1
204038	1329854	1
754	641149	1
292800	13616	1
9	4113	1
1625	883092	1
2188	13616	1
2107	10116	1
668	729	1
73141	759272	1
1589	883092	1
2756	883092	1
584	10116	1
1972431	1329854	1
556287	30608	1
1851505	379508	1
930166	1210443	1
47834	39947	1
182337	641149	1
1842535	13689	1
146939	641149	1
983548	10116	1
399	13689	1
384	13689	1
1907578	641149	1
34073	13689	1
39640	6500	1
2107	10160	1
187304	641149	1
470	10160	1
511	6500	1
2067572	1210443	1
1206	6500	1
1769	10160	1
361183	13689	1
547188	10116	1
216465	641149	1
204042	729	1
29303	641149	1
2005703	202	1
562	1442368	1
367825	1442368	1
1031542	202	1
1270	483219	1
1207075	641149	1
28037	516950	1
60552	641149	1
1235591	1128253	1
138072	729	1
1458425	641149	1
1986224	202	1
2116657	641149	1
1640	883092	1
273376	39947	1
92947	13689	1
170861	13616	1
2006	1043004	1
95486	13689	1
1363	883092	1
317858	10116	1
1158459	641149	1
103816	13689	1
10371	3885	1
33052	13689	1
93378	379508	1
197	729	1
296	641149	1
114616	1128253	1
29291	10160	1
2187	10116	1
29288	559292	1
382	6500	1
1207075	1193499	1
1434103	10116	1
1196083	641149	1
76759	641149	1
220697	13689	1
562	10160	1
1131707	10160	1
1434100	3885	1
29485	729	1
1608255	30608	1
147645	13689	1
1136024	6500	1
1646	641149	1
57372	13616	1
288000	641149	1
146015	13616	1
91844	379508	1
1077935	13689	1
28197	202	1
881	641149	1
158899	6500	1
376489	641149	1
1324350	729	1
57975	10116	1
34073	641149	1
2209	10160	1
487	242231	1
2005461	202	1
1660064	202	1
54736	1329854	1
1219	30608	1
1434103	6500	1
511	641149	1
585	883092	1
1769	6500	1
670	10116	1
584	10160	1
1442136	641149	1
1536775	883092	1
146015	6500	1
39640	30608	1
2099	10116	1
229545	10116	1
1903694	379508	1
562	379508	1
28077	641149	1
147709	883092	1
37734	883092	1
37330	641149	1
229545	39947	1
486	242231	1
674	729	1
283734	93062	1
1285594	30608	1
1502	729	1
1357916	13689	1
712270	759272	1
1601	883092	1
263819	1329854	1
75612	1193499	1
472175	13689	1
1408894	379508	1
1396	379508	1
655015	13689	1
542	1043004	1
10345	6500	1
382	13689	1
11	670483	1
51229	641149	1
38293	729	1
1898474	10116	1
1906741	641149	1
313985	379508	1
58049	10160	1
413502	1329854	1
1678078	10160	1
396595	641149	1
40576	641149	1
1805933	379508	1
290053	6500	1
1405	759272	1
157673	641149	1
1938334	641149	1
213	202	1
83455	483219	1
1469502	641149	1
74829	1210443	1
52584	6500	1
271097	641149	1
1851544	641149	1
39640	13616	1
2096	883092	1
488546	202	1
216142	641149	1
32025	202	1
1428	6500	1
134821	13616	1
10335	3885	1
1219	1043004	1
242600	1329854	1
2208	6500	1
47834	13616	1
2100	30608	1
419435	1043004	1
29484	1329854	1
251701	1193499	1
1930	13689	1
316	1193499	1
75985	30608	1
1917485	13689	1
170861	10160	1
615	1329854	1
1007676	883092	1
2083051	379508	1
1750712	39947	1
370405	641149	1
44742	10116	1
197	10160	1
34021	6500	1
1294143	1193499	1
1491	1442368	1
983548	9606	1
1193095	883092	1
748280	641149	1
1295	729	1
146015	30608	1
1038856	883092	1
267128	13689	1
630	10116	1
2042057	10160	1
10401	1442368	1
28131	6500	1
1491	4113	1
2209	6500	1
630	6500	1
424182	641149	1
380	10116	1
1328	883092	1
52584	10160	1
1428	30608	1
87541	883092	1
1125847	641149	1
645517	13689	1
192812	13689	1
1660076	202	1
1348	883092	1
1408281	6500	1
1408281	10116	1
1249553	641149	1
1332080	1128253	1
135487	13689	1
364317	6500	1
85698	10116	1
158327	641149	1
307461	4113	1
2188	6500	1
28031	883092	1
204039	1442368	1
1082851	10116	1
2058135	6500	1
1314	883092	1
190721	1128253	1
158836	1210443	1
1283312	3885	1
985762	6500	1
39645	1128253	1
1675865	6500	1
69666	10160	1
587753	641149	1
528244	13689	1
1850238	13689	1
730	729	1
2036817	641149	1
173	10160	1
63745	641149	1
1597	883092	1
630	1329854	1
1898684	1210443	1
212035	379508	1
59277	10160	1
271065	641149	1
29288	10116	1
220697	641149	1
34085	10116	1
1262452	759272	1
208962	585396	1
1445505	759272	1
1281	883092	1
727	6500	1
648999	6500	1
1763535	13689	1
29498	1442368	1
703	13616	1
573	10160	1
1358	379508	1
1428	10160	1
375	13689	1
419435	10160	1
28304	39947	1
1620215	641149	1
29471	13616	1
716	729	1
552	1329854	1
34003	13689	1
1307	10116	1
1581	883092	1
443144	641149	1
2105	39947	1
2058135	13616	1
316	1329854	1
296	1329854	1
1680	641149	1
262177	10160	1
283686	379508	1
715	729	1
1280	559292	1
40324	641149	1
251749	6500	1
2371	1442368	1
1609977	13689	1
28903	13616	1
185008	883092	1
392416	883092	1
129338	641149	1
180230	13616	1
92645	641149	1
1252	883092	1
419435	13616	1
1758178	641149	1
33964	883092	1
1561	6500	1
68570	1442368	1
391036	10160	1
38027	379508	1
1933220	13616	1
294671	10160	1
2208	10116	1
633	6500	1
412384	883092	1
264691	883092	1
1131707	10116	1
1903686	883092	1
1322	883092	1
336486	6500	1
2128	39947	1
985782	13616	1
1961362	13689	1
40324	1193499	1
210	6500	1
1469502	39947	1
1082851	13689	1
1358	883092	1
2077182	13689	1
759620	883092	1
1010	1442368	1
61652	13689	1
573	759272	1
284016	13689	1
1349409	13616	1
380	6500	1
132919	39947	1
10401	30608	1
444103	13689	1
82541	13689	1
84378	10160	1
