taxid	truth_taxid	count
2208	269797	10000
214	936155	10000
1717	698965	10000
1979162	1979162	10000
11191	11191	10000
56812	318167	10000
844	273121	10000
821	435590	10000
107709	452637	10000
1613	1408443	10000
1883069	1483724	10000
128	575540	10000
62320	543526	10000
120499	120499	10000
1217908	391626	10000
10335	10335	10000
96345	96345	9999
897	1121405	9998
300	399739	9976
1313	516950	9961
1280	93062	9941
562	585396	9848
316	1210443	9740
43080	1132497	9565
303	1193499	9229
2011080	334856	9137
39152	267377	9015
823	435591	8550
1714619	1714621	7689
729	729	6168
33	483219	6105
1148157	1391912	5974
485	521006	5515
485	242231	4465
375	1128253	3779
1148157	1148157	2253
1148157	436717	1761
120107	13689	1698
1812934	1329854	1432
979	867900	1048
979	979	989
39152	402880	985
37554	37554	850
33	1334629	770
550	1329854	706
248026	3055	624
1355477	1128253	623
1604	883092	334
487	641149	258
158836	1329854	256
1491	759272	233
267818	883092	213
1076	1128253	206
71366	71366	196
249188	729	171
1579	883092	167
1853278	641149	165
488	641149	160
495	641149	151
490	641149	141
1587	883092	140
1223566	1128253	139
1147150	1147150	137
727	729	133
1208324	1128253	111
187303	1128253	111
374840	374840	107
199	202	103
655307	641149	90
33959	883092	76
1853276	641149	73
83683	883092	73
573	1329854	72
486	641149	67
69220	1329854	67
562	1329854	66
326523	641149	66
1965231	202	64
2057025	759272	64
61645	1329854	62
1855519	13689	61
2287	1132497	60
497725	1329854	60
76947	13689	55
1596	883092	55
1315974	13689	52
747	729	50
732	729	44
531813	759272	42
69218	1329854	39
335659	1128253	39
13690	13689	39
485	641149	39
376	1128253	36
52242	883092	36
712310	729	36
28901	1329854	35
484429	13689	33
407020	13689	33
2051905	1329854	32
67082	9606	31
539	641149	31
1827481	1329854	29
1244531	202	28
1600	883092	28
28091	641149	28
208224	1329854	28
198	202	27
28141	1329854	27
546	1329854	25
1296536	1329854	25
55508	759272	25
1843368	13689	25
1332080	13689	24
548	1329854	24
300	1210443	24
200	202	24
287	287	23
2027919	1329854	23
573	9606	21
46429	13689	20
109790	883092	19
1624	883092	19
196	202	18
1673076	13689	17
85404	729	17
1914861	1329854	15
1349410	6500	15
627192	13689	13
1673428	759272	13
332056	13689	13
157673	729	13
745310	13689	13
114615	1128253	12
1868135	1329854	12
35	483219	12
35703	1329854	12
67827	1329854	12
158822	1329854	11
1870930	1329854	11
2057741	1128253	11
34	483219	11
197	202	11
67082	30608	11
1545702	883092	11
61646	1329854	10
545	1329854	10
588	729	10
485	9606	10
2077137	1329854	10
65741	1210443	9
75985	729	9
158822	729	9
1584	883092	9
1907578	1329854	9
158500	13689	9
72	641149	8
1598	883092	8
61647	1329854	8
40577	559292	8
206	202	8
1349409	6500	8
549298	729	7
212663	729	7
39640	6500	7
1405	559292	7
522485	202	7
332055	13689	7
738	729	7
148814	883092	7
1915310	1329854	7
732	641149	7
1349410	10160	6
1349410	10116	6
54291	1329854	6
2066049	1329854	6
913	1128253	6
1812935	1329854	6
1581011	202	6
1432056	729	6
223967	13689	6
1589	559292	6
28077	13689	6
419435	10116	6
1126	379508	6
490	546266	6
1338689	1193499	6
39640	10160	5
1503055	13689	5
419435	6500	5
287	759272	5
413882	379508	5
374106	202	5
1297742	483219	5
119219	559292	5
575	1329854	5
1349410	30608	5
636	1329854	5
195	202	5
1295	729	5
265522	6500	5
584	6500	5
39640	559292	5
119219	379508	5
1147158	1329854	5
1658672	641149	5
2099	10160	5
1961362	13689	5
827	202	4
93064	13689	4
1692238	1329854	4
1986146	641149	4
2025949	641149	4
28903	6500	4
470934	1329854	4
1898103	641149	4
67824	1329854	4
33052	13689	4
1334193	1329854	4
37372	202	4
2188	379508	4
292913	13689	4
1390395	13689	4
301301	759272	4
1434100	379508	4
28141	729	4
28898	202	4
687	729	4
1848580	1329854	4
1428	379508	4
1977566	1329854	4
76517	202	4
1076	13689	4
714	729	4
546367	729	4
351671	729	4
2099	6500	4
1464	559292	4
562	559292	4
67780	1329854	4
436114	202	4
10401	10116	4
152480	1329854	4
2049589	641149	4
114616	1128253	4
554	1329854	4
293091	9606	3
721785	1128253	3
208962	1329854	3
28151	1329854	3
562	202	3
2109914	641149	3
443144	641149	3
1609966	641149	3
152331	883092	3
201	202	3
76936	202	3
754	729	3
435897	9606	3
33934	883092	3
34021	10116	3
1660073	202	3
2006110	13689	3
39960	13689	3
1625	883092	3
265522	10160	3
1823759	641149	3
1061	13689	3
55208	1329854	3
2109625	1329854	3
284016	13689	3
2100	10160	3
693444	1329854	3
1348774	13689	3
83655	1329854	3
97478	883092	3
2005461	202	3
382	10116	3
39640	9606	3
294	641149	3
198107	641149	3
1889813	379508	3
666686	729	3
29438	759272	3
1610	883092	3
1089444	1329854	3
153948	13689	3
260714	202	3
680279	729	3
121719	759272	3
1163710	1329854	3
1639108	729	3
2083052	1193499	3
573	30608	3
1349409	379508	3
265522	10116	3
573570	641149	3
171437	641149	3
1778262	641149	3
630	9606	3
137591	883092	3
80852	729	3
912	1128253	3
75985	10116	3
1938607	13689	3
93378	1329854	3
1896196	13689	3
1283312	13689	3
2059672	641149	3
194424	202	3
75658	202	3
399742	1329854	3
29471	1329854	3
280	641149	2
288000	1128253	2
1870819	379508	2
171437	13689	2
672	729	2
180230	6500	2
2069256	1193499	2
2112	202	2
291112	729	2
76123	6500	2
63	641149	2
1603	883092	2
403957	883092	2
397865	379508	2
1318	883092	2
1478	729	2
364317	10160	2
1097668	641149	2
346	6500	2
1868589	13689	2
397260	13689	2
34073	13689	2
2067572	1210443	2
413503	1329854	2
1702325	13689	2
2042057	1329854	2
1166130	1329854	2
1561	883092	2
10371	3885	2
303	641149	2
279058	39947	2
2028343	13689	2
1465	883092	2
396	13689	2
1077935	13689	2
435897	13689	2
337	641149	2
777	13689	2
1434103	10160	2
33952	379508	2
1196095	729	2
1882682	13689	2
251749	10116	2
10317	6500	2
1354	883092	2
1646498	641149	2
94132	13689	2
731	729	2
1601	883092	2
1108595	641149	2
1560345	13689	2
1138822	883092	2
1993866	883092	2
204773	641149	2
292	1128253	2
1348774	641149	2
584	10116	2
1768	13689	2
251749	30608	2
117207	13689	2
103690	883092	2
477976	202	2
33050	13689	2
1463165	1329854	2
184914	483219	2
85698	1442368	2
68570	670483	2
285	641149	2
1030157	13689	2
208223	1329854	2
1396	6500	2
51663	883092	2
10401	6500	2
1663591	13689	2
424182	641149	2
1520	883092	2
33970	883092	2
83455	670483	2
48935	13689	2
95485	641149	2
1660076	202	2
703	1329854	2
1612	883092	2
42879	202	2
562	1043004	2
1898684	1210443	2
1074467	883092	2
1262452	759272	2
1063	13689	2
927	641149	2
1920114	1329854	2
1281	883092	2
35806	13689	2
28251	10160	2
1631871	883092	2
1581	883092	2
152682	13689	2
40324	641149	2
251749	6500	2
1288	379508	2
204042	641149	2
84377	202	2
12315	30608	2
1134435	641149	2
1349410	1442368	2
317	641149	2
470	1391912	2
279058	641149	2
437505	9606	2
1267766	13689	2
1349819	13689	2
380	6500	2
339	641149	2
1031542	202	2
317	759272	2
511062	641149	2
2024580	641149	1
54736	1329854	1
298657	729	1
1798085	10160	1
985782	13616	1
1094342	641149	1
2188	9606	1
294	13689	1
74313	13689	1
680	6500	1
738	641149	1
2077148	1329854	1
1236179	641149	1
94132	641149	1
2016454	379508	1
110321	13689	1
1076	759272	1
655015	13689	1
53399	9606	1
1288494	641149	1
1125847	13689	1
259537	641149	1
290053	435591	1
2048897	6500	1
69666	13689	1
419435	1442368	1
1295	883092	1
1842727	13689	1
261302	641149	1
330	641149	1
47880	641149	1
93222	641149	1
33033	4113	1
74829	1210443	1
410330	30608	1
2005469	379508	1
497724	202	1
1759437	641149	1
60552	641149	1
309868	10160	1
587753	483219	1
2098	883092	1
28304	10160	1
413497	1329854	1
1707785	641149	1
9	13616	1
187452	883092	1
1301279	1442368	1
29430	729	1
1591088	202	1
2209	3885	1
750	729	1
138184	1442368	1
1602	883092	1
303	1210443	1
94624	1329854	1
364317	10116	1
138184	10160	1
1560339	1329854	1
1428	10160	1
44742	6500	1
1414739	559292	1
1933220	6500	1
55601	641149	1
47834	10160	1
75985	10160	1
294	13616	1
1692238	641149	1
1221500	39947	1
1411902	670483	1
54252	10116	1
33002	883092	1
1778540	13616	1
174	379508	1
637971	883092	1
54289	10116	1
205844	13689	1
881	641149	1
392416	883092	1
118323	10160	1
208013	6500	1
279113	13689	1
1921510	13689	1
2001	13689	1
273376	6500	1
1582	883092	1
54289	10160	1
1896961	641149	1
2047	641149	1
146015	10160	1
1336	6500	1
83984	1442368	1
960	6500	1
906669	1329854	1
1697053	641149	1
1729720	202	1
1428	13616	1
1508404	883092	1
346	1043004	1
550	641149	1
204038	1329854	1
309868	6500	1
45658	6500	1
2107	10116	1
1589	883092	1
2756	883092	1
1972431	1329854	1
419435	1043004	1
1851505	379508	1
930166	1210443	1
1842535	13689	1
511	1442368	1
146939	641149	1
983548	10116	1
399	13689	1
384	13689	1
2107	10160	1
470	10160	1
1274631	1128253	1
727	30608	1
511	6500	1
69	13689	1
361183	13689	1
1428	6500	1
249188	641149	1
216465	641149	1
754	641149	1
204042	729	1
1235591	13689	1
29303	641149	1
2005703	202	1
562	1442368	1
73141	759272	1
242600	379508	1
1270	483219	1
1207075	641149	1
46234	13616	1
1235591	1128253	1
1986224	202	1
692370	13689	1
11103	10160	1
10279	10116	1
170861	13616	1
2006	1043004	1
95486	13689	1
10353	6500	1
103816	13689	1
83984	6500	1
34085	10160	1
93378	379508	1
197	729	1
157673	641149	1
296	641149	1
1176587	729	1
29291	10160	1
2187	10116	1
32002	641149	1
29288	559292	1
382	6500	1
1207075	1193499	1
1971364	641149	1
1196083	641149	1
76759	641149	1
220697	13689	1
554	585396	1
1131707	10160	1
1434100	3885	1
528244	13689	1
1349410	13616	1
29485	729	1
573	10160	1
147645	13689	1
1136024	6500	1
1335048	13689	1
351091	13616	1
288000	641149	1
9	39947	1
92945	13689	1
146015	13616	1
91844	379508	1
1351	883092	1
28197	202	1
9	4113	1
158899	6500	1
376489	641149	1
1324350	729	1
34073	641149	1
29471	641149	1
592316	1329854	1
2209	10160	1
244366	1329854	1
138072	729	1
1660064	202	1
2025333	30608	1
1358	6500	1
1219	30608	1
1434103	6500	1
511	641149	1
170861	759272	1
585	883092	1
240427	883092	1
670	10116	1
584	10160	1
1442136	641149	1
146015	6500	1
29288	1442368	1
1842534	13689	1
229545	10116	1
1903694	379508	1
562	379508	1
28077	641149	1
907191	6500	1
1805933	729	1
147709	883092	1
229545	39947	1
283734	93062	1
1285594	30608	1
1502	729	1
1515612	13689	1
712270	759272	1
549	1329854	1
75612	1193499	1
2066051	641149	1
472175	13689	1
1408894	379508	1
2371	379508	1
1580580	13616	1
10345	6500	1
11	670483	1
2209	379508	1
51229	641149	1
38293	729	1
1898474	10116	1
1906741	641149	1
1219	1043004	1
313985	379508	1
61651	641149	1
1678078	10160	1
396595	641149	1
40576	641149	1
1805933	379508	1
290053	6500	1
1206	6500	1
1938334	641149	1
213	202	1
83455	483219	1
1469502	641149	1
1326	883092	1
121719	13689	1
52584	6500	1
271097	641149	1
1851544	641149	1
477680	6500	1
39640	13616	1
441209	13689	1
216142	641149	1
32025	202	1
1349409	10116	1
547188	10116	1
134821	13616	1
242600	1329854	1
413502	1329854	1
47834	13616	1
1644131	6500	1
671990	1329854	1
1690815	641149	1
1493	10160	1
251701	1193499	1
1930	13689	1
1920772	30608	1
1654582	39947	1
1778540	10116	1
316	1193499	1
75985	30608	1
1577791	39947	1
1622118	883092	1
1917485	13689	1
615	1329854	1
1007676	883092	1
2083051	379508	1
1750712	39947	1
370405	641149	1
44742	10116	1
1423	883092	1
34021	6500	1
1294143	1193499	1
1491	1442368	1
50292	10116	1
1193095	883092	1
146015	30608	1
1038856	883092	1
267128	13689	1
61647	641149	1
28131	6500	1
421	641149	1
204042	559292	1
1491	4113	1
380	10160	1
121719	641149	1
1673076	1128253	1
2095	39947	1
91844	1043004	1
546367	1329854	1
380	10116	1
1328	883092	1
52584	10160	1
87541	883092	1
1125847	641149	1
11103	10116	1
645517	13689	1
192812	13689	1
1348	883092	1
1332080	1128253	1
135487	13689	1
364317	6500	1
85698	10116	1
1536775	883092	1
158327	641149	1
307461	4113	1
2188	6500	1
28031	883092	1
204039	1442368	1
1082851	10116	1
47880	1193499	1
2058135	6500	1
1314	883092	1
1173025	10116	1
190721	1128253	1
158836	1210443	1
1283312	3885	1
985762	6500	1
77551	3885	1
39645	1128253	1
69666	10160	1
996	10116	1
257708	13689	1
587753	641149	1
1423	483219	1
1850238	13689	1
85655	3885	1
375175	883092	1
2036817	641149	1
63745	641149	1
1134687	1329854	1
1536769	13616	1
630	1329854	1
212035	379508	1
28903	10116	1
69218	641149	1
29288	10116	1
34085	10116	1
562	13616	1
1549858	13689	1
2151	39947	1
1117645	39947	1
272131	379508	1
1445505	759272	1
84531	379508	1
727	6500	1
648999	6500	1
1178482	13689	1
1763535	13689	1
29498	1442368	1
80816	641149	1
1898684	399739	1
375	13689	1
419435	10160	1
76853	729	1
1897087	1714621	1
29471	13616	1
10401	10160	1
389348	6500	1
1638	883092	1
34003	13689	1
1307	10116	1
1940762	10116	1
2105	39947	1
2058135	13616	1
1805714	10160	1
715	729	1
1280	559292	1
2371	1442368	1
28903	13616	1
185008	883092	1
28871	6500	1
1357916	13689	1
55518	641149	1
180230	13616	1
1358	883092	1
314722	13689	1
1252	883092	1
1434100	10160	1
419435	13616	1
33964	883092	1
68570	1442368	1
84378	10116	1
45658	13616	1
294671	10160	1
2099789	883092	1
283686	1329854	1
1926	6500	1
2208	10116	1
141451	729	1
412384	883092	1
264691	883092	1
488546	202	1
10279	6500	1
1457153	202	1
1903686	883092	1
2100	6500	1
1982042	13689	1
1322	883092	1
336486	6500	1
2128	39947	1
2099	4113	1
2025808	10116	1
40324	1193499	1
210	6500	1
1469502	39947	1
1654582	6500	1
1082851	13689	1
1891675	1329854	1
29484	1329854	1
759620	883092	1
61652	13689	1
29549	13689	1
380	13689	1
1349409	13616	1
280	1128253	1
132919	39947	1
10401	30608	1
1620215	641149	1
2209	6500	1
47735	729	1
444103	13689	1
84378	10160	1
