taxid	truth_taxid	count
375288	435591	10000
1883068	1483724	10000
39744	1979162	10000
286	1193499	10000
121871	543526	10000
1716	698965	10000
209	936155	10000
178440	452637	10000
2207	269797	10000
10319	10335	10000
816	435590	10000
1578	1408443	10000
53945	391626	10000
22	318167	10000
186938	11191	10000
843	273121	10000
1301	516950	10000
127	575540	10000
237	96345	9999
896	1121405	9999
1279	93062	9993
286	399739	9977
561	585396	9901
286	1210443	9817
2284	1132497	9636
32	483219	9230
2184	267377	9015
186458	1714621	7640
374	1128253	7069
547	1329854	6855
724	729	6526
482	546266	6513
469	1391912	5983
482	521006	5520
482	242231	4480
469	1148157	2254
165695	13689	2155
469	436717	1763
482	641149	1704
1578	883092	1502
40323	334856	1199
104264	867900	1048
104264	979	989
2184	402880	985
2169654	37554	849
32	1334629	770
106589	3055	624
194	202	391
1485	759272	214
1073	1128253	202
338	334856	153
186765	1147150	139
133	1128253	108
1910954	374840	107
570	1329854	82
107	759272	67
875170	1128253	64
1330545	1329854	56
1330547	1329854	53
561	1329854	51
745	729	51
13687	13689	48
544	1329854	43
416916	729	38
1279	71366	36
590	1329854	32
538	641149	28
29580	759272	24
75984	729	23
286	287	23
413496	1329854	22
2060084	6500	21
662	729	21
286	641149	20
570	9606	18
635	1329854	16
165697	13689	14
697331	729	14
911	1128253	11
2093	10160	11
482	9606	11
122277	1329854	11
2060084	10116	11
158483	729	10
262	729	10
286	759272	10
1301	729	10
305976	729	9
10483	6500	9
586	729	9
2093	6500	9
158483	1329854	8
57665	202	8
219181	641149	8
71	641149	7
416916	641149	7
570	30608	7
32008	641149	7
1301	883092	7
626	559292	7
1041	13689	6
1386	559292	6
186765	1329854	6
511678	729	6
2207	10160	6
46255	883092	6
1578	559292	6
10483	10116	6
1073	13689	6
1295327	13689	6
10	729	6
583	6500	6
10483	10160	5
1386	729	5
10485	559292	5
209	202	5
1060	13689	5
32008	13689	5
1125	379508	5
10485	10160	5
1279	883092	5
2184	379508	5
106589	559292	5
1330546	1329854	5
10485	6500	5
68	379508	5
379	13689	5
2094023	729	5
204037	641149	5
75	13689	5
963	641149	5
561	559292	4
1485	883092	4
629	729	4
626	729	4
1243	883092	4
2093	10116	4
2060084	30608	4
165696	13689	4
841	759272	4
2060084	379508	4
416	641149	4
1883	1329854	4
893	641149	4
1386	379508	4
1386	202	4
106589	379508	4
57665	729	4
32008	1329854	4
547	641149	4
469	202	4
2207	379508	4
2184	6500	3
150247	883092	3
816	729	3
535	641149	3
28250	10160	3
262	641149	3
34019	10116	3
361177	13689	3
338	6500	3
2093	9606	3
10485	9606	3
914	13689	3
293088	13689	3
171436	641149	3
1386	6500	3
110456	6500	3
68	9606	3
780	202	3
212790	202	3
548689	10160	3
12916	1128253	3
12914	1132497	3
28105	13689	3
28105	10116	3
2093	39947	3
172653	10116	3
1543705	13689	3
561	729	3
629	9606	3
59	641149	3
68	13689	3
1298	641149	3
204037	1329854	3
713	729	3
1350	883092	3
13687	6500	2
12916	13689	2
75	641149	2
202907	39947	2
543311	4113	2
872	10116	2
214906	729	2
55080	883092	2
545865	202	2
2060084	1442368	2
109262	641149	2
1883	670483	2
561	379508	2
40323	641149	2
469	641149	2
48075	641149	2
10294	6500	2
32	670483	2
186650	13689	2
33969	883092	2
13134	13689	2
34008	13689	2
629	6500	2
613	641149	2
171436	13689	2
28209	13689	2
2093	13616	2
2093	202	2
84406	883092	2
29521	202	2
399320	10116	2
279	641149	2
265	13689	2
2060084	10160	2
2184	202	2
33951	379508	2
548689	10116	2
568987	729	2
890	641149	2
2207	3885	2
2060084	13616	2
181086	10116	2
558016	10160	2
568	729	2
44249	379508	2
1883	759272	2
583	379508	2
202746	202	2
1111	13689	2
67572	729	2
222	1442368	2
583	10116	2
106589	641149	2
2192	6500	2
1386	883092	2
29487	729	2
34084	10116	2
2745	13689	2
59753	641149	2
286	13689	2
2184	10116	2
414371	13689	2
482	729	2
10260	6500	2
10483	13616	2
1193503	729	2
1813	641149	2
92944	13689	2
32008	6500	2
129577	641149	2
561	1043004	2
397864	379508	2
1218	30608	1
1073	759272	1
165695	1128253	1
1298	13689	1
1279	379508	1
459786	13616	1
264688	883092	1
1243	670483	1
52972	641149	1
76831	379508	1
1883	379508	1
2184	13616	1
54251	10116	1
28065	13689	1
1485	6500	1
2160	6500	1
548689	30608	1
1186	202	1
838	39947	1
379	10116	1
44249	883092	1
191	13689	1
106589	13689	1
548689	13616	1
34019	6500	1
2207	559292	1
568	1329854	1
28453	6500	1
416916	883092	1
810	202	1
2207	13616	1
1434046	641149	1
662	10116	1
476528	729	1
11102	10116	1
10278	10116	1
149698	641149	1
548689	9606	1
2207	6500	1
1578	10160	1
963	1329854	1
1707	670483	1
181086	30608	1
191	1128253	1
1485	10160	1
12304	30608	1
1205	6500	1
