taxid	truth_taxid	count
1578	1408443	10000
375288	435591	10000
1883068	1483724	10000
39744	1979162	10000
1301	516950	10000
286	1193499	10000
843	273121	10000
121871	543526	10000
1716	698965	10000
178440	452637	10000
2207	269797	10000
209	936155	10000
10319	10335	10000
816	435590	10000
53945	391626	10000
22	318167	10000
186938	11191	10000
127	575540	10000
237	96345	9999
896	1121405	9996
1279	93062	9993
286	399739	9977
561	585396	9899
286	1210443	9811
2284	1132497	9644
32	483219	9230
2184	267377	9015
186458	1714621	7494
374	1128253	6935
547	1329854	6861
482	546266	6637
724	729	6547
469	1391912	5983
482	521006	5520
482	242231	4480
469	1148157	2254
165695	13689	2145
469	436717	1763
482	641149	1697
1578	883092	1515
40323	334856	1183
104264	867900	1048
104264	979	989
2184	402880	985
2169654	37554	850
32	1334629	770
106589	3055	624
194	202	374
1485	759272	213
1073	1128253	198
338	334856	150
186765	1147150	137
875170	1128253	113
133	1128253	108
1910954	374840	107
570	1329854	76
107	759272	64
1330547	1329854	51
1330545	1329854	50
13687	13689	45
544	1329854	44
745	729	41
416916	729	37
1279	71366	36
561	1329854	35
590	1329854	32
75984	729	25
2060084	6500	25
29580	759272	24
286	287	23
570	9606	23
538	641149	22
286	641149	19
413496	1329854	18
286	759272	16
635	1329854	16
697331	729	14
1747777	759272	13
662	729	13
122277	1329854	12
10483	6500	11
2094023	729	11
482	9606	11
262	729	10
2060084	10160	10
1301	729	10
2060084	10116	10
158483	729	9
165696	13689	9
57665	202	9
2093	10160	9
2093	6500	9
816	729	9
209	202	8
158483	1329854	8
32008	13689	8
10483	10116	8
2207	379508	8
626	559292	8
214906	729	7
46255	883092	7
71	641149	7
570	30608	7
10485	6500	7
1295327	13689	7
586	729	7
547	641149	7
1386	559292	6
416916	641149	6
1279	883092	6
379	13689	6
1578	559292	6
407	13689	6
1543705	13689	6
219181	641149	6
911	1128253	5
1386	729	5
629	729	5
165697	13689	5
186765	1329854	5
2207	10160	5
1060	13689	5
2060084	30608	5
361177	13689	5
1125	379508	5
1330546	1329854	5
106589	559292	5
10485	559292	5
106589	379508	5
1301	883092	5
963	641149	5
583	6500	5
1350	883092	5
1279	729	5
1041	13689	4
2093	10116	4
476528	729	4
561	559292	4
1485	883092	4
227873	759272	4
28105	10116	4
10485	10160	4
416	641149	4
893	641149	4
68	379508	4
1386	202	4
212790	202	4
172653	10116	4
1073	13689	4
469	202	4
75	13689	4
141450	729	4
2060084	379508	4
10483	10160	3
568	1329854	3
150247	883092	3
626	729	3
10294	6500	3
33057	641149	3
511678	729	3
262	641149	3
1186	379508	3
1177	883092	3
172653	6500	3
20	13689	3
2093	9606	3
10485	9606	3
265	13689	3
914	13689	3
293088	13689	3
171436	641149	3
1386	6500	3
68	9606	3
12916	1128253	3
890	641149	3
780	202	3
561	202	3
1906657	641149	3
32008	641149	3
68	13689	3
561	729	3
629	9606	3
28231	641149	3
75984	10116	3
204037	641149	3
535	641149	3
1111	13689	3
204037	1329854	3
85	13689	3
59	641149	3
10483	13616	3
13687	6500	2
12916	13689	2
629	202	2
181086	30608	2
55080	883092	2
872	10116	2
181086	6500	2
1755829	379508	2
545865	202	2
662	10116	2
338	641149	2
2184	6500	2
2207	6500	2
109262	641149	2
1243	883092	2
475	13689	2
10260	6500	2
469	641149	2
12304	30608	2
482	729	2
32	670483	2
724	379508	2
28250	10160	2
186650	13689	2
13134	13689	2
2184	202	2
613	641149	2
171436	13689	2
28209	13689	2
2093	202	2
29521	202	2
568	641149	2
2184	379508	2
635	641149	2
338	6500	2
2060084	1442368	2
33951	379508	2
568987	729	2
1193503	729	2
2060084	13616	2
2039639	883092	2
181086	10116	2
261825	729	2
558016	10160	2
1763	13689	2
174951	13689	2
44249	379508	2
1883	759272	2
379	641149	2
34072	13689	2
1637	883092	2
1883	13689	2
222	1442368	2
364316	10160	2
1386	10160	2
583	10116	2
106589	641149	2
692606	6500	2
2093	39947	2
2192	6500	2
32008	1329854	2
202746	202	2
29487	729	2
33969	883092	2
12960	641149	2
2745	13689	2
1298	641149	2
286	13689	2
2184	10116	2
414371	13689	2
713	729	2
29521	10160	2
1716	729	2
561	1043004	2
397864	379508	2
437504	9606	2
1073	759272	1
165695	1128253	1
1298	13689	1
264688	883092	1
52972	641149	1
1759331	30608	1
29287	1442368	1
543311	4113	1
54251	10116	1
28065	13689	1
1330547	379508	1
1485	6500	1
548689	30608	1
1186	202	1
662	6500	1
379	10116	1
44249	883092	1
191	13689	1
548689	13616	1
34019	6500	1
33882	641149	1
2207	559292	1
28453	6500	1
416916	883092	1
2172	10160	1
235572	379508	1
2207	13616	1
1434046	641149	1
11102	10116	1
10278	10116	1
1578	10160	1
963	1329854	1
1707	670483	1
561	1442368	1
286	379508	1
40323	641149	1
561	379508	1
1205	6500	1
507	6500	1
10319	6500	1
37914	759272	1
104264	10160	1
172653	1442368	1
302485	1329854	1
158481	641149	1
1357	6500	1
548687	1442368	1
76831	379508	1
1649486	13689	1
596707	1442368	1
875170	670483	1
202907	13689	1
34008	13689	1
374	641149	1
558017	39947	1
34019	10116	1
119541	13689	1
635	379508	1
168934	641149	1
1485	4113	1
110456	10160	1
29580	6500	1
338	1043004	1
10483	1043004	1
171	10160	1
1285591	30608	1
146937	641149	1
1279	6500	1
399320	10160	1
1193515	641149	1
28196	202	1
10485	379508	1
364316	6500	1
135575	202	1
41275	13689	1
2093	13616	1
32207	641149	1
171	379508	1
1511808	10116	1
885864	641149	1
2129	13616	1
2132	10160	1
2747	883092	1
110456	30608	1
2093	30608	1
106589	13689	1
1883	1442368	1
414878	1043004	1
204037	729	1
209	6500	1
204037	1442368	1
34019	10160	1
1386	759272	1
53246	729	1
2094023	641149	1
96	641149	1
507	1442368	1
60136	13689	1
157	641149	1
2060084	39947	1
165695	641149	1
558016	6500	1
237	883092	1
282132	6500	1
613	13689	1
174951	641149	1
