taxid	truth_taxid	count
120499	120499	10000
1613	1408443	10000
1883069	1483724	10000
107709	452637	10000
128	575540	10000
214	936155	10000
1979162	1979162	10000
11191	11191	10000
844	273121	10000
897	1121405	10000
10335	10335	10000
2208	269797	9999
96345	96345	9998
1717	698965	9998
1280	93062	9998
62320	543526	9997
56812	318167	9996
1217908	391626	9993
821	435590	9982
562	585396	9967
300	399739	9959
1714619	1714621	9889
316	1210443	9853
1313	516950	9808
303	1193499	9695
43080	1132497	9644
2011080	334856	9136
39152	267377	9012
823	435591	8543
729	729	7932
1148157	1391912	5657
33	483219	5154
485	521006	4936
490	546266	4587
375	1128253	4334
485	242231	3872
120107	13689	3708
1148157	1148157	2105
1148157	436717	1672
1812934	1329854	1169
979	867900	1048
979	979	990
39152	402880	985
550	1329854	942
1355477	1128253	782
33	1334629	769
34	483219	765
37554	37554	688
248026	3055	624
158836	1329854	544
1604	883092	522
1076	1128253	454
487	546266	415
1853278	641149	372
487	641149	331
1491	759272	295
267818	883092	269
199	202	263
1579	883092	219
1297742	483219	209
1223566	1128253	208
1587	883092	161
1965231	202	160
495	641149	147
1349410	3055	139
249188	729	136
1853276	641149	134
71366	71366	115
326523	641149	110
488	641149	109
374840	374840	107
573	1329854	105
2057025	759272	97
1147150	1147150	91
2287	1132497	90
1855519	13689	89
490	641149	89
655307	641149	84
69220	1329854	84
33959	883092	78
200	202	70
1596	883092	68
76947	13689	67
83683	883092	64
1315974	13689	59
497725	1329854	56
573	9606	54
198	202	51
562	1329854	51
1244531	202	46
486	641149	45
404589	759272	41
727	729	41
52242	883092	40
1600	883092	39
61645	1329854	39
484429	13689	36
196	202	34
28901	1329854	33
67082	9606	32
28091	641149	32
485	9606	31
69218	1329854	27
1624	883092	27
539	641149	26
206	202	25
83455	483219	25
287	287	23
2027919	1329854	23
1332080	13689	22
67082	30608	22
300	1210443	22
1584	883092	21
573	30608	21
187303	1128253	21
197	202	20
208224	1329854	19
55508	759272	18
487	242231	18
407020	13689	17
184914	483219	16
114615	1128253	16
488	546266	15
1660073	202	15
13690	13689	15
1296536	1329854	15
46429	13689	15
485	641149	15
546	1329854	15
1843368	13689	15
35	483219	14
2051905	1329854	14
732	641149	14
732	729	13
56	6500	12
745310	13689	12
827	202	11
1673076	13689	11
109790	883092	11
548	1329854	11
522485	202	10
35703	1329854	10
1259844	1193499	10
28037	516950	10
712310	729	9
817	435591	9
28898	202	9
562	1147150	8
1986146	641149	8
824	202	8
28141	1329854	8
260714	202	7
212035	379508	7
41	483219	7
158822	1329854	7
210	202	7
9	559292	7
1545702	883092	7
205844	1128253	6
1598	883092	6
2025876	435591	6
