taxid	truth_taxid	count
39744	1979162	10000
1883068	1483724	10000
237	96345	10000
286	1193499	10000
843	273121	10000
1716	698965	10000
178440	452637	10000
2207	269797	10000
209	936155	10000
10319	10335	10000
1578	1408443	10000
53945	391626	10000
186938	11191	10000
896	1121405	10000
1301	516950	10000
127	575540	10000
1279	93062	9999
816	435590	9999
22	318167	9999
121871	543526	9998
375288	435591	9984
286	399739	9977
561	585396	9948
286	1210443	9932
186458	1714621	9899
2284	1132497	9770
32	483219	9230
2184	267377	9015
724	729	8724
482	546266	8693
374	1128253	7723
547	1329854	7068
469	1391912	5983
482	521006	5520
165695	13689	4756
1578	883092	4560
482	242231	4479
482	641149	3688
469	1148157	2254
40323	334856	2136
194	202	2007
469	436717	1763
104264	867900	1048
104264	979	990
2184	402880	985
32	1334629	770
2169654	37554	661
106589	3055	624
1073	1128253	463
338	334856	342
1485	759272	295
1883	759272	200
1279	71366	194
1883	39947	129
2060084	3055	120
570	1329854	109
1883	334856	107
1910954	374840	107
570	9606	101
107	759272	97
186765	1147150	74
260964	120499	64
1330547	1329854	56
561	1329854	47
1883	9606	39
1883	13689	36
13687	13689	35
2060084	6500	34
1330545	1329854	32
482	9606	31
1883	670483	30
590	1329854	24
544	1329854	24
1485	3885	24
286	287	23
570	30608	22
286	641149	22
29580	759272	19
416916	729	18
561	1147150	15
1485	39947	15
1883	1442368	14
133	1128253	13
165696	13689	13
906	759272	12
209	202	12
1485	13616	12
2060084	10116	11
32008	13689	11
538	641149	11
1485	379508	11
1883	641149	11
416916	641149	10
1485	202	10
286	9606	10
286	13689	10
57665	202	9
1883	30608	9
1386	559292	8
1485	30608	8
10483	6500	8
165697	13689	7
68	379508	7
1883	1043004	7
893	641149	7
1485	6500	6
32199	559292	6
1485	9606	6
286	759272	6
745	641149	6
32008	641149	6
413496	1329854	6
561	37554	6
2060084	379508	6
1883	10160	6
1485	883092	5
848	9606	5
20	13689	5
379	13689	5
293088	13689	5
613	641149	5
544	559292	5
315393	379508	5
2093	379508	5
10483	3055	5
583	6500	5
2093	10116	4
34008	13689	4
1485	4113	4
265	13689	4
2060084	10160	4
2207	379508	4
2060084	13616	4
1301	883092	4
194	759272	4
222	641149	4
10483	10160	3
1041	13689	3
10483	10116	3
1485	10160	3
2207	10160	3
10475	1132497	3
28196	202	3
713	641149	3
2093	202	3
135575	202	3
2060084	1442368	3
2093	10160	3
1386	6500	3
44249	641149	3
1578	559292	3
302485	13689	3
172653	10116	3
1386	379508	3
122277	1329854	3
286	379508	3
209	379508	3
1543704	13689	3
44249	13616	3
209	559292	3
1883	13616	3
1386	670483	2
911	1128253	2
44249	883092	2
1386	3885	2
2207	13616	2
1386	729	2
2184	6500	2
2207	6500	2
1883	403677	2
547	37554	2
13134	13689	2
32008	759272	2
1562	641149	2
138	559292	2
10365	379508	2
171436	13689	2
28209	13689	2
2060084	30608	2
407	641149	2
1232640	4113	2
2093	39947	2
1279	379508	2
963	379508	2
2060084	39947	2
150203	13689	2
